 	notre	maman	a	préparé	du	poisson	salé	aux	aubergines	</S>
n	0.775483	0.164602	0.0156357	0.00283049	0.00990499	0.0041419	0.0206135	0.00571441	0.00069077	0.000383728
g	0.350589	0.641247	0.0045117	5.81373e-05	0.00137464	0.00057596	0.000605525	0.00081154	0.000207666	1.90151e-05
ó	0.0305487	0.957626	0.00360339	0.00112261	0.00209901	0.00125155	0.00136368	0.000712523	0.00157795	9.48588e-05
o	0.0481901	0.931612	0.0112494	0.00305184	0.00146989	0.000629041	0.000336224	0.000391705	0.00229562	0.000773737
y	0.675649	0.0560456	0.193872	0.0258847	0.00675232	0.00908274	0.00184238	0.00891046	0.00222112	0.0197402
a	0.96716	0.00694859	0.0157659	0.00141871	0.000962237	0.00308289	0.000400579	0.00163022	0.00166882	0.000961986
b	0.960411	0.00496638	0.0280095	0.00155998	0.000417142	0.00106007	8.14235e-05	0.00123862	0.000814664	0.00144158
í	0.885199	0.0635539	0.0270319	0.00200956	0.00227417	0.00952257	0.0038978	0.0022222	0.00328804	0.00100039
s	0.938861	0.0123204	0.0272856	0.00368209	0.000677072	0.00314076	0.00240866	0.00481271	0.0024402	0.00437125
í	0.352935	0.0634698	0.0501682	0.00624332	0.0114056	0.0152881	0.0105823	0.0683305	0.134397	0.28718
á	0.0500087	0.0125497	0.442591	0.408807	0.0270417	0.0184048	0.00556169	0.00788254	0.00314307	0.0240103
l	0.00094054	0.000675192	0.0564793	0.911698	0.01749	0.00348654	0.00204376	0.00106256	0.000246606	0.00587712
á	0.00369165	0.000345454	0.0333076	0.880355	0.0446588	0.0181812	0.00235043	0.00318818	0.00125072	0.0126707
m	0.0629551	0.000978795	0.0490271	0.699481	0.13207	0.0343602	0.0037864	0.00481324	0.00268743	0.00984003
b	0.0268074	0.00386318	0.10761	0.412721	0.288929	0.111299	0.0218563	0.0113668	0.00530945	0.0102379
i	0.0513702	0.000801719	0.0777685	0.0418812	0.272401	0.210873	0.0813618	0.0912089	0.103794	0.0685398
t	0.00451452	0.00104385	0.0667122	0.0184228	0.277314	0.427098	0.0791971	0.086283	0.0253044	0.0141101
s	0.0115809	0.000218803	0.0131183	0.0153195	0.218686	0.246369	0.374345	0.0157944	0.0624435	0.0421244
a	0.000355905	7.42909e-05	0.00461035	0.00643131	0.314066	0.167824	0.403946	0.0162615	0.0720965	0.0143342
n	0.00203513	0.000157503	0.0102063	0.0237262	0.154325	0.286506	0.249874	0.0359754	0.0762404	0.160953
g	0.000137589	5.63506e-05	0.0082699	0.0249735	0.166483	0.319054	0.0692902	0.0537263	0.0773146	0.280695
í	0.000467184	0.000269526	0.0116018	0.00729227	0.244955	0.19132	0.119302	0.0653487	0.210106	0.149337
s	0.000321832	4.59367e-05	0.0178252	0.00580017	0.157519	0.139156	0.243772	0.280876	0.060395	0.0942879
á	0.000894556	1.77748e-05	0.00258051	0.0065386	0.0562206	0.252635	0.0996227	0.164079	0.216029	0.201383
a	0.00424076	0.000357126	0.00256315	0.000462317	0.0106138	0.105877	0.0824469	0.20489	0.551658	0.0368913
k	0.000499282	0.000100753	0.00285399	0.0106072	0.0525882	0.056468	0.260479	0.158035	0.222085	0.236284
a	7.68028e-06	2.10844e-05	0.0014834	0.00137192	0.0355021	0.0103303	0.840584	0.0196714	0.0324517	0.058576
á	2.93642e-05	8.69013e-06	0.00148831	0.00126501	0.0436053	0.0188972	0.576871	0.0338545	0.0663034	0.257678
b	0.00069691	9.54284e-05	0.0103426	0.00449218	0.0122918	0.0576333	0.0271442	0.499638	0.112801	0.274865
o	0.00651997	0.000122018	0.00546952	0.00202929	0.0197403	0.0650007	0.211553	0.180416	0.185069	0.324079
</S>	0.000260188	5.89798e-05	0.00267666	0.00288287	0.0280889	0.0230849	0.19521	0.110793	0.176602	0.460344
