 	les	enfant	ont	l'	habitude	de	capturer	les	abyo	dans	les	pièges	</S>
a	0.259334	0.474422	0.0287769	0.0125004	0.0171474	0.0592333	0.141095	0.00415149	0.00030938	0.00226703	0.000623281	0.00012641	1.34901e-05
n	0.0783252	0.614038	0.0602569	0.0207767	0.0315486	0.0322308	0.0918771	0.00517829	0.0491313	0.00170674	0.00110526	0.0129451	0.000880052
d	0.313576	0.605919	0.0304565	0.0254237	0.00498959	0.00298006	0.00167303	0.0126056	0.000648945	0.000478575	0.000281342	0.000104191	0.00086391
z	0.112281	0.749326	0.0493563	0.0345482	0.00869677	0.00261205	0.00954283	0.00961406	0.00524071	0.000992127	0.000985808	0.000549996	0.0162539
é	0.138714	0.831266	0.0078393	0.00358813	0.00334357	0.00131969	0.0106615	0.00067547	0.00125204	0.000286464	9.46463e-05	0.000204306	0.000754223
s	0.397565	0.239161	0.0587776	0.0749597	0.0394619	0.00377891	0.0122637	0.0487684	0.0741146	0.0103013	0.00240179	0.00191125	0.0365346
i	0.437965	0.243994	0.0613842	0.0777708	0.0295818	0.00399382	0.00681512	0.0472314	0.0218758	0.0166892	0.00358435	0.000647087	0.0484681
b	0.0298687	0.0551977	0.265969	0.154456	0.113425	0.0961464	0.0653107	0.193552	0.00405614	0.00936687	0.00358753	0.000638325	0.00842631
á	0.0588538	0.0157736	0.0755248	0.126968	0.0995942	0.193366	0.0832126	0.194025	0.0180121	0.0646065	0.0245533	0.00826662	0.0372439
a	0.040958	0.0557023	0.124345	0.142314	0.106052	0.178175	0.153044	0.167816	0.0117461	0.00780365	0.00382212	0.00230304	0.00591901
b	0.0014756	0.00207871	0.0202532	0.0152432	0.0151659	0.019637	0.0479891	0.353701	0.481736	0.012545	0.00343051	0.00340615	0.0233384
o	0.0114096	0.00541013	0.0155398	0.0196411	0.0147873	0.0127255	0.0198768	0.152736	0.650769	0.0415115	0.00900309	0.0158254	0.0307651
m	0.00190382	0.00119966	0.00335948	0.00267297	0.00125898	0.00252436	0.0424747	0.0402364	0.860793	0.01979	0.00166444	0.00422843	0.0178936
á	0.0475284	0.00412522	0.0136108	0.0277005	0.0466001	0.0660635	0.0742704	0.322572	0.176796	0.166275	0.0198395	0.0118818	0.0227367
a	0.0102476	0.00379595	0.0119606	0.0632707	0.0328654	0.0284634	0.00132028	0.192543	0.0581165	0.44721	0.101256	0.0157885	0.0331618
b	0.00584611	0.00348039	0.0207194	0.0172407	0.00711885	0.00597926	0.00051046	0.131479	0.235309	0.339942	0.177753	0.0376939	0.016928
y	0.00540222	0.00181269	0.0150354	0.0154371	0.00689019	0.0215952	0.00571075	0.0498466	0.36269	0.123575	0.0706114	0.274353	0.0470408
o	0.000869596	0.000378535	0.00270765	0.00714218	0.0078705	0.00689928	0.00405262	0.014036	0.547845	0.143844	0.0506729	0.146891	0.0667905
m	0.00118004	0.000647888	0.00147336	0.00617863	0.00544918	0.00821414	0.00147727	0.0210128	0.135496	0.491022	0.120706	0.129876	0.077266
ó	0.0111107	0.00141797	0.00372339	0.00775511	0.00644599	0.00305944	0.000388259	0.0228149	0.0349741	0.460195	0.131339	0.0418887	0.274887
m	0.02027	0.00257711	0.00636447	0.00733607	0.00405971	0.00293685	0.000414688	0.0145562	0.0235414	0.213742	0.179554	0.331201	0.193447
é	0.00914701	0.00300251	0.014517	0.0215698	0.00755473	0.00272862	0.000201424	0.0100774	0.0129668	0.0953003	0.180372	0.184514	0.458048
y	0.00286314	0.00196031	0.0215776	0.0225112	0.00821999	0.0149874	0.000110905	0.0300269	0.0186466	0.0901782	0.0881532	0.663228	0.0375368
a	0.00357543	0.000410916	0.00201809	0.0024665	0.00101413	0.000461989	6.77165e-05	0.00760183	0.0755686	0.0909274	0.173273	0.430501	0.212113
</S>	0.00363975	0.000635776	0.00153024	0.00659133	0.00243279	0.00103387	4.3817e-05	0.008747	0.00860995	0.0641484	0.102239	0.236651	0.563697
