 	on	recherchait	une	bouffée	d'	air	frais	</S>
l	0.695697	0.164525	0.0762487	0.00703347	0.0538951	0.00171536	0.000383999	0.000500599
é	0.277366	0.662757	0.0379341	0.0144319	0.00671317	4.79205e-05	0.000118766	0.000631473
d	0.0381302	0.729415	0.118838	0.0996922	0.0104108	0.000513255	0.000173984	0.00282599
z	0.00258081	0.728312	0.103989	0.0693607	0.00503805	0.0012071	0.00227517	0.0872369
e	0.0100936	0.871585	0.0672754	0.0443638	0.00362434	7.51121e-05	0.000129364	0.00285353
l	0.0201275	0.151093	0.207226	0.147637	0.0232201	0.00343335	0.00344095	0.443822
é	0.0299755	0.126954	0.241405	0.285693	0.0472911	0.00464976	0.00447735	0.259554
e	0.048939	0.174828	0.152876	0.386828	0.143351	0.0163439	0.00212432	0.0747091
y	0.0035723	0.0232256	0.14092	0.64691	0.0848787	0.052378	0.0244096	0.0237061
é	0.000167041	0.020804	0.0440414	0.854333	0.043636	0.0105948	0.00715949	0.0192648
n	0.00237638	0.0400156	0.175141	0.443919	0.147942	0.0306659	0.0168249	0.143115
g	0.0470885	0.0243569	0.113962	0.53616	0.226331	0.00657828	0.00184474	0.0436784
á	0.0538388	0.0234022	0.0716163	0.647843	0.176423	0.00305093	0.000320101	0.0235049
y	0.0174238	0.0119731	0.0800505	0.109746	0.599837	0.11248	0.0113063	0.0571843
a	0.022532	0.0284997	0.0769178	0.0750751	0.523187	0.194501	0.0379374	0.0413507
á	0.0654174	0.0370143	0.0268212	0.0227187	0.226809	0.381556	0.207666	0.0319977
o	0.00440571	0.0030349	0.0307459	0.0311081	0.122008	0.459757	0.0849988	0.263942
p	0.000474247	0.00155131	0.0144669	0.00553634	0.00852686	0.584536	0.359901	0.0250081
ε	3.01316e-05	0.000188332	0.00470477	0.00222141	0.00231723	0.181545	0.762515	0.0464774
p	0.000857777	0.000162633	0.00170845	0.00106572	0.0266464	0.168053	0.632015	0.169491
ε	0.0232025	0.00184841	0.0118717	0.00842874	0.0925232	0.0618959	0.644463	0.155766
</S>	0.00623469	0.000338433	0.00476073	0.00420935	0.0635437	0.0349208	0.116127	0.769865
