 	le	plumage	de	leboboo	est	pointillé	</S>
t	0.951742	0.0220481	0.0198438	0.00454274	0.00150009	0.000173823	0.000149415
s	0.320617	0.614916	0.0457776	0.00263509	0.00806387	0.00527741	0.00271218
á	0.162215	0.768282	0.0212662	0.00937919	0.00378346	0.0286027	0.00647136
l	0.189774	0.791461	0.00356544	0.000232222	0.000552659	0.000558067	0.0138568
á	0.0605332	0.819854	0.0548069	0.00264563	0.00513527	0.00151711	0.0555082
y	0.347876	0.112806	0.47797	0.00573075	0.0262764	0.00139398	0.027947
á	0.274826	0.266652	0.301398	0.00357103	0.0440306	0.0217024	0.0878199
l	0.460431	0.156535	0.331994	0.00858327	0.0136516	0.0160331	0.0127722
e	0.363609	0.0141164	0.31665	0.00455341	0.0843563	0.0292629	0.187453
b	0.187455	0.0342583	0.35452	0.0963549	0.117148	0.0962057	0.114059
ó	0.0945099	0.00181729	0.049457	0.807847	0.027163	0.014505	0.00470043
b	0.0495379	0.0128848	0.230683	0.439928	0.143038	0.0584808	0.0654477
o	0.0911433	0.00381293	0.112573	0.362958	0.137694	0.0641863	0.227634
ó	0.0259649	0.00247542	0.322754	0.127296	0.230752	0.0482722	0.242486
é	0.026856	0.00362408	0.130217	0.0496438	0.556421	0.113698	0.11954
d	0.0520744	0.0112403	0.159053	0.050915	0.373054	0.203579	0.150084
í	0.010604	0.00188655	0.0261691	0.00411022	0.168715	0.050351	0.738164
l	0.0119915	0.00266405	0.0884545	0.0146507	0.204926	0.396592	0.280721
a	0.0021541	0.00334862	0.00598421	0.00558838	0.102276	0.502222	0.378427
t	0.00468247	0.00107631	0.0169512	0.00189955	0.0617454	0.773982	0.139663
ώ	0.00370534	0.00634485	0.0118331	0.0218509	0.0354607	0.869647	0.0511581
n	0.000118241	0.000408086	0.00442299	0.00982473	0.0446085	0.873647	0.066971
ώ	0.00293827	0.0109048	0.00881855	0.0152323	0.101026	0.745683	0.115398
</S>	0.00832093	0.00015427	0.0291043	0.00276162	0.134743	0.203968	0.620948
