 	la	manière	dont	sa	gorge	a	seché	il	n'	a	pas	bu	depuis	un	moment	</S>
e	0.291594	0.49082	0.159158	0.0118273	0.00963618	0.00643738	0.00267837	0.0010928	0.00306847	0.002949	0.00184706	0.00136193	0.00354832	0.00123898	0.00131588	0.0114268
k	0.00167664	0.00113165	0.019832	0.021058	0.642086	0.288672	0.00296525	0.00125334	0.00780034	0.0028303	0.00387233	0.0031083	0.000829166	0.000650132	0.00202215	0.000212387
y	0.00510927	0.00402359	0.00927595	0.0375079	0.393938	0.373354	0.00803179	0.00712425	0.0589694	0.0258159	0.0224966	0.0207243	0.0103507	0.00935367	0.00981727	0.00410788
ε	0.000737692	0.0184526	0.0430103	0.0838905	0.439001	0.272497	0.00669612	0.00396962	0.0346149	0.0168741	0.0291474	0.0236969	0.0113464	0.0115793	0.00275908	0.0017272
m	0.00329147	0.00487732	0.00957239	0.0295748	0.442339	0.394324	0.0160758	0.0034174	0.00700518	0.00738614	0.0334773	0.00547338	0.0167957	0.00995233	0.00945784	0.00697995
í	0.0119583	0.00414335	0.00365779	0.0280289	0.0486676	0.0516654	0.11971	0.0368043	0.024579	0.0516342	0.0930566	0.00765561	0.328169	0.0297596	0.0168025	0.143707
l	0.0548667	0.012309	0.0259692	0.108128	0.197735	0.12578	0.0501226	0.0734513	0.050847	0.0511133	0.040875	0.0145368	0.0377546	0.0322642	0.00741352	0.116833
í	0.0624211	0.0167457	0.0230428	0.0638848	0.0605662	0.0508394	0.0737577	0.0933994	0.0366718	0.0382595	0.0182656	0.0150653	0.0264116	0.0148554	0.0133823	0.392431
y	0.244717	0.0879164	0.0860883	0.117925	0.107635	0.0939589	0.0256051	0.0493289	0.0257357	0.028781	0.0262532	0.0123359	0.0171926	0.0202692	0.00395254	0.0523057
é	0.104428	0.0500999	0.342622	0.0919724	0.172577	0.0386144	0.0131264	0.0255858	0.0219297	0.0153147	0.00852895	0.0357726	0.0134291	0.0112811	0.00877008	0.0459475
é	0.0400354	0.0249168	0.374098	0.109738	0.177741	0.0588825	0.0112815	0.022228	0.0211893	0.0187414	0.0130778	0.0271257	0.0143456	0.0189606	0.013032	0.0546065
k	0.0137146	0.00245835	0.105662	0.103264	0.376774	0.117207	0.00720207	0.00526429	0.0304526	0.021428	0.0141858	0.0141573	0.00935568	0.0148973	0.0204154	0.143562
y	0.00139396	0.000327816	0.0113208	0.0653279	0.551667	0.179016	0.0037009	0.00539927	0.028679	0.0185718	0.0176022	0.00792782	0.0160969	0.00794562	0.0105429	0.0744801
ε	0.00238656	0.000847314	0.0503386	0.138098	0.545756	0.140184	0.00888677	0.0058983	0.0209168	0.0127609	0.0198719	0.0111017	0.0125647	0.0042225	0.00453182	0.0216338
m	0.00650673	0.00373426	0.167276	0.141299	0.289972	0.12005	0.00894456	0.0107582	0.0243945	0.0297675	0.0484693	0.00787423	0.0232148	0.0219834	0.0112394	0.0845166
í	0.00709449	0.000882674	0.0372682	0.142562	0.151358	0.121036	0.129881	0.127685	0.0321516	0.0458158	0.059924	0.0123395	0.0664622	0.0208899	0.0142055	0.0304441
m	0.0013706	0.00138629	0.0781886	0.294781	0.048128	0.0876894	0.231282	0.201391	0.0224693	0.0105689	0.00575007	0.00285006	0.00322403	0.00280837	0.00132867	0.00678384
w	0.00148823	0.000318832	0.00155444	0.0303493	0.00518601	0.0428625	0.698416	0.200054	0.0114228	0.00394437	0.000846793	0.000258689	0.00132283	0.000229053	0.000209893	0.00153608
á	0.00024579	0.000179183	0.000911608	0.0108124	0.0141361	0.0922062	0.76882	0.0959411	0.00693202	0.00125614	0.000668342	0.0017752	0.002918	0.000254119	0.00198724	0.00095602
n	0.000835714	0.000234353	0.0011966	0.0100327	0.00198587	0.032858	0.739197	0.199774	0.00170811	0.000717235	0.000520154	0.00041864	0.00749143	0.000288264	0.000533579	0.00220764
a	0.00987248	0.00212081	0.00739559	0.077699	0.0692445	0.0989564	0.481939	0.16982	0.0232305	0.00868962	0.00497655	0.00690348	0.0235128	0.00163634	0.00378778	0.0102159
w	0.00291457	0.00311981	0.0872833	0.338828	0.119913	0.138936	0.0288055	0.0980823	0.0655028	0.0390129	0.02775	0.0105928	0.0120959	0.017361	0.00173391	0.00806925
ó	0.00527786	0.00388273	0.037259	0.350674	0.0702198	0.0994912	0.0143172	0.0627761	0.0898898	0.0633582	0.0496143	0.0201517	0.065957	0.0285846	0.00734241	0.0312046
o	0.00387353	0.00350885	0.0124702	0.0631309	0.0291699	0.0468537	0.0172486	0.217172	0.209968	0.163425	0.087845	0.0329437	0.0229101	0.0307618	0.00961067	0.0491082
n	0.00128721	0.00125762	0.00983194	0.0523004	0.114537	0.109334	0.00456255	0.0498933	0.305822	0.132899	0.114763	0.0846929	0.00515066	0.00556322	0.00337383	0.00473113
g	0.00215776	0.00205959	0.0397787	0.0238098	0.594792	0.125746	0.0125623	0.00840041	0.0414913	0.00706122	0.00442677	0.108568	0.00312573	0.0016246	0.0102951	0.0141016
o	0.000926234	0.000301231	0.00427568	0.0118682	0.644886	0.107358	0.00358077	0.00540674	0.0371989	0.00881946	0.00811273	0.137899	0.00757911	0.00210056	0.011418	0.00826858
n	0.000422102	0.000177197	0.00938392	0.0209936	0.588217	0.18534	0.0091076	0.00825735	0.0235462	0.0120353	0.019058	0.0945755	0.0150077	0.00360715	0.0052451	0.00502618
g	0.00397321	0.000841103	0.00181377	0.0122352	0.39037	0.178216	0.0682717	0.0600793	0.0415282	0.0368794	0.060925	0.0309783	0.0337466	0.00715149	0.0108099	0.0621806
a	0.00274221	0.00474979	0.0120417	0.0134918	0.49324	0.0682948	0.0352504	0.065437	0.0334573	0.0124923	0.010679	0.176957	0.0283726	0.00237455	0.00980942	0.03061
á	0.000676415	0.000932081	0.00583612	0.0391136	0.0224277	0.0290857	0.00483015	0.158992	0.228844	0.24975	0.11099	0.0746883	0.0422097	0.0178832	0.00220583	0.0115351
m	0.000637731	0.000258131	0.00861582	0.0312746	0.0244575	0.0277623	0.00265884	0.00859817	0.176935	0.216606	0.189776	0.153618	0.0476034	0.0554989	0.0112923	0.0444077
i	0.00124073	0.000174349	0.0012854	0.0123532	0.00151179	0.010953	0.00499765	0.0203271	0.152617	0.191636	0.219423	0.0229893	0.173163	0.0946814	0.0262291	0.0664189
b	0.000773901	0.000288394	0.00244601	0.010486	0.0170556	0.0240519	0.00270883	0.00710917	0.0886552	0.12278	0.23572	0.114961	0.0942098	0.0729265	0.0326676	0.173161
í	2.65565e-05	2.03266e-05	0.000482031	0.00964939	0.013931	0.0372213	0.00125792	0.00568499	0.176591	0.104148	0.225051	0.0819336	0.0844707	0.0451725	0.0543193	0.16004
á	7.66519e-05	0.000183987	0.00226273	0.0146053	0.00512353	0.0135115	0.0022777	0.0265567	0.134915	0.109827	0.169052	0.120301	0.13463	0.062052	0.0494481	0.155177
l	0.00039445	0.000389995	0.00267261	0.00992742	0.00259327	0.00304509	0.00630388	0.0624039	0.0224693	0.0775074	0.0866259	0.0986166	0.379715	0.176781	0.033875	0.0366796
o	0.000871789	0.000219949	0.00208236	0.00588559	0.00144974	0.0039138	0.000468422	0.00809061	0.0306623	0.0453866	0.0562816	0.136616	0.200698	0.158107	0.125479	0.223787
n	0.000896392	0.00135363	0.00343089	0.0122068	0.00369242	0.00903822	0.00173677	0.0418366	0.0260463	0.0600784	0.126371	0.171507	0.148241	0.180106	0.139302	0.0741557
y	0.00312584	0.00124434	0.00676533	0.00294722	0.0177494	0.0143387	0.00122202	0.00717082	0.0185886	0.0167818	0.0286319	0.480626	0.155999	0.0473798	0.165875	0.0315544
w	0.00120027	0.000960691	0.00711896	0.00311335	0.00819203	0.0029258	0.00170849	0.00861399	0.0303703	0.0331385	0.0312565	0.435748	0.0899044	0.0696361	0.234229	0.0418829
á	0.000196456	0.000115991	0.000356989	0.000460965	0.0026094	0.000846669	0.00183523	0.0137539	0.0491787	0.0630453	0.0828665	0.219124	0.17046	0.0974829	0.188268	0.1094
m	0.000304478	0.000117049	0.000823379	0.000797914	0.000939185	0.00159525	0.00341635	0.0217495	0.0327667	0.0599813	0.0690466	0.0276497	0.15489	0.102285	0.0766701	0.446968
á	0.00267278	0.000110153	0.000236866	0.00278104	0.00163841	0.00937434	0.0246102	0.0519818	0.023234	0.0423454	0.0866857	0.0232389	0.370748	0.114812	0.0943994	0.151131
a	0.00103515	0.001425	0.00482563	0.00719248	0.00124381	0.0034679	0.00234887	0.0376111	0.0108838	0.0338504	0.0493386	0.0334543	0.201382	0.212299	0.204692	0.19495
</S>	0.00011105	0.000182705	0.0016813	0.00576625	0.00262281	0.00388483	0.000356993	0.00330966	0.00823156	0.0214302	0.0242239	0.0179016	0.0516171	0.225206	0.245812	0.387662
