 	les	poules	se	battaient	à	coups	de	bec	</S>
a	0.798996	0.130794	0.0279619	0.0258801	0.00841389	0.00412199	0.00355033	0.000260052	2.1043e-05
t	0.0222007	0.974252	0.00220231	0.000829895	0.000172063	9.55591e-05	0.000107186	0.000127694	1.29397e-05
s	0.0619611	0.917197	0.00378388	0.0144139	0.00116838	0.000227992	8.34816e-05	0.00101439	0.000150298
ó	0.019921	0.921104	0.0355057	0.0148819	0.00488917	0.00138372	0.000850083	0.000184604	0.00127939
s	0.234369	0.71452	0.0203583	0.015258	0.00224675	0.00131171	0.00190973	0.00137137	0.00865553
ó	0.178817	0.631864	0.0462696	0.0296866	0.0265762	0.0135483	0.00940513	0.00742774	0.0564054
b	0.265157	0.135547	0.418709	0.0542306	0.0312616	0.0227551	0.0380228	0.00170412	0.0326134
á	0.551622	0.0152574	0.11606	0.0811736	0.0552653	0.0683174	0.0612996	0.00534225	0.0456622
a	0.209352	0.0106891	0.48124	0.181372	0.0433058	0.0350174	0.0184817	0.00521754	0.0153238
b	0.0114178	0.0224782	0.15927	0.584501	0.104063	0.0422651	0.0116575	0.0298241	0.0345228
v	0.0155631	0.0372029	0.105741	0.426346	0.278936	0.0916453	0.0186707	0.00511624	0.0207781
u	0.00495531	0.0116192	0.0714869	0.701683	0.1016	0.0981984	0.00734533	0.00122415	0.00188761
n	0.0206795	0.00530762	0.216161	0.630212	0.0570997	0.0438773	0.0130202	0.00628474	0.00735792
á	0.0547154	0.00945993	0.114838	0.447963	0.178178	0.0744031	0.0566822	0.00474521	0.0590158
m	0.0294577	0.000693995	0.109435	0.128779	0.309977	0.213366	0.196517	0.00316733	0.00860714
ó	0.0293655	0.000595944	0.0461428	0.0300418	0.336852	0.343131	0.127327	0.0123509	0.0741932
i	0.00729578	0.00190408	0.0407989	0.0352518	0.21228	0.383569	0.148212	0.154629	0.016059
t	0.00113651	0.00208647	0.00698445	0.0152261	0.0586058	0.210631	0.144822	0.519267	0.0412417
o	7.77122e-05	0.000943577	0.000548667	0.00624903	0.00509475	0.0227288	0.00417522	0.957484	0.00269789
b	0.000275797	0.00895435	0.00283003	0.0204967	0.0293982	0.131372	0.0431277	0.721258	0.0422868
h	0.00139222	0.00923967	0.00221413	0.0164084	0.0102453	0.0340731	0.0102216	0.795213	0.120992
o	0.00334332	0.0103959	0.00230657	0.0316505	0.0208978	0.0480848	0.0277539	0.673039	0.182528
l	0.00416152	0.000812521	0.00432686	0.004344	0.015882	0.0188376	0.256533	0.050255	0.644847
a	0.0340737	0.0128827	0.0282409	0.0302045	0.0774159	0.0594457	0.265715	0.155755	0.336267
</S>	0.00506479	0.00177784	0.0149296	0.00757134	0.0188272	0.0178913	0.301494	0.0328111	0.599633
