 	les	bananes	sont	pleines	</S>
a	0.620564	0.296193	0.080207	0.00266552	0.00037071
k	0.0737024	0.897616	0.0189229	0.00878671	0.000971837
ω	0.00223557	0.985035	0.0013376	0.0105681	0.000824039
á	0.0491338	0.769289	0.0883939	0.0651127	0.02807
s	0.181984	0.0265231	0.698772	0.037264	0.0554567
á	0.0932744	0.010437	0.329997	0.0439861	0.522305
a	0.271895	0.0609707	0.376534	0.192423	0.0981764
a	0.102578	0.0198583	0.229245	0.260444	0.387875
b	0.0115735	0.0154064	0.149331	0.67435	0.149339
o	0.00349453	0.0158729	0.0356636	0.86073	0.0842388
s	0.00214685	0.0118889	0.0235223	0.644981	0.317461
i	0.0296397	0.0628825	0.0824379	0.435606	0.389434
</S>	0.0124759	0.00117032	0.133074	0.038054	0.815226
