 	les	enfants	étaient	passés	outre	ma	maison	</S>
b	0.263294	0.732974	0.000543345	0.000120178	0.000785979	0.00179657	0.000286405	0.000198839
á	0.0535683	0.945771	0.000225488	1.92127e-05	1.84547e-05	0.000372448	1.59996e-06	2.37285e-05
n	0.02064	0.978998	0.000287827	1.58436e-05	7.33307e-06	2.50681e-05	5.88286e-06	1.98106e-05
a	0.433067	0.549267	0.00364958	0.000792266	0.000319473	0.00103901	0.000415676	0.0114501
á	0.179829	0.0287115	0.611296	0.136259	0.0140849	0.0117184	0.00236757	0.0157339
l	0.00573291	0.000185345	0.32385	0.630588	0.0269262	0.0020624	0.00178668	0.00886846
e	0.00427451	0.000496641	0.342563	0.596796	0.0196466	0.00401945	0.00203171	0.0301716
á	0.0565587	0.000329018	0.316093	0.574316	0.0349469	0.00296324	0.00191211	0.0128815
n	0.00625258	0.00221979	0.0608305	0.575271	0.247322	0.0559065	0.0189451	0.033252
d	0.216432	0.0122457	0.0592937	0.282926	0.256212	0.109652	0.0445499	0.0186888
é	0.0348112	0.0215248	0.0256926	0.32328	0.391272	0.0472042	0.1287	0.0275159
e	0.02678	0.000430273	0.0866375	0.127467	0.462343	0.188628	0.0356586	0.0720554
y	0.00277416	3.17805e-05	0.0506812	0.1025	0.598032	0.150282	0.0333768	0.0623216
á	0.0070983	1.9121e-05	0.0580059	0.115861	0.515898	0.164446	0.0567575	0.0819135
n	0.00787504	3.92697e-05	0.0122007	0.0587157	0.449632	0.258312	0.157681	0.0555448
g	0.0107514	0.00161557	0.00206526	0.0486284	0.391751	0.276835	0.257514	0.0108402
á	0.0105439	0.0113046	0.00283214	0.0156744	0.248915	0.245863	0.423601	0.0412658
o	0.00168851	6.51808e-05	0.00616193	0.0114039	0.142291	0.574465	0.117324	0.146601
y	0.000680739	2.58743e-06	0.00355258	0.0217662	0.45891	0.178168	0.242161	0.0947591
é	0.000797493	7.19305e-06	0.00764105	0.0208373	0.488583	0.274962	0.109995	0.097177
l	0.00163819	2.72375e-06	0.0129421	0.0925003	0.107866	0.145401	0.107821	0.531829
é	0.000698053	2.62441e-05	0.00512107	0.2419	0.150472	0.141538	0.237199	0.223045
</S>	0.000780439	1.06425e-05	0.0067453	0.0475761	0.0731644	0.20084	0.0922342	0.578649
