 	les	hameçons	sont	mis	en	place	dans	la	rivière	</S>
a	0.823383	0.118838	0.0342274	0.0131859	0.00622108	0.00225524	0.000979	0.000756256	0.000142064	1.25938e-05
l	0.217392	0.754079	0.0178129	0.00483705	0.00170522	0.00155425	0.000806045	0.000919571	0.000762157	0.00013196
ώ	0.0777448	0.875744	0.0149517	0.0116644	0.00514924	0.00609932	0.00278816	0.000724824	0.00117937	0.00395418
b	0.150541	0.67329	0.0556388	0.0209708	0.0184534	0.0286209	0.00768011	0.0074873	0.0126017	0.0247157
h	0.233781	0.254803	0.224054	0.100868	0.0733324	0.0139602	0.0168005	0.0116539	0.0112999	0.0594471
ω	0.361048	0.456803	0.0689117	0.0741085	0.0184867	0.00338036	0.00257965	0.00127607	0.00101507	0.0123907
á	0.251097	0.1953	0.458633	0.043316	0.0355134	0.00379041	0.00296882	0.00281968	0.000782071	0.00577922
b	0.148429	0.0736167	0.390812	0.197556	0.0716871	0.0601135	0.0209264	0.0141175	0.00567499	0.0170672
h	0.0323013	0.144212	0.0896698	0.498334	0.12792	0.0548174	0.0238998	0.0136907	0.00627139	0.0088842
í	0.05066	0.136443	0.11051	0.447695	0.154955	0.044675	0.031509	0.00921974	0.0035908	0.0107423
a	0.0621675	0.0656321	0.224919	0.254559	0.20843	0.0713486	0.0323684	0.0118759	0.00935744	0.0593435
l	0.0513148	0.0136684	0.244792	0.16563	0.258728	0.181921	0.0453856	0.0165031	0.00572347	0.0163329
á	0.0101831	0.0193813	0.0672939	0.061797	0.125053	0.485793	0.0741404	0.0354614	0.0235442	0.0973526
á	0.0157324	0.00374641	0.135723	0.0684899	0.157874	0.361406	0.067111	0.0211781	0.014367	0.154371
s	0.00708343	0.00184965	0.0631079	0.0326827	0.134056	0.507802	0.176054	0.0512774	0.00914949	0.0169384
á	0.0061232	0.00203988	0.0134468	0.00739633	0.040862	0.705013	0.100168	0.0401725	0.0186915	0.0660867
l	0.0327706	0.00708823	0.0786988	0.0308917	0.0494807	0.43642	0.139764	0.0798326	0.122416	0.022637
a	0.0065942	0.00449792	0.0229686	0.00653052	0.0365753	0.539417	0.18543	0.0590231	0.0454736	0.09349
a	0.0112312	0.00735065	0.0355643	0.0104427	0.0551109	0.327779	0.205191	0.12747	0.173283	0.0465773
s	0.00355552	0.00333256	0.0123294	0.00800896	0.0335477	0.183635	0.266912	0.24488	0.208433	0.0353648
a	0.00164939	0.000491254	0.0042573	0.000881099	0.00776197	0.267223	0.209591	0.198872	0.216984	0.0922885
s	0.00141856	0.000305093	0.00684463	0.00103725	0.00877678	0.12494	0.211087	0.226435	0.268632	0.150524
á	0.00431975	0.00065491	0.00696422	0.00149117	0.00803235	0.147127	0.316971	0.237666	0.211536	0.0652382
o	0.00306633	0.000523518	0.0173779	0.00373455	0.00746683	0.0343369	0.0954966	0.223911	0.515527	0.0985592
k	0.00105056	0.00112797	0.00208568	0.00127451	0.00362762	0.00952079	0.0251718	0.0813506	0.810961	0.0638293
y	0.00024883	0.00596472	0.00128143	0.0103606	0.00584304	0.00450343	0.0154487	0.0703796	0.815479	0.070491
ε	0.00239213	0.00776999	0.00392942	0.0057355	0.00581216	0.0124601	0.0444492	0.0592677	0.706927	0.151257
s	0.00199306	0.0007046	0.00203935	0.0016602	0.00592407	0.0192455	0.0531267	0.0921511	0.444959	0.378196
í	0.00239181	0.00199904	0.00205541	0.00205394	0.00462732	0.0279406	0.100923	0.0912046	0.270459	0.496345
</S>	0.00610073	0.000413194	0.0104254	0.00265234	0.00823242	0.0278443	0.0591389	0.110138	0.140641	0.634414
