 	la	souris	sauvage	est	prise	dans	le	piège	</S>
o	0.869154	0.0911418	0.0200908	0.00850436	0.00157697	0.00303628	0.00537072	0.000955038	0.000169804
m	0.0780311	0.839692	0.0494652	0.0134716	0.00635287	0.0017166	0.00272353	0.00596329	0.00258388
a	0.263155	0.655752	0.00894514	0.0196401	0.00692878	0.00782028	0.005488	0.00164613	0.030624
n	0.219946	0.720609	0.0168755	0.0109516	0.00601588	0.00208816	0.00157576	0.00270468	0.0192339
d	0.62421	0.272503	0.0456693	0.0202049	0.0039256	0.00244907	0.00410423	0.00138002	0.0255536
a	0.392588	0.226254	0.121131	0.077214	0.0188999	0.00611312	0.00482386	0.00379761	0.149179
ó	0.127965	0.0275841	0.525647	0.202172	0.0477674	0.0223562	0.00932755	0.00212455	0.0350558
m	0.0255029	0.00437368	0.21243	0.384612	0.308805	0.0456539	0.00919924	0.00181748	0.00760557
i	0.0350645	0.00287142	0.0694084	0.210344	0.15335	0.236001	0.130151	0.0117236	0.151086
t	0.00302353	0.0144652	0.0233986	0.117999	0.598851	0.169168	0.0304356	0.00780623	0.0348524
ó	0.000970545	0.00158807	0.0338586	0.0919096	0.775418	0.0547903	0.0104646	0.00792663	0.0230739
á	0.00121018	0.00490514	0.103423	0.0955068	0.596518	0.0714892	0.0423199	0.019655	0.0649733
m	0.0140199	0.0010127	0.0269545	0.0572296	0.0581376	0.348691	0.341693	0.0958339	0.0564284
ó	0.00584003	0.00185366	0.00300487	0.0108103	0.0341426	0.159895	0.219784	0.267944	0.296725
b	0.00784611	0.000787383	0.00713494	0.0071483	0.0114214	0.029281	0.101061	0.770661	0.0646589
ó	0.00235901	0.00115561	0.00439459	0.00513117	0.0181827	0.0213225	0.039937	0.876621	0.0308969
y	0.000488277	0.000349875	0.00508332	0.00771515	0.0434928	0.0448919	0.0615173	0.704923	0.131538
a	0.00251093	0.00398584	0.0139233	0.0136822	0.0828959	0.113488	0.179713	0.399242	0.190559
</S>	0.00278362	0.000893616	0.00598442	0.00448322	0.00880425	0.0888039	0.178778	0.207819	0.501649
