 	la	manière	dont	il	se	gave	d'	oseille	montre	qu'	il	meurt	de	faim	</S>
e	0.601233	0.0614204	0.0278335	0.0122487	0.0293643	0.086062	0.0304072	0.0948548	0.0131338	0.0138902	0.00516494	0.00300875	0.00296767	0.00513194	0.0132787
l	0.00369545	0.00112455	0.0194292	0.00352927	0.146959	0.62707	0.0149731	0.0206916	0.00713365	0.0321582	0.0033197	0.0160142	0.0231295	0.0794627	0.00130966
e	0.0106143	0.0289581	0.0878128	0.00212817	0.0409074	0.616839	0.00541366	0.0111793	0.0101322	0.00950443	0.00201555	0.0838939	0.00947058	0.0281292	0.0530016
b	0.00296098	0.0133758	0.264915	0.00660424	0.119338	0.542615	0.00914517	0.00432259	0.00655608	0.00821998	0.00284198	0.00949225	0.0025316	0.00221458	0.00486658
h	0.0179811	0.0190767	0.186437	0.0147748	0.0798615	0.520045	0.0318991	0.0387174	0.00518677	0.005687	0.00282641	0.00902139	0.00559951	0.00885971	0.054027
í	0.0257553	0.0643409	0.247686	0.0200902	0.18572	0.232182	0.0457791	0.0176082	0.0127421	0.018864	0.0095322	0.0117828	0.0125898	0.0127418	0.0825859
í	0.0422351	0.0564277	0.408358	0.0626643	0.122541	0.0251542	0.0607021	0.00092603	0.00623877	0.0108514	0.0258064	0.00905183	0.0423849	0.00522006	0.121438
l	0.0259544	0.0145665	0.22704	0.14734	0.194322	0.0926718	0.0315164	0.0127733	0.0251171	0.0339223	0.0354786	0.0203747	0.03662	0.00357693	0.0987252
í	0.0168175	0.0139884	0.261027	0.0409644	0.0586188	0.0295396	0.0285031	0.00174981	0.0349414	0.049197	0.0214924	0.0429283	0.0964813	0.00636248	0.297389
y	0.031844	0.0498064	0.606834	0.0907108	0.0380662	0.00962714	0.0265136	0.0028359	0.019744	0.0194034	0.0295073	0.00624664	0.0222988	0.00351787	0.0430437
é	0.0298247	0.0855575	0.46867	0.0336155	0.0371331	0.0142183	0.0220865	0.000306502	0.0374557	0.0275772	0.0157667	0.0371342	0.0637719	0.0273839	0.0994981
é	0.0382567	0.0340502	0.171202	0.0734411	0.165442	0.0580644	0.0502869	0.00164917	0.0353238	0.0268831	0.0185903	0.0290945	0.0626029	0.0321336	0.20298
l	0.00639413	0.00134132	0.0516028	0.0391432	0.299596	0.437938	0.0178396	0.0124503	0.0127108	0.00963201	0.00619601	0.0361262	0.0171506	0.00659836	0.0452802
é	0.0180313	0.00508394	0.0390893	0.0322949	0.421619	0.271398	0.0266896	0.0095461	0.030576	0.0131393	0.00406281	0.0327509	0.0299391	0.017485	0.0482949
b	0.00224519	0.00275601	0.221593	0.101027	0.235962	0.18548	0.0374348	0.00799443	0.0310227	0.018902	0.0107883	0.0202325	0.0284313	0.013829	0.0823025
