 	le	chef	ne	tient	pas	compte	de	certaines	lois	</S>
o	0.903875	0.0645489	0.0139363	0.00192323	0.00701913	0.00133534	0.00376867	0.00348339	4.97672e-05	6.00723e-05
k	0.0077171	0.988414	0.00129219	0.000288527	0.000257174	7.02474e-05	0.000100063	9.82324e-05	0.00151506	0.000247473
o	0.000467525	0.998024	0.000201745	8.24654e-05	0.000107072	0.000110239	4.8295e-05	4.17922e-05	0.000818239	9.91457e-05
n	0.000306944	0.997689	0.000569208	0.000132414	0.000118491	0.00015587	8.86266e-05	0.000148188	0.000702569	8.90461e-05
d	0.0189452	0.973339	0.00141538	0.000483661	0.000503237	0.000436143	0.000414183	0.000412853	0.00195085	0.00209974
z	0.0581877	0.914953	0.0107346	0.0012172	0.000818771	0.000488413	0.000573091	0.000232546	0.00263479	0.0101594
i	0.0890762	0.796267	0.012224	0.00499033	0.00436971	0.00358268	0.0037017	0.00178467	0.0130582	0.0709453
l	0.0931354	0.00558857	0.747672	0.0954727	0.0283502	0.00886724	0.00747496	0.00584079	0.000341169	0.00725698
á	0.14181	0.00396765	0.115956	0.357202	0.118781	0.0563685	0.029637	0.0187615	0.00635318	0.151163
a	0.270798	0.00182362	0.170514	0.238857	0.160461	0.0254	0.0381914	0.0741966	0.00296309	0.016795
y	0.0136674	0.0172824	0.096117	0.52501	0.114476	0.111395	0.0167981	0.0149492	0.0521609	0.0381443
é	0.00383114	0.00229339	0.0319839	0.69704	0.0572924	0.0492088	0.0196175	0.0874841	0.0253855	0.0258629
l	0.006443	0.000379457	0.0464573	0.538185	0.0962958	0.0718372	0.0675318	0.0804586	0.00627477	0.0861375
á	0.00583703	0.00101299	0.0758422	0.30733	0.122954	0.153971	0.142438	0.0843116	0.0108141	0.095489
á	0.00449242	0.000538589	0.0224263	0.134109	0.246844	0.196918	0.0957815	0.262096	0.0228387	0.0139553
m	0.0147728	0.000341541	0.0197668	0.0583241	0.069734	0.0610211	0.22935	0.460113	0.0418666	0.0447101
b	0.00760684	0.000269063	0.00328558	0.0237529	0.113604	0.0718704	0.154732	0.198995	0.270354	0.15553
a	0.00133395	0.000103272	0.00372211	0.0202793	0.0690669	0.0163868	0.0744273	0.373201	0.337529	0.10395
o	0.00313659	0.000204789	0.00989101	0.0121855	0.0363785	0.0696352	0.0985421	0.180346	0.224987	0.364694
y	0.002002	0.000258228	0.0103716	0.0135774	0.0367905	0.0646324	0.209123	0.137393	0.113839	0.412013
e	0.00692268	0.00115684	0.00593168	0.0276242	0.0350937	0.0254655	0.0625852	0.36136	0.373302	0.100559
n	0.00279783	0.000240739	0.00549722	0.00660569	0.0102274	0.0058252	0.123621	0.631571	0.0300364	0.183578
á	0.00524652	0.000114581	0.00269214	0.0282488	0.00935065	0.00220039	0.0703229	0.47023	0.0981682	0.313426
</S>	0.000628986	8.70064e-05	0.00229808	0.00342448	0.0106004	0.0101582	0.0509069	0.0912618	0.0285371	0.802097
