 	onze	a	insisté	pour	poursuivre	cette	affaire-là	</S>
o	0.943723	0.0408596	0.00691025	0.00293091	0.00325329	0.00161702	0.000675103	3.12436e-05
n	0.688627	0.269226	0.0209689	0.00301011	0.0106965	0.00309838	0.00205399	0.00231927
d	0.183501	0.125961	0.110346	0.0429141	0.335307	0.0519553	0.0997361	0.0502803
z	0.705429	0.133788	0.00607442	0.00538424	0.0869033	0.0086324	0.00735564	0.0464328
é	0.84956	0.0397192	0.00303597	0.00620638	0.0649264	0.0128466	0.00409034	0.0196146
á	0.594809	0.171807	0.00647954	0.018607	0.099476	0.0169599	0.0100879	0.081774
p	0.0494535	0.542615	0.206755	0.103323	0.0327757	0.0342666	0.00391549	0.0268964
i	0.0470631	0.101943	0.585432	0.132919	0.0572196	0.0278091	0.0120662	0.0355478
i	0.019826	0.113554	0.433115	0.218647	0.0858089	0.0410478	0.0205967	0.067404
m	0.00507671	0.0533706	0.297934	0.402385	0.128087	0.0564267	0.00642263	0.0502973
i	0.00785913	0.0325502	0.0700402	0.376774	0.245826	0.19262	0.00703719	0.0672933
m	0.0117901	0.0155115	0.0776298	0.372022	0.379618	0.0991342	0.0174012	0.0268924
í	0.0108082	0.00888088	0.0111601	0.090157	0.495588	0.280648	0.0158287	0.0869282
l	0.0118051	0.0192207	0.0340689	0.209671	0.43866	0.209245	0.0322663	0.0450626
ω	0.00362237	0.0123805	0.0133047	0.126718	0.323179	0.218537	0.0845996	0.217659
n	0.00121916	0.00280255	0.031599	0.031092	0.261508	0.191812	0.416317	0.0636499
d	0.00341561	0.00139336	0.00522774	0.054326	0.64992	0.159525	0.0730928	0.0530992
ω	0.00166118	0.000877469	0.00389374	0.0227928	0.521303	0.199584	0.140012	0.109876
s	0.00267435	0.00328884	0.00327884	0.0339768	0.229725	0.3398	0.289957	0.0972987
ω	0.00115661	0.00238718	0.0147827	0.0464695	0.228826	0.23193	0.275582	0.198866
l	0.00283106	0.00475336	0.00869213	0.0315483	0.0362225	0.34394	0.389607	0.182406
í	0.00281381	0.00565171	0.0119228	0.0262209	0.0527984	0.17673	0.447994	0.275869
b	0.000934825	0.00175166	0.0042641	0.0187944	0.0181665	0.243892	0.510189	0.202008
h	0.00515254	0.00227874	0.000820005	0.00716747	0.0103711	0.10038	0.805433	0.068397
ώ	0.000466546	0.000198546	0.000435494	0.00657985	0.0164679	0.0452771	0.830654	0.0999211
ω	0.000179688	0.000236515	0.00189997	0.0153115	0.0289018	0.152687	0.626826	0.173958
d	0.00103585	0.00156224	0.00512213	0.0307014	0.0166056	0.255309	0.155723	0.53394
í	0.000207076	0.00048688	0.000791614	0.00961319	0.0149531	0.229312	0.170943	0.573693
i	0.000622377	0.000625759	0.00124742	0.00871729	0.00270676	0.129612	0.116759	0.73971
</S>	0.00348065	0.00788448	0.0199089	0.0371314	0.021476	0.129711	0.132859	0.647548
