 	il	peut	soulever	cette	calebasse	</S>
w	0.975011	0.00865722	0.0100725	0.00302273	0.00245631	0.000780492
a	0.925841	0.0083807	0.00973163	0.0501938	0.00532301	0.000529405
l	0.726869	0.194246	0.0399382	0.0190716	0.000752695	0.0191223
á	0.248066	0.0788569	0.0244159	0.19456	0.00377981	0.450322
a	0.390269	0.121926	0.0918088	0.138943	0.0207336	0.236319
b	0.0369788	0.902577	0.0501887	0.00272084	0.00183781	0.00569639
h	0.0331123	0.957586	0.00398547	0.00236482	0.00102661	0.00192488
e	0.00780743	0.972086	0.0105681	0.00069211	0.00780131	0.00104541
r	0.0706311	0.691096	0.0389094	0.0358741	0.0340873	0.129402
á	0.0522673	0.239662	0.0435487	0.341323	0.0120338	0.311166
o	0.0177182	0.0827616	0.695723	0.129397	0.0645949	0.0098052
n	0.0019894	0.0124026	0.792981	0.0894133	0.0894721	0.0137412
y	0.00129293	0.00510277	0.962047	0.0175276	0.00264626	0.0113834
á	0.00491958	0.0093159	0.854804	0.0867194	0.00223375	0.042007
r	0.00109082	0.00668734	0.409949	0.268252	0.0113565	0.302664
á	0.0129676	0.0817071	0.372882	0.268068	0.069244	0.195131
t	0.00525932	0.0114344	0.175911	0.311822	0.162671	0.332902
s	0.00468044	0.00300444	0.00835249	0.0662738	0.846032	0.0716567
o	0.00018897	0.00118961	0.0104548	0.0210259	0.945078	0.0220625
o	0.000906281	0.00647326	0.0376323	0.126355	0.674168	0.154466
y	0.00033574	0.0023787	0.0122697	0.141767	0.09179	0.751459
é	0.0140804	0.00737379	0.0232758	0.619571	0.0634025	0.272296
</S>	0.00450703	0.00240087	0.0400814	0.36749	0.13206	0.453461
