 	notre	maman	a	un	panier	de	pêche	dans	la	maison	</S>
n	0.602508	0.252612	0.0615805	0.0240822	0.0296204	0.0185691	0.00173329	0.00343243	0.00452009	0.00105538	0.000286457
g	0.641805	0.348214	0.00265995	0.000326378	0.000546964	0.000103334	8.79784e-06	5.14513e-05	0.000221257	0.00600634	5.65668e-05
ó	0.069187	0.927093	0.00101805	0.000172065	0.000302552	2.95567e-05	1.20597e-05	9.282e-06	2.41905e-05	0.00215	2.21186e-06
o	0.076217	0.867079	0.0298501	0.0127062	0.0103643	0.00100782	0.000678387	0.000204822	0.000338393	0.000606476	0.000947692
y	0.294157	0.19282	0.323781	0.102549	0.0413042	0.0195295	0.00362271	0.00543651	0.00190971	0.00132524	0.0135654
a	0.931477	0.0420785	0.0136677	0.00260244	0.00218783	0.00107418	0.000111979	0.000972454	0.00153212	0.00202207	0.00227399
b	0.970029	0.00587419	0.0183558	0.00220734	0.0012905	0.000337225	1.6457e-05	0.000225225	0.00019918	0.000770674	0.000694687
í	0.966864	0.00952338	0.0122669	0.0030238	0.00115589	0.00131864	0.00498401	0.000209337	0.000331011	5.27566e-05	0.000270497
s	0.979659	0.0108943	0.0063116	0.000993978	0.000749698	0.000431191	9.30203e-05	0.000100277	0.000196126	0.000206612	0.00036408
í	0.441708	0.0382405	0.109624	0.051572	0.0731339	0.0173474	0.00275797	0.0248812	0.033603	0.110999	0.0961325
a	0.00709202	0.0049073	0.62034	0.251363	0.0638414	0.0315478	0.0062232	0.00714951	0.00142972	9.66572e-05	0.00600935
d	0.00243911	0.00252244	0.233847	0.50077	0.117488	0.0547538	0.0217496	0.0241205	0.00242284	0.000310669	0.0395764
í	0.00708437	0.00044475	0.158746	0.369309	0.167879	0.0633042	0.0238682	0.145809	0.020981	0.000750929	0.0418227
l	0.0106691	0.000230625	0.102693	0.248489	0.156467	0.117219	0.0613355	0.19764	0.0410064	0.00548435	0.0587653
i	0.00908573	0.0005818	0.0752038	0.224668	0.245402	0.110936	0.0573169	0.0972476	0.0265748	0.0135508	0.139433
l	0.0063202	0.000622852	0.0168862	0.101241	0.245393	0.171466	0.320936	0.0506713	0.0198741	0.0203836	0.0462054
ó	0.00121707	0.000249624	0.0115549	0.144956	0.174185	0.0706486	0.459482	0.0809781	0.0220363	0.00255211	0.0321409
ó	0.00106454	0.000134883	0.0122431	0.0901996	0.129509	0.0943803	0.601754	0.0323427	0.00955465	0.00112318	0.0276949
s	0.000529158	0.0001633	0.0102401	0.0253488	0.0497939	0.155342	0.194866	0.417286	0.096504	0.0160938	0.033832
á	0.00401619	7.89131e-05	0.00213366	0.0272459	0.0409594	0.0281944	0.104257	0.191135	0.346395	0.0644509	0.191134
n	0.0076862	0.000871612	0.00672638	0.00358496	0.00784464	0.0113327	0.01018	0.0732203	0.341522	0.508265	0.0287662
d	0.00168885	0.000117892	0.000109693	0.000132459	0.000870014	0.000611173	0.000298963	0.00655931	0.0331939	0.95363	0.0027876
é	7.33523e-05	0.000118087	9.22933e-05	0.00010649	0.000519707	0.000429494	0.000422359	0.00330662	0.0193272	0.966378	0.00922616
e	0.000220311	0.000357934	0.00152382	0.00416235	0.0156393	0.0202561	0.00980648	0.0618953	0.108601	0.488583	0.288955
</S>	0.000352093	0.000178601	0.00713763	0.00783137	0.010092	0.0346154	0.00865851	0.183108	0.126031	0.0513183	0.570678
