 	les	canards	ne	veulent	pas	s'	exposer	au	soleil	</S>
a	0.843499	0.124582	0.0259214	0.000147395	0.00404436	0.0010938	0.000120661	0.000564103	2.14976e-05	6.25229e-06
s	0.125853	0.842769	0.0225293	0.00421523	0.00157841	0.000691859	0.00115241	0.000664617	0.000186116	0.000359879
w	0.00933366	0.983008	0.00488656	0.00135266	0.000506063	0.000301312	0.000269844	4.37001e-05	0.000105163	0.000193116
e	0.024316	0.969106	0.00253322	0.000794729	0.00107628	0.00013568	7.87407e-05	0.000281223	0.00146735	0.000210647
b	0.144446	0.535689	0.206351	0.0159065	0.0158187	0.0082169	0.0048108	0.00464032	0.00341696	0.060704
h	0.133519	0.187879	0.544066	0.00769083	0.0399674	0.020943	0.000868195	0.0063304	0.00674182	0.051995
é	0.0898379	0.580647	0.220199	0.00544862	0.024345	0.0159705	0.00206453	0.0013099	0.00691281	0.0532642
á	0.107767	0.111999	0.598208	0.0906591	0.0368644	0.0160631	0.00936872	0.0128704	0.00163608	0.0145639
d	0.0175945	0.0144629	0.45496	0.404385	0.0386805	0.0295578	0.0148293	0.00312351	0.00172032	0.0206867
i	0.0163905	0.0528133	0.257968	0.24974	0.120762	0.0779674	0.0206117	0.00539149	0.00869125	0.189663
p	0.0219478	0.0128892	0.400054	0.216375	0.18194	0.077626	0.0612625	0.0103052	0.00176578	0.0158343
ó	0.000231036	0.00134836	0.0163116	0.902167	0.0175383	0.0107177	0.0463548	0.000925353	0.000217363	0.00418847
s	0.000644221	0.00180376	0.0395394	0.717668	0.0578632	0.0331654	0.117417	0.0068648	0.0012811	0.0237527
á	0.00371373	0.00513449	0.0779452	0.572185	0.128639	0.0450171	0.130187	0.0138884	0.00166519	0.0216247
o	0.0123777	0.00233082	0.0796453	0.100627	0.368987	0.281351	0.0991572	0.0305929	0.0186484	0.00628264
p	0.00213877	0.00287264	0.00757588	0.273063	0.0323085	0.113783	0.559424	0.00222231	0.00476168	0.00184947
ώ	3.97198e-05	0.000577829	0.00186975	0.14226	0.0131017	0.0266764	0.806733	0.00161641	0.000219146	0.00690592
r	0.000402747	0.00104091	0.0254854	0.0527206	0.0692169	0.069693	0.746488	0.011258	0.00131077	0.0223834
ώ	0.000834088	0.00245613	0.0411985	0.135893	0.112051	0.126276	0.499483	0.0121876	0.0035156	0.0661053
m	0.00166741	0.000276944	0.0209679	0.011377	0.268069	0.262562	0.159381	0.204855	0.0149433	0.055901
w	0.0275405	0.00414549	0.00338343	0.000262459	0.014858	0.0247084	0.00269968	0.193577	0.45682	0.272005
é	0.00573789	0.0010368	0.000269	0.000262622	0.00162723	0.00524848	0.00108086	0.00670424	0.970505	0.00752758
s	0.0075278	0.00181995	0.00718732	0.00100371	0.0173838	0.0619774	0.0126916	0.194255	0.508449	0.187705
é	0.00546318	0.00930483	0.00389736	0.00605062	0.0372632	0.0484113	0.0767989	0.0753925	0.434862	0.302556
k	0.00275783	0.00043725	0.0127635	0.0032393	0.081655	0.103646	0.0920016	0.241623	0.0668357	0.39504
a	0.00238822	0.00366238	0.0322977	0.0693425	0.0867726	0.0646044	0.128994	0.231622	0.0659457	0.314371
á	0.000220687	0.000352724	0.00140742	0.00575973	0.0151033	0.0196699	0.0684889	0.193676	0.141799	0.553522
</S>	0.00280158	0.00184959	0.0215385	0.00674554	0.0161761	0.036944	0.0181682	0.215088	0.148978	0.53171
