 	mon	mari	est	parti	à	la	pêche	</S>
o	0.870003	0.0938895	0.0255662	0.00038327	0.00687368	0.00298223	9.52015e-05	0.000207356
l	0.0151687	0.96813	0.00958317	0.00246012	0.00236846	0.00045384	0.000323573	0.00151221
ó	0.000276054	0.972342	0.000660686	0.0194155	0.00277706	0.000602102	0.00101104	0.00291567
m	0.000534004	0.972131	0.00240024	0.0109043	0.00301887	0.00125754	0.00642298	0.00333103
i	0.104925	0.662636	0.110318	0.0156478	0.0380833	0.0106451	0.00241141	0.0553339
y	0.526638	0.0633215	0.192813	0.0112162	0.0539284	0.0452427	0.0100586	0.0967813
a	0.775032	0.0417645	0.0483882	0.0126135	0.0382053	0.0247914	0.00380425	0.0554007
n	0.92564	0.0031425	0.0611186	0.00137318	0.00238674	0.00257139	0.000214573	0.00355259
g	0.977468	0.00589896	0.00410936	0.00134001	0.00382863	0.00301027	0.000204319	0.00414054
á	0.631271	0.152719	0.0680684	0.080945	0.034801	0.0111558	0.00155424	0.0194856
á	0.0285646	0.00579651	0.726023	0.0204195	0.140662	0.0454573	0.00701843	0.0260595
d	0.00226337	0.0117296	0.0543389	0.661016	0.16435	0.0488718	0.0464607	0.0109696
z	0.00116327	0.00246688	0.0562242	0.803732	0.0576118	0.0163117	0.0147717	0.0477191
w	0.152298	0.00288029	0.0964415	0.688341	0.0433047	0.0118215	0.000554075	0.00435888
e	0.00467651	0.00441465	0.0720325	0.477544	0.166291	0.178126	0.00415434	0.0927613
i	0.0101748	0.00208354	0.146613	0.0416522	0.269103	0.355424	0.0664064	0.108544
l	0.00220105	0.00103616	0.00865992	0.0274302	0.116754	0.153771	0.526541	0.163607
ώ	0.000733633	0.000800619	0.00914873	0.0105506	0.0803353	0.163632	0.632776	0.102023
b	0.000257184	0.000223534	0.00310768	0.00877503	0.0540674	0.0819975	0.760133	0.0914387
h	0.00753018	0.00053152	0.00756829	0.00576645	0.155412	0.225655	0.294011	0.303525
ω	0.000437147	0.00162241	0.00369478	0.00835752	0.191458	0.204973	0.309447	0.28001
</S>	0.000139888	1.52481e-05	0.00152204	8.7266e-05	0.0508902	0.118472	0.0328198	0.796053
