 	il	faut	manifester	de	la	libéralité	envers	les	autres	</S>
k	0.447115	0.472507	0.0140594	0.0228479	0.0362215	0.00299448	0.00183501	0.0021921	0.000203645	2.41263e-05
á	0.142175	0.627703	0.0873717	0.0576087	0.0561088	0.0104162	0.00486348	0.0047838	0.00783292	0.00113634
a	0.0628967	0.41306	0.354716	0.0359829	0.0164941	0.0119105	0.00865104	0.00395819	0.00509821	0.0872325
l	0.115312	0.100149	0.295987	0.306241	0.0778945	0.0263939	0.0227139	0.0113716	0.00202854	0.041908
e	0.0422678	0.0665882	0.283972	0.221797	0.0804084	0.00768203	0.0361329	0.0123539	0.00359616	0.245201
d	0.0210859	0.0211943	0.270302	0.331822	0.211408	0.0268481	0.0308134	0.0119317	0.00366612	0.0709297
í	0.00136205	0.00311369	0.506007	0.161667	0.078837	0.169409	0.0350778	0.00405061	0.00151372	0.0389625
l	0.00284176	0.00133672	0.0784821	0.135023	0.204009	0.313486	0.0844714	0.0349049	0.00874406	0.136701
i	0.00238713	0.00144376	0.098304	0.211908	0.283683	0.257896	0.0538485	0.0174371	0.00238006	0.0707128
k	0.000390109	0.000676246	0.0732621	0.12269	0.424251	0.252546	0.078879	0.00725787	0.00662474	0.0334223
a	0.000276519	0.000555972	0.00664392	0.0116012	0.121249	0.833859	0.00905445	0.000871074	0.00375455	0.012135
b	4.42316e-05	0.000194056	0.00651623	0.00603544	0.0327973	0.916774	0.00924407	0.000940439	0.0129667	0.0144879
h	0.000893354	0.00178433	0.0222537	0.0184651	0.117535	0.704701	0.0503611	0.00634704	0.00830235	0.0693571
e	0.000438765	0.000629549	0.00723046	0.0177944	0.0887658	0.711396	0.0547013	0.0374363	0.0239326	0.0576748
s	0.000319466	0.0011425	0.00209419	0.020211	0.0471911	0.025085	0.521151	0.124612	0.052399	0.205795
á	0.00601241	0.00977249	0.0110184	0.0326947	0.0283875	0.0263188	0.181275	0.351998	0.0940615	0.258461
b	0.00298239	0.00213242	0.0016598	0.00383924	0.00732663	0.00736085	0.0654357	0.338104	0.52617	0.044989
i	0.00407071	0.00470148	0.000256328	0.00575741	0.00783457	0.00314012	0.00814417	0.116132	0.845968	0.00399529
a	0.000443837	0.00109852	8.62667e-05	0.00129657	0.00294245	0.00599311	0.00809386	0.0455979	0.797008	0.13744
</S>	0.000405925	0.000501975	0.0012973	0.00508378	0.00549569	0.00156017	0.106295	0.380117	0.165546	0.333697
