 	donne-lui	un	pain	parmi	les	pains	que	j'	ai	ramenés	</S>
p	0.691371	0.146362	0.0993824	0.022584	0.0201478	0.00944529	0.00478566	0.00199591	0.00359747	0.000238076	9.05879e-05
έ	0.758172	0.0527965	0.153162	0.0106464	0.00394838	0.0190103	0.000664065	0.000183857	0.000454715	0.00074187	0.000219885
w	0.232928	0.312266	0.142503	0.0560585	0.0528533	0.117628	0.0306216	0.00757456	0.00419547	0.00302852	0.0403432
a	0.274459	0.240026	0.243176	0.0297718	0.0322851	0.0407671	0.0503956	0.00790315	0.00571652	0.00346962	0.0720294
m	0.0349787	0.408893	0.1579	0.0214002	0.0200042	0.0317642	0.0331325	0.0116525	0.014648	0.00597319	0.259653
á	0.011538	0.215234	0.45733	0.0583537	0.0643572	0.137333	0.0355208	0.00302504	0.00433292	7.95716e-05	0.012896
p	0.0157558	0.162959	0.550823	0.0361599	0.0445396	0.150058	0.0205172	0.00874318	0.00401371	0.00125644	0.00517371
a	0.0398757	0.118137	0.759785	0.041119	0.0091617	0.0279157	0.00244484	0.000197333	0.000137365	0.000147137	0.00107879
a	0.00682144	0.0696746	0.692363	0.102826	0.0249712	0.062975	0.0117383	0.00164174	0.00188095	0.00168826	0.0234189
p	0.0117109	0.130656	0.0655751	0.465924	0.162515	0.0185293	0.030182	0.0112507	0.0324545	0.00788007	0.0633232
ω	0.0263886	0.0858599	0.42967	0.174563	0.0556817	0.157831	0.0193159	0.00144787	0.0021555	0.0073623	0.0397234
ώ	0.0145944	0.148979	0.142888	0.160988	0.173642	0.0815307	0.0633133	0.0334143	0.0349775	0.0249714	0.120701
s	0.00599767	0.0286607	0.0208325	0.442111	0.306577	0.0698044	0.051742	0.0067153	0.0222403	0.00692412	0.0383946
á	0.000841785	0.0112788	0.00942945	0.355488	0.299394	0.0516007	0.0819	0.015226	0.0392753	0.0138288	0.121737
a	0.000488883	0.00649988	0.0150595	0.137718	0.334047	0.272482	0.171331	0.03862	0.0153664	0.00298109	0.0054064
m	0.0029992	0.00609493	0.00804022	0.0889539	0.201909	0.563348	0.0680942	0.012649	0.00610626	0.0252183	0.0165875
á	9.95181e-05	0.000967388	0.00310606	0.0188909	0.0623639	0.84573	0.0427414	0.00461044	0.0020326	0.000302494	0.0191557
p	0.000301327	0.0029973	0.00579644	0.0359007	0.0939698	0.799771	0.0476039	0.00393155	0.00346744	0.00137012	0.00489015
a	0.000621599	0.00341334	0.0171674	0.0934752	0.083667	0.614104	0.157061	0.0100945	0.00732521	0.00506315	0.00800719
m	0.000182534	0.00148249	0.0128571	0.0577807	0.0511814	0.584373	0.156655	0.0226981	0.0185868	0.0250153	0.0691875
á	0.00388377	0.0178794	0.0108962	0.0303327	0.111436	0.515947	0.220536	0.0180214	0.0155197	0.00504187	0.0505064
á	0.00207481	0.00836861	0.00746431	0.0435649	0.0957496	0.221025	0.210338	0.0937143	0.094225	0.141856	0.0816181
y	0.00304123	0.0034688	0.00152657	0.0181138	0.0256749	0.0292852	0.0225084	0.0433326	0.0444495	0.733563	0.0750356
ε	0.000150866	0.000451977	0.000436561	0.0133375	0.0153027	0.0165096	0.0250334	0.0414173	0.112763	0.655072	0.119525
í	7.34476e-05	0.000733586	0.000571348	0.0188985	0.0363661	0.0314345	0.112026	0.104199	0.135019	0.206668	0.354011
l	0.000234771	0.00261992	0.00106263	0.00911893	0.0459598	0.0175355	0.126337	0.274503	0.274613	0.113102	0.134914
a	0.000503497	0.00136828	0.000781005	0.00807066	0.022792	0.0180346	0.0487155	0.0823833	0.0955772	0.530898	0.190876
n	0.000157373	0.00326442	0.00153779	0.00576175	0.0742071	0.0829112	0.171995	0.32376	0.212917	0.0660728	0.0574149
g	5.66294e-05	0.000195921	8.09199e-05	0.00166112	0.0213325	0.00183399	0.0311904	0.861165	0.0551247	0.018595	0.00876396
á	0.000134942	0.000162359	8.23223e-05	0.000545468	0.0168216	0.00880448	0.0530238	0.814512	0.0562034	0.028071	0.0216384
</S>	0.000278176	0.00346755	0.00306726	0.00486771	0.0399787	0.0233617	0.114985	0.11777	0.172573	0.0780855	0.441566
