 	il	pleut	et	il	y	a	des	éclairs	</S>
m	0.667644	0.0163552	0.100802	0.0621592	0.0929129	0.0242017	0.0109744	0.0223192	0.00263122
v	0.160992	0.63754	0.0859886	0.0434803	0.00259706	0.00863077	0.014689	0.00133981	0.0447431
ú	0.0605167	0.885668	0.0162186	0.0100799	0.000809915	0.001293	0.00459213	0.0200967	0.000725045
á	0.171113	0.335424	0.138169	0.119538	0.00719167	0.0126954	0.0457986	0.0630409	0.107029
l	0.304377	0.169802	0.224037	0.0776629	0.0476305	0.0314684	0.0251497	0.0044037	0.115469
á	0.0609963	0.0621105	0.127166	0.0654246	0.044588	0.0538055	0.0683497	0.00182282	0.515736
a	0.42038	0.0730991	0.174751	0.130809	0.0674878	0.0332274	0.0208138	0.00224449	0.0771872
n	0.00814159	0.600605	0.202493	0.0486067	0.0488515	0.0302619	0.0314874	0.00736653	0.0221869
ώ	0.00583683	0.943901	0.0266528	0.00423635	0.00122664	0.00262427	0.0031437	0.00149823	0.0108798
ω	0.00953349	0.438799	0.232828	0.068684	0.0981356	0.045383	0.0602304	0.0164963	0.0299098
i	0.00523851	0.0282034	0.241538	0.239407	0.246808	0.13849	0.0797365	0.0093912	0.011187
k	0.00346331	0.0133327	0.143213	0.232281	0.246827	0.194081	0.0965429	0.0188375	0.0514203
o	0.000642813	0.00581351	0.0857724	0.140276	0.355426	0.0834865	0.0286388	0.26916	0.0307848
ó	0.000406969	0.00498833	0.0562854	0.0995779	0.445357	0.119622	0.0506881	0.197148	0.0259265
l	0.00154989	0.00252724	0.0221201	0.0488707	0.0834556	0.349423	0.377706	0.032403	0.0819443
í	0.0032226	0.00954293	0.0263737	0.0418867	0.0521096	0.180595	0.168826	0.0159843	0.501459
i	0.0116898	0.00315467	0.0203191	0.0917632	0.125023	0.214652	0.235966	0.0855273	0.211905
b	0.000515417	0.00623424	0.00410584	0.00520539	0.00611527	0.0368197	0.144383	0.738306	0.0583152
h	8.59382e-05	0.000400536	0.00103461	0.00166283	0.000569281	0.00339287	0.0212716	0.969466	0.00211662
ε	2.15342e-05	0.000196054	0.000328911	0.000358558	0.000212512	0.00157069	0.0129016	0.978369	0.00604115
l	0.000242686	0.000366655	0.00901056	0.0134288	0.0313951	0.0229491	0.0445215	0.76215	0.115935
i	0.00027282	0.000456881	0.0195171	0.0382643	0.0428581	0.0866926	0.142989	0.462872	0.206077
m	0.000247432	0.000404906	0.00488227	0.00849559	0.0156678	0.0647745	0.187267	0.075654	0.642606
ε	0.00494419	0.00130916	0.00607961	0.0232173	0.00963217	0.0339783	0.292894	0.31645	0.311496
</S>	0.00144872	0.00241142	0.00925219	0.0103623	0.00561321	0.0396529	0.315036	0.0382134	0.57801
