 	l'	oiseau	iswele	se	nourrit	de	piment	</S>
i	0.412367	0.115036	0.114177	0.341321	0.00278684	0.0122115	0.000345958	0.00175549
s	0.162844	0.0316935	0.5941	0.0167758	0.179892	0.00612695	0.000989758	0.00757851
w	0.0604404	0.0189107	0.839926	0.00353763	0.0627066	0.00662288	0.00317955	0.00467665
ε	0.109459	0.00501764	0.834517	0.00606802	0.0224741	0.012221	0.00452125	0.00572188
l	0.0818537	0.0348064	0.846687	0.00511926	0.00408923	0.00472515	0.00587724	0.0168421
έ	0.220992	0.0476637	0.444761	0.0111254	0.0531388	0.0208121	0.0126807	0.188826
l	0.143632	0.128131	0.165617	0.362528	0.020273	0.102117	0.00544308	0.0722593
í	0.123659	0.420045	0.0328669	0.0620121	0.0459192	0.0822474	0.0128632	0.220387
i	0.11256	0.490957	0.0790225	0.191213	0.0213491	0.047654	0.0156967	0.0415473
d	0.0512381	0.0198098	0.0303979	0.0277673	0.728384	0.0291977	0.0396894	0.0735154
z	0.00493374	0.000973381	0.00661606	0.00224187	0.963837	0.00865187	0.00158885	0.0111575
á	0.0296113	0.00485989	0.0197539	0.0141464	0.905592	0.0202064	0.00104357	0.00478681
á	0.00768575	0.0124787	0.0265541	0.072459	0.435465	0.195335	0.010142	0.23988
n	0.00612984	0.00973628	0.00378241	0.206377	0.215971	0.472476	0.0645377	0.0209889
d	0.010879	0.121047	0.0366747	0.0349685	0.0163715	0.236509	0.470837	0.0727143
ó	0.00130659	0.0112342	0.00827452	0.0157642	0.0143314	0.135199	0.773793	0.0400977
n	0.00354055	0.0586965	0.101029	0.0317842	0.00397248	0.0316118	0.732385	0.0369805
g	0.0210005	0.0148878	0.0719211	0.0321958	0.0572936	0.0984458	0.52797	0.176285
o	0.0157599	0.0517131	0.262445	0.00543102	0.00131864	0.0117855	0.644093	0.00745334
</S>	0.0100843	0.0540756	0.0532404	0.028959	0.0195977	0.107762	0.39937	0.326911
