 	ma	mère	est	originaire	de	ngae	</S>
n	0.897973	0.060957	0.0365494	0.00077834	0.00302551	0.000509875	0.000206436
g	0.887294	0.108918	0.00158094	0.000276401	0.00101028	0.000895362	2.49474e-05
ó	0.0845019	0.906897	0.00138344	0.00151275	0.000597721	0.00505547	5.16112e-05
o	0.0705627	0.896031	0.0112362	0.010147	0.00236738	0.00948038	0.000175716
y	0.440797	0.0399328	0.309701	0.0786674	0.0472691	0.0147064	0.0689262
a	0.930698	0.0110695	0.0342536	0.00474519	0.00884973	0.00510797	0.00527555
n	0.978221	0.0010655	0.0106004	0.00284736	0.00262787	0.00335803	0.00127971
g	0.931477	0.0234883	0.0033714	0.00505658	0.00447094	0.0311868	0.000948611
á	0.365605	0.528515	0.0164295	0.0132888	0.00515971	0.0589781	0.0120241
á	0.0787044	0.00586554	0.784227	0.0491107	0.0652122	0.00329561	0.0135841
w	0.00504527	0.000957959	0.114355	0.753453	0.0443982	0.0027688	0.0790212
ú	0.00132581	0.00012535	0.0938952	0.810852	0.0691522	0.00146258	0.0231865
r	0.0423678	0.000674157	0.241288	0.432908	0.194581	0.00663358	0.0815476
á	0.0105526	3.20849e-05	0.212185	0.587704	0.154637	0.00243175	0.0324577
n	0.0128524	0.000274459	0.0657799	0.0874014	0.256091	0.53023	0.0473708
g	0.0215792	8.01047e-05	0.0119229	0.0672305	0.093867	0.776782	0.0285384
a	0.00871799	0.00116706	0.00880408	0.0261687	0.0558838	0.881	0.0182581
é	0.00145441	0.000147926	0.103163	0.0368069	0.417992	0.214492	0.225943
</S>	0.000596232	0.000158567	0.0233415	0.0792021	0.26038	0.0419196	0.594402
