 	mon	mari	n'	est	pas	initié	aux	fétiches	</S>
o	0.776123	0.0717275	0.0332036	0.0166857	0.0294566	0.0344351	0.0323287	0.00271793	0.00332147
l	0.0158765	0.956133	0.0186268	0.00220397	0.00255418	0.00202605	0.00035176	0.00130946	0.000918228
ó	0.00343503	0.976264	0.00383076	0.00214174	0.00213468	0.00604066	0.000222468	0.00219867	0.00373206
m	0.000574678	0.990653	0.00133689	0.000376459	0.000368558	0.00171017	0.000196143	0.00100118	0.00378298
i	0.0492507	0.637213	0.201289	0.0306697	0.0211253	0.00963101	0.00785601	0.00876276	0.0342024
y	0.307473	0.12669	0.344186	0.120383	0.0398128	0.0126037	0.0221089	0.00266226	0.0240805
a	0.632749	0.0423969	0.102998	0.0478866	0.0277735	0.00625118	0.043046	0.0436792	0.0532194
n	0.838584	0.00303259	0.0567599	0.0238805	0.00841465	0.000981781	0.0405316	0.0122836	0.0155318
g	0.847759	0.043242	0.0160118	0.00524075	0.00728207	0.00278457	0.0514304	0.0193605	0.00688943
á	0.26951	0.288943	0.0870358	0.0453361	0.0354568	0.0169372	0.0321296	0.076645	0.148007
a	0.0466237	0.00714144	0.419931	0.293241	0.124958	0.020618	0.0582476	0.00984015	0.0193997
d	0.00387708	0.0121198	0.0685733	0.424788	0.292272	0.143277	0.00936768	0.0132802	0.0324453
í	0.00418231	0.00223213	0.0944234	0.516544	0.123157	0.0209523	0.0223511	0.0463706	0.169788
o	0.0153866	0.000315482	0.0346783	0.269704	0.28478	0.135843	0.0891448	0.0311153	0.139033
k	0.00041451	0.00289503	0.00369204	0.0270532	0.105551	0.699378	0.0270979	0.102507	0.0314113
y	5.8827e-06	0.000458963	0.00124185	0.0087935	0.0276824	0.932589	0.00167615	0.0107852	0.0167672
ε	0.000222091	0.00064323	0.00370992	0.0235043	0.0663986	0.813817	0.00774675	0.0423181	0.0416397
k	0.000289092	2.82224e-05	0.00131593	0.016169	0.215092	0.607097	0.0547786	0.0209511	0.0842789
y	0.00828753	0.000116139	0.0010002	0.0148419	0.142979	0.456868	0.148366	0.109082	0.11846
έ	0.000393886	0.000687605	0.00151505	0.0157265	0.106777	0.738611	0.0353087	0.0583279	0.0426522
n	0.00117196	0.000296444	0.000655081	0.0077632	0.0620813	0.381104	0.182779	0.0897291	0.27442
y	0.00490931	0.00397144	0.00503462	0.0377329	0.16315	0.248768	0.347483	0.115504	0.0734461
i	0.00384356	0.00165055	0.0034932	0.0276629	0.199018	0.186183	0.155535	0.249906	0.172707
</S>	0.00108052	0.000147933	0.000800889	0.0102714	0.0504478	0.0462181	0.188962	0.0830295	0.619042
