 	notre	grand	père	a	porté	un	cache-sexe	</S>
k	0.175249	0.734246	0.0697083	0.00805532	0.00635049	0.00532415	0.000957435	0.000109615
a	0.209328	0.600567	0.081225	0.0167881	0.0225218	0.0310774	0.0338016	0.00469133
a	0.296954	0.548096	0.0548349	0.0286561	0.0501216	0.0101828	0.00445009	0.00670424
g	0.154093	0.715034	0.0503296	0.018087	0.00849798	0.00382555	0.000153966	0.0499794
h	0.58638	0.293369	0.0142247	0.0152797	0.0037264	0.00387962	0.00130828	0.0818322
á	0.346397	0.419518	0.0326317	0.0316135	0.015023	0.0114071	0.00242918	0.14098
y	0.334875	0.376739	0.192733	0.0320752	0.00934082	0.0118394	0.00113187	0.0412649
a	0.176978	0.282714	0.462842	0.0273743	0.00341964	0.00895584	0.0204808	0.0172351
b	0.702255	0.101729	0.164045	0.0163893	0.00112958	0.00274678	0.00367433	0.00803125
í	0.970159	0.0198639	0.00512899	0.0024664	0.000613222	0.000584032	0.000833693	0.000350417
s	0.952102	0.0230043	0.00454869	0.00821318	0.00342004	0.00216921	0.00243722	0.00410562
í	0.363741	0.231963	0.0798252	0.0710154	0.0271092	0.0322917	0.0467804	0.147275
á	0.0139467	0.0741504	0.177544	0.531232	0.124911	0.0394365	0.000972826	0.0378073
m	0.00341301	0.0202842	0.0386649	0.260077	0.568691	0.0694118	0.000921945	0.0385369
i	0.00249902	0.00945268	0.000783362	0.262181	0.350225	0.301521	0.00702896	0.0663089
l	0.000197209	0.00297016	0.00124518	0.112996	0.724923	0.12408	0.00615757	0.0274305
á	0.00083269	0.00661328	0.00166555	0.0775403	0.7674	0.0969038	0.00478685	0.0442572
r	0.00256027	0.00601129	0.00279116	0.135817	0.671757	0.131819	0.0151328	0.0341107
á	0.00931213	0.0171829	0.00355338	0.107455	0.518391	0.195836	0.0966323	0.0516367
l	0.00285035	0.00411198	0.00443198	0.0866536	0.147936	0.380651	0.333731	0.0396351
e	0.0116493	0.00386646	0.00151119	0.029549	0.175751	0.289146	0.374721	0.113807
n	0.000993737	0.00118758	0.00038659	0.00735722	0.00760243	0.0642169	0.841805	0.0764503
d	0.00237757	0.000575393	0.000113554	0.00181298	0.00612936	0.0420014	0.910502	0.0364875
z	0.000670652	0.000884292	0.000558802	0.0032262	0.00877113	0.0593068	0.750813	0.175769
ε	6.34054e-05	8.61065e-05	0.000330384	0.00174683	0.0018719	0.0176732	0.926262	0.0519665
m	0.000567208	0.000532098	9.63938e-05	0.00676822	0.0283217	0.0846492	0.505235	0.37383
b	0.00769289	0.002137	0.00057765	0.00695357	0.00965449	0.0869953	0.530029	0.35596
έ	0.00277916	0.00079182	1.71734e-05	0.00300631	0.0117361	0.100814	0.79315	0.0877054
</S>	0.000119453	0.000796646	1.62095e-05	0.00669748	0.0256138	0.109668	0.0642072	0.792882
