 	ils	reviendront	bientôt	</S>
b	0.863474	0.116807	0.0188421	0.000877065
á	0.843073	0.129587	0.0259581	0.00138244
a	0.985725	0.0120367	0.00153239	0.000705482
b	0.375349	0.58531	0.0120191	0.0273215
á	0.345899	0.578618	0.0350402	0.040443
a	0.488935	0.332029	0.0527037	0.126331
y	0.0115394	0.511512	0.222213	0.254736
a	0.0246236	0.588994	0.0617861	0.324596
á	0.0682077	0.285782	0.0190554	0.626955
p	0.0765049	0.640282	0.163603	0.119611
á	0.0117562	0.122302	0.769929	0.0960136
r	0.0483731	0.44157	0.371237	0.138821
á	0.00182163	0.148953	0.342753	0.506472
a	0.00963663	0.167318	0.280524	0.542521
d	0.00438536	0.14929	0.396468	0.449857
í	0.000289608	0.0467924	0.0458049	0.907113
b	0.000738825	0.032356	0.116148	0.850758
h	0.0348109	0.238237	0.551881	0.175071
á	0.000339561	0.0296509	0.346291	0.623719
</S>	0.00141824	0.041928	0.105403	0.851251
