 	cette	femme	remue	du	riz	pour	le	dépoussiérer	</S>
o	0.957876	0.0156817	0.010539	0.00555105	0.00117924	0.00495076	0.00311508	0.000908793	0.000198849
y	0.0184449	0.981003	0.000127707	8.33577e-05	7.01831e-05	4.79796e-05	4.47596e-05	0.000145078	3.30948e-05
u	0.5065	0.484933	0.00363571	0.000299451	0.00219543	0.00013564	0.000166252	0.00132566	0.000808837
r	0.945859	0.0395728	0.000366051	0.000656143	0.00115323	0.00141434	0.00126769	0.00205589	0.00765525
u	0.67328	0.101241	0.00532987	0.0776491	0.0107116	0.0583183	0.0248408	0.0109804	0.0376489
w	0.449844	0.101037	0.0754883	0.100816	0.0140942	0.0838548	0.0395482	0.0106963	0.124621
ó	0.577816	0.00345637	0.018293	0.0941005	0.0710642	0.0613102	0.0716669	0.0257316	0.0765612
b	0.210905	0.00228137	0.173694	0.219989	0.0541582	0.103034	0.043519	0.0119244	0.180494
ó	0.492496	0.00188945	0.0225679	0.305685	0.03434	0.066994	0.0417254	0.0089994	0.0253033
l	0.395859	0.00098038	0.272042	0.166596	0.0574576	0.0244243	0.0288946	0.0117614	0.0419843
á	0.26478	0.00150424	0.0386118	0.164139	0.130812	0.120672	0.0686506	0.036491	0.17434
a	0.261422	0.00131005	0.16002	0.264859	0.0851919	0.0934309	0.0451269	0.0428589	0.0457807
p	0.0308428	0.0258141	0.867704	0.0502752	0.00450044	0.00691009	0.00213081	0.00158547	0.0102367
f	0.000999383	0.000223723	0.889283	0.0619328	0.0014082	0.0114787	0.00342773	0.000644333	0.0306024
u	0.00269466	0.000100051	0.739494	0.154677	0.00247994	0.0539635	0.0165476	0.00310415	0.0269387
m	0.0385599	7.59391e-05	0.546757	0.216151	0.0104351	0.050923	0.049994	0.0169614	0.0701435
b	0.0385662	4.70887e-06	0.18769	0.26755	0.0573151	0.109302	0.0954763	0.0716234	0.172472
á	0.149163	5.4962e-05	0.0369956	0.203182	0.0119638	0.209207	0.0815402	0.0420474	0.265846
l	0.0027092	4.71159e-06	0.0103124	0.19196	0.218188	0.124466	0.236455	0.202278	0.0136265
ώ	0.00170538	4.87622e-06	0.00256484	0.101262	0.108614	0.135028	0.0689808	0.367263	0.214578
s	0.00315649	1.68277e-05	0.0033281	0.0768868	0.112252	0.0916277	0.0724691	0.556784	0.0834789
ω	0.000341875	2.14458e-05	0.000102517	0.00417614	0.0347887	0.0141762	0.0363863	0.860754	0.0492526
</S>	4.51666e-05	5.8705e-07	0.000565363	0.0240101	0.0260923	0.0369682	0.0949505	0.612957	0.204411
