 	ne	vous	fiez	pas	aux	paroles	des	féticheurs	</S>
l	0.874605	0.0985765	0.0040414	0.00952017	0.00923194	0.00193808	0.00172206	0.000256678	0.000108126
e	0.779198	0.0419763	0.0242343	0.0827601	0.042349	0.00480498	0.0176716	0.00568386	0.00132215
t	0.536359	0.0883843	0.0862473	0.0822895	0.0722524	0.00537167	0.0187241	0.0616571	0.0487147
á	0.0450421	0.0507815	0.211142	0.16091	0.114482	0.149092	0.0242978	0.0193455	0.224907
a	0.153786	0.111201	0.0938122	0.0496243	0.0645995	0.0971566	0.013629	0.0107285	0.405463
w	0.551441	0.163025	0.151389	0.0266992	0.0261715	0.0052212	0.0162265	0.00423375	0.0555932
á	0.306968	0.10876	0.217094	0.0902696	0.134234	0.0267683	0.0327192	0.00495258	0.0782333
á	0.228674	0.190581	0.10064	0.0487276	0.0775644	0.0348448	0.0354299	0.0238111	0.259727
l	0.0754602	0.0704091	0.698101	0.0672423	0.0374039	0.00572171	0.00915585	0.00574309	0.0307631
e	0.0256133	0.0480718	0.544894	0.0823442	0.0480241	0.00330021	0.0254083	0.0208902	0.201454
s	0.0519873	0.0425039	0.589843	0.100944	0.0437201	0.0149273	0.0214685	0.0110536	0.123552
í	0.0170829	0.0185068	0.68978	0.106205	0.0417641	0.00667081	0.0160068	0.0348601	0.0691236
n	0.0889926	0.119348	0.0936829	0.279401	0.122834	0.0428753	0.0613214	0.0548818	0.136663
í	0.100243	0.203231	0.0554654	0.192218	0.0615933	0.00423814	0.0172269	0.29282	0.0729647
í	0.0180434	0.0219313	0.259863	0.495208	0.13111	0.0148807	0.0234848	0.00776161	0.027717
m	0.00667474	0.00333241	0.119898	0.537846	0.215887	0.0802953	0.0221463	0.00540322	0.00851799
ó	0.00409365	0.00653478	0.0206679	0.126854	0.638421	0.0400486	0.0671293	0.00444256	0.0918081
p	0.00351941	0.00242521	0.134652	0.282316	0.153241	0.34264	0.0182342	0.00704635	0.0559257
ώ	0.000195307	0.000116558	0.00488299	0.0200684	0.013374	0.951077	0.00330608	0.000238453	0.00674139
ω	0.000701741	0.00138961	0.0167233	0.135604	0.0494014	0.748642	0.0137398	0.00222877	0.0315695
y	0.00130568	0.000128308	0.00469769	0.183293	0.423348	0.197064	0.140974	0.00771925	0.0414698
é	0.0167408	0.0015496	0.0215806	0.165117	0.111481	0.333968	0.150244	0.0999152	0.0994046
é	0.00862473	0.00246877	0.00684952	0.141416	0.23194	0.090685	0.233663	0.172736	0.111616
s	0.00328314	0.00123205	0.0354199	0.0929008	0.157451	0.0686179	0.332646	0.136754	0.171695
ε	0.00169779	0.000623442	0.0133217	0.0528138	0.0561266	0.0168356	0.23527	0.340495	0.282816
r	0.000210669	4.47784e-05	0.00278333	0.0532191	0.0600682	0.072135	0.385865	0.124291	0.301383
έ	0.000248171	8.58916e-05	0.00181549	0.0753584	0.136067	0.321933	0.260264	0.0938969	0.11033
a	0.000745188	0.00014081	0.000965058	0.0646271	0.156966	0.0336605	0.382864	0.220353	0.139678
n	0.00227492	0.0012807	0.00790636	0.039886	0.0806374	0.0124132	0.172961	0.550353	0.132288
g	0.000555137	0.000269405	0.000309803	0.00234132	0.00261236	0.000147341	0.0128882	0.967958	0.012918
a	0.000116906	0.000276415	0.000113807	0.00515339	0.00687528	0.00162943	0.0200524	0.945117	0.0206655
n	0.000102464	5.3908e-05	0.000752224	0.0130729	0.0369013	0.0216843	0.177523	0.302817	0.447093
g	0.000902628	0.000352228	0.00429446	0.0129359	0.0140848	0.00662874	0.0725783	0.617423	0.2708
a	0.000263578	0.000385258	0.000151252	0.00228842	0.00239545	0.00436288	0.0222618	0.878848	0.0890434
</S>	0.000490736	0.000214278	0.00159801	0.0134845	0.0333386	0.0372276	0.171938	0.159283	0.582425
