 	le	fruit	sauvage	lengyé	est	utilisé	comme	appât	pour	prendre	le	blaireau	</S>
l	0.355541	0.343936	0.0886235	0.0812062	0.0771011	0.00735588	0.0273485	0.0103249	0.00650137	0.000794097	0.000943822	0.000305101	1.87068e-05
e	0.240449	0.236638	0.251904	0.100976	0.111139	0.00144008	0.0223462	0.0214385	0.00934735	0.000462559	0.00297012	0.000217003	0.000673131
n	0.0543871	0.0776211	0.130217	0.659342	0.0330812	0.00603535	0.00865507	0.020499	0.00473391	0.00121728	0.000785458	0.000167457	0.003258
g	0.0186627	0.0220976	0.0553951	0.858511	0.0262935	0.000305473	0.00586097	0.00433942	0.00211005	0.000649618	0.00211258	8.81869e-05	0.00357401
y	0.00300876	0.00339603	0.00797543	0.981896	0.00135853	0.000275801	0.000462591	0.000490087	0.000352428	0.000235277	0.000130829	6.63141e-05	0.000352213
ε	0.023507	0.0135527	0.0530574	0.871787	0.018172	0.000249654	0.00335016	0.00471883	0.00243917	0.000487439	0.00058672	3.4231e-05	0.00805786
b	0.0493859	0.0893435	0.166785	0.362102	0.238171	0.00913861	0.0382297	0.0153732	0.0100798	0.00214686	0.00418419	0.000198923	0.0148618
á	0.082147	0.0442981	0.320975	0.102631	0.282558	0.00658162	0.0533462	0.0096647	0.0219329	0.0077281	0.0140102	0.0107201	0.0434074
a	0.0348147	0.0728433	0.27582	0.0530014	0.408074	0.0332067	0.0513999	0.0189433	0.0209004	0.00470103	0.0103244	0.00179032	0.0141798
k	0.0127359	0.03016	0.046049	0.022802	0.108159	0.632968	0.0507379	0.0320256	0.0166752	0.0278219	0.00553529	0.00342358	0.0109065
o	0.00113326	0.000994481	0.00225236	0.00171379	0.00449853	0.917225	0.0221021	0.0129119	0.00521443	0.0279815	0.000579066	0.00111645	0.00227748
b	0.0010086	0.000722125	0.00308153	0.0136545	0.00482229	0.924689	0.0204472	0.00594017	0.00317777	0.0154637	0.00272803	0.00152643	0.00273847
h	0.0279209	0.015118	0.0506686	0.0316619	0.0807354	0.476614	0.180339	0.0400604	0.0282261	0.0254273	0.00592056	0.0082163	0.0290916
á	0.0267661	0.0193482	0.114321	0.0375861	0.0695972	0.0947034	0.294969	0.0649136	0.0657196	0.0390036	0.0368378	0.0172681	0.118965
m	0.00335236	0.00590346	0.0435869	0.00582869	0.297659	0.0403326	0.326561	0.176575	0.0817776	0.00511939	0.00651539	0.00197563	0.00481229
e	0.011757	0.00830818	0.0354964	0.00114555	0.0262172	0.00414267	0.122681	0.316196	0.399386	0.00981059	0.0271967	0.000611438	0.0370514
d	0.000972054	0.00121706	0.00709147	0.00069115	0.0074615	0.0262442	0.193813	0.407415	0.302322	0.0436404	0.00449757	0.00235264	0.00228206
z	0.000567363	0.000868781	0.00379303	0.000251529	0.00197604	0.00821156	0.105841	0.669204	0.0756439	0.0347255	0.00780831	0.000702643	0.0904062
é	0.000286304	9.38452e-05	0.00155444	0.000522733	0.0017575	0.00747694	0.0493955	0.844106	0.0632308	0.0123359	0.0029616	0.000164522	0.0161137
s	0.000353611	0.000273418	0.00240106	0.00113175	0.00729042	0.0336671	0.184401	0.500759	0.114862	0.109518	0.0150374	0.00368581	0.0266185
á	0.0012133	0.00131319	0.00684307	0.00567667	0.00664041	0.0154351	0.16928	0.564398	0.11366	0.0796659	0.0182835	0.00360273	0.0139886
y	0.00149708	0.00210659	0.00525175	0.00140625	0.0150248	0.00574706	0.179238	0.237937	0.335588	0.103687	0.0838282	0.0124947	0.0161936
á	0.0208893	0.0304977	0.170597	0.0236126	0.0509282	0.00428252	0.151104	0.256021	0.17621	0.0270384	0.0603078	0.00251342	0.0259977
k	0.00408373	0.0073793	0.0951458	0.00906989	0.0518795	0.00705977	0.0975846	0.334186	0.163465	0.0939351	0.0792647	0.0404446	0.0165017
o	0.000265012	0.00124042	0.00399231	0.000315997	0.00354278	0.0135899	0.0669947	0.0547703	0.0561389	0.547358	0.0175947	0.227047	0.00714976
l	0.00016426	0.000355809	0.00182977	0.000328775	0.000248495	0.0497754	0.0244072	0.0891339	0.056927	0.682987	0.019821	0.0677106	0.00631064
ó	0.00124718	0.00190114	0.00644809	0.00432654	0.00235377	0.0240039	0.0646185	0.0478594	0.0966295	0.521081	0.0766347	0.0816496	0.071247
</S>	0.000969222	0.00120245	0.00337294	0.000428953	0.0037538	0.000676835	0.0366104	0.0253004	0.0965999	0.127538	0.46795	0.0980701	0.137527
