 	c'	est	un	enfant	avancé	pour	son	âge	</S>
m	0.318932	0.228158	0.268692	0.1706	0.00124675	0.00441306	0.00706902	0.000773722	0.000114946
w	0.11174	0.0307206	0.0163818	0.809302	0.00301509	0.00553727	0.00829194	0.00313114	0.0118807
á	0.00405742	0.00656059	0.00313492	0.985676	7.31509e-05	0.000189136	3.3209e-05	0.000240868	3.46497e-05
n	0.102544	0.0830397	0.0491246	0.717596	0.000860354	0.00318523	0.0021945	0.00264732	0.0388076
a	0.0954411	0.0216612	0.0243967	0.632081	0.0124545	0.0212282	0.0089231	0.013289	0.170525
a	0.313293	0.14745	0.494545	0.0227383	0.00405902	0.00340889	0.0109967	0.00167874	0.00182942
d	0.0403337	0.19765	0.261889	0.0836781	0.215577	0.105325	0.0424624	0.0089338	0.0441509
í	0.0154957	0.165262	0.243646	0.0303093	0.226134	0.0577528	0.0110204	0.00218138	0.248198
l	0.034411	0.0745021	0.261587	0.0179293	0.179854	0.0543053	0.0531915	0.0105872	0.313632
a	0.0216273	0.030851	0.168248	0.0102181	0.340974	0.111805	0.0685214	0.00996355	0.237791
d	0.00943501	0.0347778	0.234285	0.0259367	0.5207	0.0789135	0.0359658	0.019789	0.0401972
z	0.0373022	0.0347805	0.536883	0.0978566	0.190471	0.0575296	0.0108969	0.0188249	0.0154555
ó	0.0583695	0.0505636	0.299143	0.0969451	0.359304	0.0715262	0.018443	0.0157911	0.0299145
l	0.00890252	0.0510959	0.186713	0.013998	0.410928	0.126766	0.0430333	0.0529197	0.105643
a	0.00528241	0.0323137	0.124971	0.00715212	0.255817	0.200005	0.0757478	0.0416062	0.257105
l	0.00548147	0.0120976	0.0660993	0.00511682	0.650673	0.124578	0.036349	0.01122	0.0883843
í	0.00283096	0.00619815	0.0152074	0.000405709	0.433227	0.146532	0.0470205	0.0152949	0.333284
í	0.00314221	0.00528973	0.0443629	0.00170652	0.41001	0.288406	0.0957505	0.03705	0.114282
i	0.00420659	0.0171923	0.0488112	0.00195552	0.299966	0.444611	0.116123	0.0295729	0.0375611
p	0.0012708	0.0111505	0.0111517	0.00139209	0.444987	0.452162	0.022928	0.0227439	0.0322142
é	0.00047433	0.00718525	0.00815661	0.000503274	0.193307	0.666468	0.042572	0.0394029	0.04193
n	0.000293738	0.00269651	0.00612607	0.000537781	0.172864	0.410843	0.0585199	0.0290421	0.319077
d	0.00137644	0.00433478	0.00471682	0.00135633	0.0564634	0.618725	0.109332	0.0374799	0.166215
i	0.00201761	0.00457113	0.0136421	0.00379745	0.125927	0.451072	0.112463	0.0261526	0.260357
a	0.00369104	0.00387051	0.0167135	0.00167789	0.0461796	0.22129	0.561856	0.0488233	0.0958974
m	0.00341709	0.0103803	0.0254272	0.000645739	0.052738	0.209133	0.372094	0.277332	0.0488334
b	0.00562005	0.0129788	0.0187663	0.000998972	0.0174626	0.0501785	0.165907	0.547361	0.180727
v	0.000334967	0.00118048	0.00249891	0.00200307	0.00287843	0.0684154	0.0305099	0.845924	0.0462552
ú	0.000373221	0.000867219	0.00137387	0.00264908	0.00110986	0.0825516	0.0428627	0.617104	0.251109
l	0.00372157	0.00885357	0.0315985	0.000639791	0.00902104	0.176772	0.335503	0.220401	0.213489
á	0.00101721	0.0017434	0.00439557	9.89569e-05	0.00520542	0.209373	0.37052	0.183535	0.224111
b	0.00504761	0.00346857	0.0136986	0.00141036	0.0169753	0.0760181	0.400751	0.277495	0.205135
á	0.000659902	0.00368821	0.00226538	0.000397916	0.00129357	0.0601895	0.198084	0.694528	0.0388932
w	0.000850735	0.00250714	0.00453497	0.000372481	0.0039768	0.122302	0.294504	0.416685	0.154266
a	0.00144291	0.00352855	0.00174109	0.000608588	0.00259878	0.0483147	0.200805	0.443073	0.297887
</S>	0.000191476	0.000457619	0.00274601	4.48411e-05	0.00463877	0.033749	0.268745	0.19806	0.491368
