 	il	a	refusé	de	faire	ma	com	mission	par	canaillerie	</S>
w	0.866932	0.123549	0.0029153	0.00364414	0.00165606	0.00121177	3.06378e-06	1.26077e-05	5.86259e-05	6.8435e-06	1.1165e-05
a	0.616644	0.337425	0.0128623	0.0253094	0.00248232	0.00483248	1.52365e-05	7.88719e-06	0.000331008	8.12145e-05	1.00508e-05
á	0.168973	0.61298	0.143851	0.0493841	0.00953394	0.010971	0.00126726	0.000383973	0.00192689	0.000423139	0.000306394
t	0.0148124	0.241663	0.624147	0.0188211	0.0162432	0.00674283	0.0161141	0.0191877	0.00792414	0.00446508	0.0298793
ó	0.00170286	0.0413394	0.651898	0.0686658	0.0974112	0.00845813	0.0307088	0.0460893	0.00706046	0.00780541	0.0388606
n	0.00369141	0.0614574	0.711458	0.103353	0.0747615	0.0139014	0.0100324	0.00846796	0.00349547	0.00102496	0.0083561
i	0.0346867	0.0945644	0.552165	0.13713	0.0821601	0.0207499	0.0195814	0.0157684	0.00790507	0.00227	0.0330199
o	0.209755	0.0801869	0.0977432	0.32511	0.0943778	0.15867	0.0154129	0.00360835	0.00462683	0.00648186	0.00402742
d	0.00277111	0.0107715	0.13977	0.205925	0.36452	0.0483086	0.148982	0.037055	0.00388202	0.0361678	0.00184726
z	0.000329219	0.00428678	0.210088	0.145523	0.240889	0.0434712	0.304582	0.0189157	0.00504642	0.0104005	0.0164692
w	0.00585418	0.0115162	0.0970897	0.147313	0.204237	0.0180394	0.459786	0.0501394	0.00109932	0.000611954	0.00431365
a	0.00798714	0.0145749	0.207498	0.212705	0.278789	0.0635156	0.154682	0.02536	0.0070197	0.00221264	0.0256563
n	0.00495921	0.00581057	0.0388762	0.0985123	0.15171	0.583652	0.059172	0.0117835	0.00859193	0.022484	0.0144483
g	0.00988599	0.00449533	0.0229547	0.0937371	0.0726922	0.459045	0.18351	0.00614117	0.0194832	0.0892236	0.0388318
á	0.00266482	0.00421339	0.0213419	0.0311018	0.0273583	0.347214	0.513862	0.00979406	0.00656894	0.0308491	0.00503095
o	0.00253694	0.00188515	0.00678567	0.105902	0.264222	0.389535	0.0810651	0.0657092	0.0442453	0.0305238	0.00758912
t	6.14386e-05	0.000557976	0.00350278	0.00698906	0.0818628	0.0268698	0.337024	0.485709	0.0349887	0.0178134	0.00462093
ó	2.81971e-05	0.000316709	0.00281107	0.00625711	0.0690356	0.00933746	0.117122	0.753279	0.0245052	0.00616885	0.0111385
m	3.25641e-05	0.00017579	0.00334236	0.0150833	0.106473	0.0134564	0.133684	0.6711	0.0250698	0.00689496	0.0246886
á	0.00144262	0.00160009	0.0060619	0.0528284	0.109889	0.145901	0.152792	0.20155	0.22467	0.0159547	0.0873102
m	0.00439782	0.00212341	0.00476811	0.00950304	0.0142051	0.0635849	0.0302527	0.102299	0.263133	0.421867	0.0838659
é	0.00233971	0.00153921	0.00139298	0.0105562	0.00692036	0.0184165	0.0164498	0.0559942	0.379362	0.180688	0.326341
k	0.000581809	0.000939599	0.00147197	0.0123977	0.0111542	0.0322158	0.0145351	0.0730752	0.491923	0.315981	0.0457254
á	0.000311677	0.000474959	0.00120781	0.00572204	0.0317884	0.00383916	0.00705126	0.315161	0.388979	0.133075	0.112391
á	0.00042177	0.000236102	0.00119908	0.00209035	0.0125448	0.00575145	0.00917332	0.156074	0.228382	0.327572	0.256555
n	0.000847797	0.00193626	0.00848641	0.00963391	0.00767034	0.016498	0.00857764	0.0211	0.303078	0.195634	0.426538
á	0.0040894	0.00375708	0.00937882	0.0123559	0.00528067	0.050947	0.0211746	0.0197814	0.210527	0.532862	0.129847
</S>	0.00314483	0.00133683	0.00286096	0.00915483	0.00748959	0.0181392	0.00822804	0.0336015	0.290411	0.177729	0.447904
