 	l'	éléphant	ne	met	bas	qu'	un	seul	petit	</S>
n	0.449914	0.38417	0.0817609	0.0256278	0.0065607	0.0159241	0.0147606	0.0185181	0.00147525	0.00128831
z	0.511491	0.460614	0.00552239	0.00235404	0.00188964	0.00492867	0.0042733	0.00588476	0.00293703	0.000104678
ω	0.0211327	0.957194	0.00527837	0.00190148	0.00245853	0.0012317	0.00343654	0.00283656	0.00437976	0.000150851
i	0.0122221	0.90465	0.0140419	0.00350494	0.00631329	0.00189299	0.00496179	0.00364964	0.0235117	0.0252517
l	0.0781602	0.0595244	0.5922	0.139102	0.0380587	0.0188776	0.00920028	0.0108031	0.00460582	0.0494678
á	0.103281	0.108994	0.182277	0.076044	0.0487352	0.0341878	0.0278494	0.0307601	0.0485123	0.339358
a	0.493823	0.0618651	0.174625	0.10421	0.0515931	0.0367808	0.0157843	0.0253172	0.015017	0.0209838
b	0.00834356	0.0313367	0.108234	0.273267	0.410961	0.0513121	0.0407755	0.00979855	0.0109983	0.0549736
ó	0.0224932	0.0483139	0.0544261	0.321295	0.373998	0.0425956	0.0535917	0.0159292	0.0106227	0.0567345
r	0.00578763	0.0374002	0.041525	0.219186	0.36229	0.0370919	0.061271	0.0124439	0.0193307	0.203673
á	0.0536169	0.0437368	0.0543673	0.264318	0.244697	0.0823723	0.0736969	0.0455006	0.0185247	0.119169
á	0.0429625	0.0031994	0.047575	0.200542	0.204957	0.322406	0.0821933	0.0767628	0.0106779	0.00872394
k	0.00909229	0.00360842	0.0173873	0.0636193	0.158349	0.344507	0.20453	0.117165	0.0619321	0.0198094
á	0.00129611	0.00253788	0.00963305	0.0540554	0.136998	0.157552	0.45383	0.0577336	0.0628605	0.0635035
a	0.00148585	0.000830535	0.0308172	0.128573	0.158503	0.195816	0.190746	0.0503448	0.0386598	0.204223
m	0.00250968	0.000211893	0.00958702	0.0561578	0.0606703	0.294669	0.215439	0.242964	0.0609017	0.0568909
w	0.0126935	0.00379039	0.00341297	0.0143451	0.0389996	0.0657574	0.141366	0.337285	0.11579	0.26656
á	0.00861231	0.00693842	0.00293864	0.00903933	0.0464635	0.0443222	0.12113	0.151087	0.389927	0.219542
n	0.0508882	0.00635343	0.00310118	0.0316463	0.0523229	0.101633	0.130868	0.336506	0.0860515	0.200629
a	0.0356259	0.0135305	0.00549513	0.0209841	0.0665005	0.113995	0.157613	0.199914	0.300628	0.0857135
o	0.00342407	0.000942483	0.0158619	0.0324875	0.0260395	0.17985	0.159632	0.20984	0.159707	0.212215
p	0.000588112	0.00114773	0.00431545	0.00700059	0.0189381	0.0662728	0.169643	0.0891409	0.418222	0.224731
ω	0.00016287	0.00386959	0.00662756	0.0133616	0.0292821	0.0374754	0.317823	0.104044	0.23998	0.247373
ώ	0.000300549	0.00092663	0.00384808	0.00869134	0.0195366	0.0603773	0.280219	0.119268	0.283772	0.223061
o	0.00674004	0.00081745	0.0084758	0.0206904	0.0136348	0.113184	0.126094	0.341145	0.148782	0.220436
t	0.00220351	0.00248262	0.00491123	0.00791385	0.0173704	0.0478734	0.126332	0.0913249	0.387312	0.312276
o	0.000590226	0.00223338	0.0108314	0.0291806	0.046406	0.0525776	0.189966	0.108972	0.283933	0.27531
</S>	0.000431184	0.000267685	0.00169198	0.00964108	0.0158026	0.0225318	0.112435	0.047491	0.149531	0.640176
