 	le	pêcheur	a	tué	une	carpe	avec	un	harpon	</S>
o	0.852902	0.126713	0.00855503	0.00254724	0.00653769	0.00169928	0.000481973	0.00044719	8.14751e-05	3.50838e-05
l	0.0286503	0.959043	0.00982456	0.00163661	0.000313825	0.000110833	3.38792e-05	6.49398e-05	5.00116e-05	0.000272105
ώ	0.00604911	0.989739	0.000580064	0.00180772	0.000343676	0.000781832	4.06797e-05	7.75215e-05	9.41175e-05	0.000486765
b	0.0112366	0.929338	0.0348166	0.00200359	0.00703646	0.00339066	0.000581692	0.00122361	0.00428178	0.00609128
h	0.177945	0.198999	0.186441	0.0159162	0.08102	0.0152979	0.0454767	0.0341404	0.0465798	0.198185
i	0.31102	0.204761	0.224495	0.0643387	0.0642703	0.0106788	0.0137565	0.00909549	0.00821433	0.0893708
á	0.0876828	0.00831684	0.849114	0.0154701	0.0199668	0.00209312	0.00508613	0.00641166	0.000892353	0.00496594
m	0.0138018	0.012352	0.246348	0.520146	0.111231	0.0455932	0.00727102	0.00958887	0.00686734	0.0268011
i	0.0343806	0.00110721	0.0675914	0.376181	0.134459	0.289846	0.0212807	0.0366482	0.00616482	0.0323411
b	0.00117876	0.00487739	0.0163054	0.903853	0.0240542	0.0293205	0.00209746	0.00168263	0.00124915	0.0153814
o	0.000297441	0.000642238	0.00142193	0.968576	0.00390862	0.0171767	0.00334445	0.00119753	0.0010118	0.00242304
m	0.000213502	0.00213437	0.00430107	0.887071	0.0418699	0.0449105	0.00609096	0.00243445	0.00223608	0.00873784
á	0.0109862	0.000525756	0.0345536	0.044168	0.342926	0.31756	0.0739256	0.11902	0.0109449	0.0453902
m	0.00552431	0.000584621	0.0358952	0.0283713	0.242618	0.365416	0.135512	0.134734	0.0375495	0.0137944
b	0.000692888	3.79799e-05	0.000164145	0.00682418	0.0274584	0.855021	0.0333351	0.0205568	0.0138711	0.0420384
ó	4.47066e-05	1.08257e-05	7.85529e-05	0.0064618	0.0255507	0.902249	0.0084995	0.00458943	0.0502062	0.00230926
r	0.000351023	0.000166774	0.000997621	0.0589252	0.0193804	0.810244	0.0382515	0.00826764	0.0516759	0.0117401
ó	0.00407144	0.00720742	0.0028833	0.00480446	0.125598	0.522987	0.137126	0.0500191	0.0641933	0.0811094
m	0.00191913	0.000750798	0.00992858	0.00176895	0.0674427	0.110948	0.219404	0.166302	0.244309	0.177227
ó	0.00351002	0.000173928	0.00225192	0.00226934	0.0279238	0.0892323	0.154158	0.227145	0.140347	0.352988
s	0.00238037	0.000558138	0.00418618	0.00214616	0.012758	0.024981	0.0605674	0.0981338	0.746289	0.0479999
ω	0.00386793	0.000467865	0.00366483	0.00242795	0.00376871	0.0162889	0.0147167	0.100713	0.820537	0.0335468
í	0.000211927	4.52486e-05	0.00141688	0.000998412	0.00672209	0.0164261	0.0479812	0.0509763	0.746928	0.128294
</S>	0.00295191	0.00105849	0.00506079	0.00821638	0.0223931	0.0344493	0.0535565	0.16706	0.455315	0.249938
