 	l'	enfant	est	malade	depuis	avant-hier	</S>
m	0.612114	0.375028	0.00850111	0.00240435	0.00153143	0.000366572	5.43164e-05
w	0.0512152	0.939795	0.00501545	0.00113009	0.000509906	0.000116793	0.00221716
á	0.0197802	0.97761	0.000459714	0.000726569	0.000531803	0.000837397	5.41836e-05
n	0.0828331	0.907956	0.00116615	0.000962472	0.000864516	0.000177616	0.00604021
a	0.0805111	0.664705	0.0408613	0.00397988	0.00513432	0.00212457	0.202684
n	0.774941	0.106867	0.0837409	0.0107469	0.00489867	0.00321742	0.0155881
d	0.227541	0.383145	0.0881248	0.00530839	0.00933446	0.0385992	0.247947
z	0.372507	0.42842	0.0340077	0.00273754	0.00236772	0.110374	0.0495864
ó	0.326865	0.453282	0.0657221	0.0184289	0.0105042	0.0696001	0.055597
r	0.347059	0.196337	0.130602	0.138011	0.0279187	0.0244196	0.135653
o	0.323825	0.291125	0.150637	0.154375	0.0415962	0.00505166	0.03339
é	0.111602	0.0516129	0.772807	0.0398955	0.0126885	0.00188571	0.00950869
d	0.0222956	0.0155066	0.789038	0.0817311	0.00897397	0.00507939	0.077375
í	0.00470482	0.00213312	0.263346	0.190186	0.0249973	0.0158704	0.498763
l	0.0330413	0.00658634	0.299117	0.296906	0.148802	0.0404679	0.17508
a	0.0063072	0.00754409	0.0461891	0.327632	0.314645	0.105999	0.191684
b	0.00847582	0.00505225	0.0335798	0.35967	0.22935	0.202719	0.161153
v	0.00467275	0.00564521	0.0537818	0.64635	0.239808	0.0190766	0.0306663
ú	0.00132569	0.00539647	0.0330168	0.270376	0.663096	0.0151242	0.0116653
á	0.00292059	0.00101795	0.0265864	0.179274	0.619806	0.0337551	0.13664
w	0.00387734	0.00347359	0.0299505	0.0344642	0.218703	0.358319	0.351212
ú	0.0111791	0.00285282	0.040681	0.102534	0.68755	0.0724325	0.082771
r	0.0044528	0.00155924	0.0078904	0.0263847	0.312328	0.407402	0.239983
á	0.00712106	0.00351433	0.00971735	0.0652363	0.562103	0.22338	0.128927
y	0.00732441	0.00146366	0.00880035	0.0173812	0.141278	0.349099	0.474654
á	0.0540666	0.0119424	0.102084	0.0121603	0.0555348	0.581022	0.183189
n	0.00708032	0.000983239	0.00595986	0.0029067	0.0335684	0.799338	0.150164
á	0.000909269	0.00056023	0.000394741	0.000271055	0.00128954	0.982466	0.0141088
</S>	0.00209308	0.00025952	0.00291685	0.00641086	0.030983	0.192164	0.765173
