 	toute	la	nuit	entière	notre	maison	chauffe	</S>
k	0.608444	0.255903	0.0990367	0.00473553	0.0188915	0.0112462	0.0015483	0.000194345
ó	0.448357	0.361355	0.130081	0.00788695	0.0189796	0.0175861	0.0147408	0.0010139
l	0.0439686	0.188351	0.570074	0.0736279	0.0377117	0.0140331	0.0116537	0.06058
i	0.260238	0.45678	0.196751	0.0149119	0.0162012	0.00388831	0.0105154	0.0407142
é	0.504858	0.272015	0.0834822	0.0487605	0.029078	0.00602737	0.00267495	0.0531038
t	0.37884	0.164061	0.189661	0.0525331	0.0440536	0.0330353	0.00386852	0.133946
s	0.107884	0.307412	0.36729	0.0140246	0.0177336	0.00343115	0.0079248	0.1743
ω	0.296725	0.221699	0.380292	0.0155509	0.0523926	0.00959733	0.00288226	0.0208607
e	0.219933	0.217288	0.411583	0.0576636	0.017959	0.00577378	0.0014377	0.0683618
t	0.184458	0.120949	0.289594	0.103874	0.100242	0.0536159	0.00367353	0.143593
s	0.142185	0.24269	0.39913	0.0269342	0.04062	0.01533	0.0105835	0.122528
i	0.112889	0.20823	0.505245	0.0292686	0.0990732	0.0187981	0.00522147	0.0212739
i	0.0379278	0.0601531	0.198059	0.352677	0.171573	0.0688159	0.00211767	0.108677
n	0.0323485	0.0284396	0.10391	0.218591	0.314166	0.200903	0.00844458	0.0931978
a	0.0318935	0.0166303	0.0089464	0.174014	0.094627	0.633436	0.0147323	0.0257202
n	0.016307	0.0206371	0.0615623	0.222092	0.299389	0.210907	0.0453365	0.123769
d	0.0239891	0.0197496	0.00703138	0.14662	0.0349842	0.668476	0.0264015	0.0727478
é	0.00318747	0.00694684	0.00700541	0.0964636	0.0174739	0.760359	0.0719064	0.0366579
e	0.0245123	0.06977	0.0879206	0.0643641	0.0884266	0.183361	0.319927	0.161719
y	0.0211977	0.0223439	0.0322175	0.0775512	0.17006	0.184241	0.210328	0.28206
á	0.0629451	0.0490018	0.0488202	0.214295	0.122741	0.0635277	0.168418	0.270252
b	0.00585359	0.00759054	0.00643138	0.658175	0.194843	0.022223	0.0798329	0.0250506
í	0.000494035	0.000866222	0.00230323	0.74631	0.224448	0.00206964	0.0219793	0.00152926
s	0.0007822	0.00106662	0.00161907	0.87778	0.0879011	0.00262013	0.0264325	0.00179878
í	0.00285699	0.00466781	0.0109903	0.40256	0.13278	0.071858	0.204287	0.17
é	0.00362356	0.00335951	0.00702347	0.0568606	0.0840981	0.0688555	0.0992255	0.676954
d	0.0120581	0.00698456	0.0228596	0.0255266	0.0337461	0.0294283	0.0878056	0.781591
í	0.00937909	0.00368504	0.00808108	0.0220954	0.0260872	0.0168631	0.0163427	0.897466
l	0.00753487	0.00211186	0.00304424	0.198415	0.0358109	0.0470529	0.0194924	0.686538
a	0.00182177	0.00172626	0.00706457	0.0229854	0.0216095	0.0126843	0.046048	0.88606
m	0.00536463	0.00571982	0.0120164	0.114982	0.0198873	0.0072604	0.460581	0.374189
í	0.00569261	0.0224144	0.0401048	0.119048	0.0367353	0.00392971	0.119296	0.652778
á	0.00113884	0.00523935	0.0142472	0.0984359	0.0120923	0.00566168	0.175045	0.68814
</S>	0.0103357	0.00523581	0.0206781	0.0321344	0.038241	0.0423753	0.0405179	0.810482
