 	la	nourriture	que	notre	maman	a	préparée	est	pimentée	</S>
b	0.239032	0.721259	0.027391	0.00348785	0.00106247	0.00455067	0.000520763	0.00233171	7.93659e-05	0.000285596
e	0.086544	0.834086	0.0263677	0.0165394	0.00953638	0.0189768	0.00200752	0.0038055	0.000689093	0.00144742
a	0.0116101	0.907266	0.0315306	0.0126891	0.000389649	0.0186724	0.0125755	0.00302408	5.29408e-05	0.00218924
b	0.218758	0.430247	0.158031	0.0198952	0.00271813	0.0399332	0.00974476	0.0236949	0.000866858	0.0961109
í	0.0478255	0.205609	0.471184	0.0721269	0.00800611	0.0873743	0.0109696	0.0243585	0.000496893	0.0720497
í	0.0470199	0.304586	0.191271	0.0537335	0.00866766	0.0408855	0.0206048	0.0250012	0.00645299	0.301777
l	0.0146646	0.0031301	0.19353	0.0707588	0.169161	0.100572	0.274234	0.109632	0.00457612	0.0597418
á	0.0107294	0.00252431	0.155893	0.0274311	0.174752	0.0804779	0.255259	0.0766051	0.0391003	0.177228
m	0.0274574	0.00698862	0.0953172	0.13952	0.0937135	0.0580601	0.44512	0.0344431	0.025848	0.0735325
b	0.0309507	0.0110235	0.268115	0.137955	0.246718	0.171956	0.113901	0.00930861	0.00128456	0.00878752
í	0.0586613	0.0239619	0.315445	0.193202	0.136503	0.179591	0.0144474	0.0253175	0.00526277	0.0476074
n	0.0187528	0.0160441	0.322162	0.252076	0.0203782	0.268615	0.0203312	0.0383697	0.0022721	0.0409985
g	0.0116783	0.00303506	0.0729402	0.355057	0.354127	0.0415938	0.0242361	0.0031898	0.0608194	0.0733242
ó	0.00303915	0.000546423	0.0120192	0.0266516	0.809013	0.0168636	0.0405681	0.0022332	0.0822287	0.00683742
o	0.00430591	0.000814999	0.0251401	0.0150198	0.696782	0.0364157	0.0237245	0.00656905	0.162046	0.0291816
y	0.00640386	0.00107432	0.111002	0.0652701	0.049743	0.511981	0.0655365	0.151644	0.0282859	0.00905847
a	0.0515435	0.00298115	0.0853512	0.301277	0.039416	0.272184	0.139426	0.0574866	0.0181077	0.0322275
b	0.0143832	0.00158755	0.0467281	0.659407	0.00845418	0.0993595	0.0587465	0.0733844	0.0270279	0.0109216
í	0.0160123	0.0899769	0.0322002	0.318236	0.00332112	0.347645	0.102371	0.0637242	0.0135232	0.0129904
s	0.0106662	0.0115512	0.0509631	0.790434	0.0106826	0.0552407	0.0207535	0.0209385	0.00841411	0.0203562
í	0.0186516	0.00103905	0.0303148	0.19026	0.00408058	0.12904	0.031324	0.0322873	0.0483202	0.514682
í	0.00339824	0.000767395	0.0240704	0.0516577	0.00736481	0.216557	0.172394	0.330557	0.0579503	0.135283
d	0.0029329	0.000231306	0.012456	0.00469289	0.00224059	0.0608442	0.164931	0.535275	0.150645	0.0657507
í	0.00204789	8.17592e-05	0.00177124	0.00245184	3.20063e-05	0.0263819	0.451959	0.290341	0.0208016	0.204132
l	0.00536567	0.000118398	0.00380649	0.0349574	0.000119106	0.0451352	0.06397	0.53199	0.0942123	0.220325
a	0.0032735	0.00085999	0.013577	0.0745337	0.000385624	0.0149895	0.0498531	0.0926049	0.346497	0.403425
n	0.00209355	0.000696706	0.00491832	0.00664894	0.000176746	0.00638333	0.00591624	0.0652355	0.8018	0.10613
d	0.00141221	0.000211606	0.000478765	0.0106259	0.00136141	0.00182734	0.00970559	0.00436471	0.9502	0.0198122
ó	0.000309145	2.93879e-05	0.000502356	0.00157992	0.00340665	0.00144467	0.0084617	0.00357971	0.915095	0.0655918
n	1.86115e-05	8.14169e-06	4.9381e-05	0.000563309	0.00173751	0.000569749	0.00333023	0.000847284	0.91723	0.0756452
g	0.0013146	0.000359625	0.000699072	0.000245787	0.000204474	0.003683	0.00319675	0.0138088	0.446466	0.530022
ó	0.00091685	0.00033882	0.00166255	0.00167783	0.00093556	0.00380826	0.00184615	0.0020206	0.620055	0.366739
</S>	0.00125006	0.00108995	0.00507477	0.0107028	0.00436973	0.0208259	0.00298793	0.0218321	0.291823	0.640043
