 	le	petit	oiseau	de	la	savane	est	pris	au	piège	à	la	glu	</S>
e	0.55323	0.200288	0.0377767	0.120936	0.0514864	0.00663684	0.00650922	0.00387194	0.0053925	0.00552463	0.0035857	0.00286114	0.00143382	0.000468172
b	0.144143	0.34646	0.0647603	0.116715	0.120518	0.1077	0.0139765	0.0708934	0.00785828	0.00104818	0.00124425	0.00284815	0.00114574	0.000688076
έ	0.109746	0.27785	0.0464426	0.236879	0.0949041	0.111433	0.0105201	0.0700105	0.0169741	0.0107293	0.00168165	0.00337122	0.0078862	0.00157204
r	0.0648515	0.341716	0.119124	0.217211	0.0596415	0.0782989	0.011628	0.0202878	0.0241234	0.015215	0.0112753	0.00857248	0.00520532	0.0228497
i	0.19683	0.326627	0.0690779	0.127046	0.0990704	0.121963	0.0145613	0.00735231	0.0131869	0.0061697	0.00894782	0.00230476	0.000695671	0.00616668
a	0.0715157	0.0414019	0.140768	0.294578	0.267474	0.0714606	0.049903	0.0120906	0.0139117	0.0161365	0.0075703	0.0050095	0.00182101	0.0063594
p	0.0142458	0.00995786	0.0144132	0.105851	0.221634	0.374033	0.134641	0.0289564	0.0296824	0.0200348	0.019137	0.0112411	0.000957231	0.0152157
a	0.00677033	0.0127647	0.0148061	0.0246144	0.0384949	0.502685	0.0418798	0.249371	0.0604798	0.00927685	0.00845094	0.0115738	0.00536224	0.0134701
b	0.00642499	0.011867	0.0279665	0.0609523	0.0950345	0.450826	0.077251	0.155926	0.0546096	0.0225264	0.0111277	0.00629605	0.00192947	0.0172624
h	0.00693085	0.00430652	0.00772761	0.0525301	0.0355685	0.280504	0.0883823	0.266315	0.0960884	0.065092	0.0317569	0.0120014	0.0231345	0.0296622
í	0.0365502	0.0172625	0.0412991	0.166806	0.0568792	0.105389	0.0313283	0.0788538	0.0580601	0.210556	0.0502521	0.0100583	0.0132916	0.123413
é	0.00500944	0.00257585	0.00534532	0.0463869	0.057126	0.0406729	0.169948	0.0369302	0.14377	0.284481	0.141305	0.0456976	0.00753974	0.0132125
t	0.00221931	0.00263809	0.00191665	0.0092764	0.0149139	0.0441793	0.169904	0.158552	0.190666	0.0933671	0.127476	0.154494	0.0119752	0.018422
ó	0.00170585	0.00328574	0.00536451	0.00929084	0.0274217	0.111883	0.0695003	0.392529	0.150706	0.0392305	0.0327094	0.0761791	0.047171	0.0330236
i	0.000584329	0.00083986	0.0086277	0.00659352	0.0149961	0.106558	0.0355348	0.130488	0.188926	0.111247	0.0781649	0.184723	0.0696118	0.0631058
m	0.00201675	0.000926661	0.00200466	0.0067231	0.0100587	0.0117648	0.0785285	0.0497422	0.121759	0.13245	0.166593	0.242348	0.0786367	0.0964479
é	0.0045854	0.00516741	0.00228602	0.0110655	0.00885954	0.00105269	0.0317876	0.0537157	0.117975	0.0961932	0.113168	0.109285	0.0140219	0.430838
f	0.0024066	0.00298097	0.00190516	0.00411902	0.00570235	0.00356735	0.0153465	0.023277	0.0420833	0.0271302	0.0843745	0.366126	0.341467	0.0795133
i	0.00228097	0.00519048	0.00257075	0.00271608	0.00513832	0.00998788	0.00596579	0.0387695	0.0326196	0.0115208	0.0115476	0.0872178	0.768743	0.0157318
á	9.44103e-05	0.000165508	0.00092855	0.000463415	0.00124093	0.00753993	0.00554062	0.033221	0.0435504	0.0338292	0.0183816	0.0991648	0.717126	0.0387538
</S>	0.00126351	0.00119968	0.00260928	0.00748429	0.00726237	0.00453444	0.0255382	0.00465478	0.0220543	0.0260769	0.059346	0.243223	0.130296	0.464457
