 	le	fil	qu'	on	a	utilisé	pour	la	passerelle	est	maintenant	détendu	</S>
s	0.385335	0.280511	0.142017	0.0703987	0.0190896	0.014418	0.0507794	0.0244031	0.00551333	0.00407509	0.00109684	0.00167983	0.000682431
i	0.1913	0.686145	0.0432847	0.00324714	0.00938568	0.00242061	0.00531222	0.00526436	0.00140721	0.00574721	0.00816752	0.0151162	0.0232021
n	0.0534116	0.824109	0.0977059	0.00357791	0.00785678	0.00148871	0.00133774	0.00344089	0.00140475	0.000452692	0.000456207	0.00131407	0.00344376
g	0.0233808	0.939954	0.0207677	0.00093175	0.000823734	0.000208852	0.000875839	0.00132655	0.00319416	0.000267476	8.73902e-05	0.00140458	0.00677762
a	0.0264476	0.855068	0.0610668	0.0028432	0.00306591	0.0016903	0.00155725	0.00206902	0.0138566	0.00135439	0.000245399	0.00737509	0.0233603
y	0.0374089	0.037892	0.699772	0.0513891	0.0600842	0.00636919	0.0190629	0.0171804	0.017854	0.00854519	0.00178348	0.0011528	0.0415058
e	0.204448	0.0964987	0.566696	0.0381284	0.0320098	0.00415133	0.012825	0.0150119	0.00330973	0.00999169	0.00311043	0.0017491	0.0120692
é	0.196499	0.0313506	0.44705	0.0947503	0.0771738	0.019607	0.0274877	0.0450069	0.01495	0.0114511	0.00436046	0.00702781	0.0232855
k	0.025032	0.00970315	0.0539379	0.291823	0.299853	0.20754	0.0311899	0.0156022	0.0145484	0.0182971	0.0170238	0.00097899	0.0144706
a	0.00358576	0.00398714	0.0199366	0.185749	0.196571	0.402472	0.0917192	0.0433305	0.0235918	0.0120738	0.010563	0.000532901	0.0058871
n	0.00197178	0.00678333	0.0143172	0.0940084	0.156283	0.581531	0.0610651	0.0247044	0.0350078	0.00491271	0.00527151	0.0036354	0.010509
í	0.0304827	0.0108833	0.0478157	0.216507	0.264679	0.216046	0.0997136	0.0577885	0.0166123	0.00932167	0.00779534	0.00355164	0.0188029
b	0.0105169	0.00506904	0.126301	0.199361	0.0828076	0.0250057	0.228828	0.250238	0.049419	0.0131231	0.00309456	0.000698513	0.00553832
á	0.0210701	0.00475593	0.0330621	0.0871067	0.0452411	0.0598568	0.239092	0.276474	0.105902	0.071932	0.0212725	0.00604077	0.0281936
a	0.00889039	0.00237487	0.0203378	0.0684419	0.0397636	0.0150457	0.288444	0.327731	0.0756689	0.0833053	0.0268322	0.00268887	0.0404755
m	0.00252122	0.000855481	0.0053477	0.035853	0.0468976	0.0443446	0.312839	0.309111	0.110826	0.0891784	0.0261171	0.00189206	0.0142169
í	0.0115996	0.0076509	0.00538634	0.00865744	0.0231868	0.00560234	0.168241	0.387168	0.158484	0.167026	0.0275561	0.00576801	0.0236733
b	0.00317213	0.00405985	0.00202954	0.00435272	0.0190494	0.0184704	0.0965422	0.164389	0.447879	0.164059	0.0475689	0.00693203	0.0214954
ó	0.00172552	0.00121738	0.00175722	0.00926567	0.0142986	0.043281	0.0635041	0.104738	0.473705	0.162126	0.10861	0.0045651	0.0112063
n	0.000126632	0.000121627	0.000856107	0.00253596	0.00623074	0.0389166	0.0478957	0.0637151	0.548221	0.157392	0.108821	0.00883021	0.0163378
g	0.0103425	0.0109335	0.0178108	0.00727749	0.0237166	0.0222466	0.101787	0.156975	0.389466	0.171667	0.0239598	0.01938	0.0444377
o	0.00624451	0.0222014	0.0134138	0.000530767	0.00351846	0.00456874	0.0272148	0.088843	0.641114	0.0375448	0.00397143	0.0928468	0.0579873
a	0.00887427	0.00231467	0.0158992	0.00442864	0.0102462	0.000858393	0.0405145	0.140527	0.124071	0.407622	0.0487486	0.0424763	0.15342
b	0.00385778	0.00276599	0.00528433	0.0169162	0.0250905	0.0062265	0.0178751	0.0175021	0.024328	0.239139	0.573526	0.0198737	0.047615
h	0.000483653	0.00119789	0.00192536	0.0140511	0.0167758	0.00951162	0.0166786	0.0153367	0.0144462	0.163795	0.621331	0.0100122	0.114455
i	0.00166264	0.000526852	0.00137244	0.0118178	0.0125183	0.0132158	0.045758	0.0444877	0.024777	0.245187	0.422915	0.00990977	0.165852
l	0.00614635	0.00183854	0.00326771	0.00713225	0.00787929	0.00190828	0.0210132	0.0312804	0.013644	0.183553	0.40767	0.061337	0.253331
ω	0.00199367	0.000203829	0.00264443	0.00522913	0.00564387	0.00166266	0.0115132	0.00934539	0.00502598	0.127213	0.314694	0.172182	0.342649
n	0.000120672	0.000357431	0.000305653	0.000211625	0.000650852	0.000881206	0.00159582	0.00182279	0.0067535	0.0418919	0.131968	0.545797	0.267644
d	0.00153559	0.00295527	0.000434422	0.000112558	0.000774335	0.000615303	0.00169453	0.0042413	0.00656769	0.0244889	0.0487242	0.831545	0.0763109
i	0.000123857	0.000345603	6.2081e-05	7.97615e-06	5.42826e-05	4.56936e-05	0.000137904	0.000391352	0.000751662	0.00211663	0.00573694	0.942671	0.0475553
l	2.63752e-05	6.6227e-05	6.19472e-05	1.6663e-05	0.000149405	0.000116132	0.000848452	0.00200719	0.00116209	0.010526	0.023285	0.688052	0.273683
ω	0.000242213	0.000205912	0.000472439	0.000498452	0.00122792	0.00124295	0.00433178	0.00323874	0.000678245	0.0269735	0.126668	0.634059	0.200161
n	0.00164603	0.000498428	0.000711473	0.00038985	0.00115408	0.000520462	0.00513987	0.00519069	0.00140079	0.0469415	0.0529568	0.384356	0.499094
d	0.00460774	0.0041659	0.00110207	0.000316024	0.00164521	0.00114178	0.00281911	0.0027953	0.00175962	0.00928361	0.0243121	0.815343	0.130708
i	0.000291425	0.000356077	0.000117481	1.42363e-05	0.000103678	9.41582e-05	0.000178348	0.000342712	0.000412038	0.00149727	0.00419639	0.90068	0.0917158
</S>	0.000336017	0.000417848	0.000919565	0.000130971	0.00056824	8.2181e-05	0.00120597	0.0031463	0.0015326	0.0178166	0.018762	0.351254	0.603828
