 	chacun	va	payer	les	repas	qu'	il	a	pris	</S>
m	0.93797	0.0432132	0.00180333	0.00608187	0.00351483	0.00332815	0.00205431	0.00106215	0.000898453	7.35447e-05
o	0.906753	0.0885908	0.00127172	0.00180024	0.000193631	0.000152478	0.000493009	0.000512326	1.60672e-05	0.000216396
r	0.865992	0.130792	0.00211893	0.000460564	4.89668e-05	8.37554e-05	7.15849e-05	5.12944e-05	0.00012943	0.000251528
o	0.858417	0.0830496	0.0137625	0.0186093	0.00174431	0.00530008	0.00537266	0.00164327	0.00103609	0.0110656
l	0.8984	0.04285	0.0133914	0.00923831	0.0028043	0.00244634	0.00418282	0.00637983	0.000600635	0.0197061
a	0.180997	0.0868284	0.0575202	0.0857496	0.0274548	0.0486427	0.0632748	0.0383302	0.0149557	0.396247
m	0.362542	0.201658	0.0474369	0.0816867	0.0357169	0.0574341	0.0650949	0.0437388	0.00468447	0.100007
o	0.122966	0.754407	0.0146126	0.0673726	0.0105706	0.0128032	0.0107743	0.00182345	0.00032757	0.00434333
r	0.188778	0.630232	0.0967908	0.0177232	0.00322123	0.0120705	0.0102334	0.00965077	0.00724378	0.0240565
o	0.580227	0.258236	0.0893644	0.0383933	0.00371415	0.00667665	0.00462928	0.00154521	0.00159801	0.0156156
l	0.178607	0.152854	0.334969	0.171103	0.0191959	0.025084	0.0338333	0.0294622	0.00245051	0.0524411
á	0.0718709	0.0928397	0.247405	0.189121	0.026685	0.0624072	0.0609842	0.0406461	0.00707709	0.200964
a	0.0607214	0.105465	0.308594	0.229229	0.0593815	0.0494134	0.0453904	0.0489432	0.00687233	0.0859893
f	0.0198593	0.117839	0.779832	0.0271322	0.00366752	0.00628118	0.00557863	0.0110072	0.0155522	0.0132504
u	0.00697762	0.135912	0.782745	0.0131623	0.00521118	0.00840299	0.00415327	0.00219852	0.0179252	0.0233123
r	0.0348274	0.121723	0.408246	0.054434	0.00316493	0.00739823	0.00584507	0.00351331	0.0561679	0.30468
á	0.0966078	0.312241	0.12281	0.254154	0.0152073	0.0604433	0.0313446	0.0040799	0.020751	0.0823605
b	0.00597625	0.00653746	0.0194339	0.454471	0.246288	0.175108	0.0703198	0.0141098	0.00167119	0.00608418
e	9.7009e-05	0.00194817	0.00366402	0.0610488	0.834492	0.0778136	0.0172267	0.00217964	0.000688908	0.000841171
a	0.000152328	0.00156398	0.00340813	0.0685149	0.759074	0.102191	0.0513672	0.00429732	0.00159205	0.00783837
b	0.00138382	0.00179771	0.0219594	0.131838	0.143769	0.222296	0.205497	0.224666	0.0109369	0.0358558
í	0.00026453	0.00305246	0.00868767	0.0471297	0.520479	0.245624	0.10877	0.0302482	0.0124323	0.0233117
í	0.000250641	0.000733328	0.00326941	0.0716493	0.412925	0.169569	0.166888	0.0365777	0.0114328	0.126704
d	0.000973883	0.00104165	0.00720235	0.0169009	0.01827	0.0583894	0.173877	0.611823	0.0443097	0.0672122
z	0.00156655	0.00154562	0.00717336	0.0153345	0.017442	0.0615209	0.153042	0.264393	0.0830147	0.394968
é	0.00845833	0.00633423	0.0133314	0.0701851	0.0161267	0.159373	0.252595	0.135825	0.163375	0.174397
w	0.000354433	0.000517165	0.00451623	0.0317542	0.0397242	0.0920815	0.120515	0.234693	0.281919	0.193926
a	0.000411241	0.00192669	0.00882243	0.0382713	0.0518834	0.144194	0.22751	0.150191	0.233139	0.143651
</S>	0.000571145	0.000734313	0.00535744	0.0163985	0.0197194	0.0712889	0.118612	0.156421	0.198124	0.412773
