 	l'	enfant	est	malade	depuis	avant-hier	</S>
m	0.878679	0.09829	0.0015279	0.001558	0.0194972	0.00040488	4.27103e-05
w	0.0105961	0.96776	0.0190828	0.00123375	0.000606618	0.000175664	0.000544682
á	0.00311832	0.996536	6.35011e-05	0.000151323	0.000101661	2.36541e-05	5.37082e-06
n	0.269315	0.723635	0.000733855	0.00177402	0.000683838	9.83206e-05	0.00375939
a	0.196619	0.50001	0.0783944	0.00351773	0.0178642	0.00643861	0.197156
l	0.734119	0.0573565	0.152783	0.00934291	0.0128879	0.0118392	0.021671
á	0.169326	0.0108205	0.17183	0.0350156	0.0165003	0.0328389	0.563669
a	0.113331	0.0115802	0.514426	0.255719	0.0171098	0.0190459	0.0687876
k	0.0178623	0.00649888	0.307168	0.625454	0.00188426	0.00411694	0.0370158
ω	0.00133084	6.32881e-05	0.0283039	0.961113	0.00295992	0.000168418	0.00606103
n	0.000824196	0.000152249	0.0223837	0.97146	0.00299102	0.000259555	0.00192951
ώ	0.0128831	0.00209147	0.176515	0.729257	0.0426673	0.00270444	0.033882
w	0.0344298	0.000199483	0.047114	0.205536	0.69263	0.00969537	0.0103949
ú	0.152205	0.00168707	0.0699218	0.0205738	0.693333	0.0172276	0.0450517
r	0.0279493	0.0014712	0.0241706	0.641999	0.224595	0.0424816	0.0373333
á	0.0233574	0.00134942	0.0156616	0.370134	0.48015	0.0733124	0.0360346
y	0.00819186	0.000234647	0.0119411	0.0775596	0.52533	0.343079	0.0336639
á	0.024134	0.000218438	0.00224685	0.0245486	0.0410321	0.817034	0.0907856
n	0.00582559	0.000130228	0.00122998	0.00704663	0.0756933	0.79986	0.110214
á	0.000673604	0.000139431	0.000432087	0.00162538	0.0149237	0.939734	0.0424721
</S>	0.000323095	5.70681e-05	0.00281498	0.00793504	0.0404131	0.429137	0.519319
