 	ma	soeur	m'	a	offert	un	gros	paquet	de	feuilles	de	manioc	</S>
b	0.222435	0.659095	0.0278878	0.028544	0.00926491	0.0056146	0.0128065	0.0196906	0.00622865	0.00525487	0.00213506	0.000432385	0.000610301
o	0.0159309	0.862174	0.0830625	0.0294856	0.00119392	0.000356945	0.00130287	0.0027365	0.00144985	0.000361341	0.00169229	6.88933e-05	0.000184192
l	0.046599	0.804953	0.0212432	0.0352611	0.0777107	0.00306084	0.00254526	0.00204921	0.00148632	0.00104796	0.000717584	0.0012553	0.00207018
a	0.0965324	0.834032	0.0206615	0.0202582	0.00972402	0.00534023	0.00159481	0.000977972	0.00161869	0.00115021	0.0015168	0.00187849	0.00471426
ó	0.306831	0.324352	0.273264	0.0584232	0.00703598	0.00519531	0.00339468	0.00313684	0.00471407	0.00218908	0.00477107	0.000626848	0.00606619
k	0.0542027	0.0102959	0.0328265	0.429798	0.313782	0.0596591	0.0236568	0.0152561	0.019116	0.0205484	0.00813003	0.00357754	0.00915088
a	0.00359287	0.00565823	0.00379499	0.105408	0.736273	0.0759674	0.0303672	0.012857	0.00633071	0.00552983	0.00245801	0.00372363	0.00803997
b	0.00730137	0.00995616	0.00434321	0.0950762	0.762547	0.0669625	0.0181423	0.0137549	0.00347852	0.00496766	0.00101287	0.00278499	0.00967242
h	0.0320665	0.00671926	0.0213589	0.149844	0.234095	0.194626	0.107095	0.0825527	0.0646591	0.0581316	0.0211511	0.0104076	0.0172931
i	0.0129152	0.00689647	0.0101471	0.0710451	0.200195	0.249713	0.133036	0.083528	0.0391249	0.0346383	0.0172151	0.0290124	0.112533
n	0.0244604	0.00386181	0.2441	0.109781	0.0226695	0.17402	0.231352	0.113316	0.0348052	0.0092333	0.00441589	0.00192479	0.0260606
g	0.5	0.00579123	0.238841	0.0171823	0.00546032	0.0748152	0.0860433	0.0317434	0.0215552	0.00664406	0.00577632	0.000585249	0.00556267
á	0.10702	0.0451847	0.67947	0.0411267	0.00969597	0.0733463	0.0225191	0.00856867	0.00577198	0.00180395	0.0015849	0.000403809	0.0035033
e	0.00207684	0.000592562	0.00391252	0.0167168	0.00723199	0.335287	0.330722	0.129292	0.0908534	0.0421061	0.0278231	0.0067382	0.00664817
s	0.00222986	0.000427116	0.000482406	0.00850839	0.021128	0.310968	0.24739	0.111271	0.100879	0.133768	0.0250033	0.0297932	0.00815063
ε	0.00701248	0.000203364	0.0012153	0.00444956	0.00225275	0.145897	0.390312	0.13689	0.132693	0.12435	0.0347874	0.00651498	0.0134228
n	0.001069	5.75053e-05	0.000373626	0.00255615	0.00111287	0.229231	0.259864	0.139983	0.156346	0.116188	0.0493506	0.00861393	0.0352542
g	0.00160615	3.0712e-05	0.000416354	0.0044663	0.00226852	0.157902	0.35899	0.127248	0.171471	0.0822972	0.058494	0.00715073	0.0276587
í	0.0637177	0.00397248	0.00656545	0.0210399	0.00313646	0.109748	0.243261	0.120349	0.239817	0.0928136	0.0589201	0.00828519	0.028374
y	0.00154534	9.58204e-05	0.000419569	0.00178011	0.000287943	0.0183804	0.0813353	0.239896	0.183614	0.183574	0.200034	0.0548459	0.0341923
á	0.0560015	0.0011511	0.00555052	0.0104768	0.00073268	0.0396791	0.0586056	0.0664034	0.232732	0.191873	0.245622	0.0375191	0.0536538
y	0.0166268	0.00326924	0.0111268	0.00604026	0.000312903	0.00340003	0.0114327	0.0332978	0.0933446	0.225398	0.306758	0.252625	0.036368
a	0.0232116	0.00183812	0.00428033	0.00351152	0.000671834	0.0170165	0.0211581	0.0274705	0.189254	0.246623	0.276167	0.0574699	0.131328
a	0.0124044	0.00221291	0.00211451	0.00247166	0.000113186	0.00452688	0.0110321	0.0162535	0.0927647	0.135638	0.360391	0.190504	0.169574
</S>	0.000970574	0.000102895	0.000504008	0.00235334	0.00290753	0.00888942	0.0119422	0.0587566	0.112226	0.136498	0.264979	0.13651	0.263361
