 	itoua	est	taquin	c'	est	pourquoi	ses	amis	refusent	de	lui	parler	</S>
i	0.84709	0.0877426	0.00754504	0.0111447	0.0117441	0.0123025	0.0197632	0.000352875	0.000313078	0.000505917	0.00110941	0.000377502	9.50635e-06
t	0.947137	0.0323254	0.00218392	0.00110742	0.00143718	0.000776014	0.000645328	0.00863035	0.000996845	0.000529796	0.000362397	0.00219268	0.00167585
ú	0.784974	0.154757	0.0120912	0.0106389	0.018546	0.00684904	0.00437499	0.00211399	0.000839438	0.0012344	0.000482685	0.0019118	0.0011866
a	0.860004	0.0464602	0.0143192	0.00910569	0.0185806	0.0212599	0.00563098	0.00161192	0.00256459	0.00496322	0.00128246	0.00737205	0.00684563
a	0.252613	0.277718	0.0398562	0.075013	0.0287501	0.0364319	0.0655912	0.0186655	0.0281477	0.0283151	0.0357156	0.00234302	0.11084
d	0.0750075	0.512191	0.0876268	0.0417053	0.0315807	0.0281428	0.0292431	0.0209928	0.0360126	0.0380771	0.00996666	0.0107497	0.0787035
í	0.0198606	0.666941	0.073172	0.0263647	0.0299362	0.0431364	0.00945848	0.0051988	0.0116662	0.0180516	0.00662426	0.000965258	0.0886251
l	0.00354738	0.262302	0.340456	0.0875995	0.0273639	0.0208875	0.0423272	0.0114045	0.0145113	0.0262009	0.0276224	0.0103615	0.125416
a	0.00179009	0.05461	0.18077	0.0457223	0.034518	0.0365617	0.0113415	0.00464781	0.018957	0.0546369	0.0525795	0.00742528	0.49644
l	0.0123315	0.123539	0.57256	0.0357498	0.0270809	0.0250735	0.0094906	0.00886406	0.0223196	0.0283582	0.0226192	0.00709023	0.104923
ώ	0.00529131	0.0908904	0.489806	0.0265509	0.0379227	0.0248371	0.00548591	0.0105225	0.0355026	0.0763356	0.0148057	0.0273738	0.154676
b	0.00549547	0.0571272	0.560534	0.0150743	0.0218792	0.0196117	0.00414843	0.0200201	0.0538213	0.0748828	0.0106993	0.0319681	0.124739
h	0.00171902	0.109112	0.634095	0.0938249	0.04506	0.0180442	0.0313202	0.0194254	0.0207029	0.0176558	0.00398458	0.00207132	0.00298398
i	0.0228222	0.0500865	0.622286	0.0520699	0.0315622	0.0197277	0.0223698	0.0315484	0.072942	0.0235106	0.0177939	0.00188238	0.0313985
d	0.00267751	0.045845	0.377107	0.341481	0.0715523	0.0306515	0.0496174	0.0143088	0.0132445	0.0121518	0.0146552	0.0014123	0.0252955
í	0.00129956	0.0275025	0.167837	0.302381	0.225837	0.0748194	0.0463036	0.00906923	0.0150515	0.0259894	0.0110062	0.00422812	0.088675
a	0.000137312	0.0176444	0.04621	0.234811	0.241125	0.0974985	0.178247	0.0842117	0.0271865	0.0149963	0.00605327	0.00862484	0.0432552
b	0.0011418	0.0139979	0.0261197	0.180345	0.234059	0.160122	0.136576	0.15089	0.0498377	0.0191511	0.00691751	0.00455722	0.0162851
v	0.000315196	0.0189308	0.0671119	0.0658051	0.156821	0.104478	0.1689	0.226248	0.12411	0.03978	0.0181128	0.00250878	0.00687761
ú	9.96463e-05	0.00647836	0.0226916	0.0421351	0.133928	0.140469	0.31834	0.138808	0.120541	0.0294303	0.0278512	0.0013667	0.0178601
u	0.000438079	0.00590183	0.0219973	0.142432	0.2296	0.151246	0.281079	0.0695291	0.0583554	0.0174387	0.00379581	0.00569559	0.0124912
a	0.000137825	0.00526712	0.0371667	0.180488	0.169569	0.182108	0.156307	0.114788	0.0651229	0.033583	0.0175979	0.013287	0.0245771
b	0.00266447	0.00799636	0.0113432	0.0239151	0.0474705	0.0818843	0.0918211	0.401307	0.224597	0.0673695	0.00977401	0.0232879	0.00657009
