 	le	maçon	a	enfoncé	le	poteau	dans	le	sol	</S>
o	0.85767	0.138289	0.000444446	0.000665973	0.00128023	0.00128111	0.000122606	0.000175594	3.54723e-05	3.51893e-05
t	0.389589	0.506114	0.037628	0.0149944	0.00961689	0.0187285	0.00656137	0.0051808	0.0082373	0.00334973
ó	0.480801	0.222317	0.0117062	0.124285	0.0365064	0.0802247	0.0228308	0.00896502	0.00984415	0.00252016
n	0.552735	0.238019	0.0255048	0.0457088	0.035859	0.0588001	0.00630636	0.00399734	0.00279103	0.0302784
g	0.704085	0.280651	0.00226044	0.00159628	0.00205084	0.00204637	0.00120092	0.00051779	0.000767748	0.00482404
i	0.500684	0.453977	0.0146147	0.00756847	0.00546709	0.00690044	0.00282133	0.00125469	0.000805187	0.00590733
n	0.108923	0.571238	0.250709	0.0321409	0.012813	0.00294687	0.00687915	0.00204153	0.000248201	0.0120606
d	0.175265	0.617182	0.0461716	0.0109255	0.00950453	0.0048738	0.0219265	0.0141715	0.0183796	0.0815997
é	0.038635	0.564237	0.142892	0.045144	0.0125187	0.015992	0.0209887	0.00855637	0.0783465	0.0726897
e	0.118108	0.23655	0.281906	0.0592369	0.0212873	0.0124324	0.0275766	0.0196555	0.0715398	0.151707
á	0.00530156	0.0257226	0.773578	0.0988005	0.0393912	0.00861172	0.00944719	0.00562333	0.000761312	0.0327626
d	0.00229699	0.0067615	0.354323	0.424468	0.133583	0.0435923	0.0165699	0.00430437	0.000311232	0.0137897
z	0.000909111	7.58511e-05	0.29854	0.531561	0.0775585	0.0180006	0.030548	0.0061483	0.000227931	0.0364311
e	0.0188152	0.000210365	0.209126	0.652956	0.0589201	0.0238227	0.015589	0.00674978	0.00410909	0.00970117
l	0.00231556	0.000159337	0.111644	0.444717	0.295835	0.0146358	0.062232	0.0407638	0.00370213	0.0239949
á	0.000639111	0.000619117	0.0839822	0.276934	0.219597	0.0825104	0.100671	0.050143	0.00561773	0.179286
a	0.00828361	0.000440357	0.0667181	0.231794	0.329309	0.178268	0.0667013	0.034079	0.0121555	0.0722509
d	0.000246077	0.000232484	0.0140205	0.183522	0.278077	0.484247	0.0234932	0.00320614	0.00205747	0.0108981
z	1.89522e-05	1.43298e-05	0.00455948	0.336527	0.21232	0.40412	0.0311479	0.0017013	0.000467415	0.00912318
e	0.00043776	9.69297e-05	0.0122243	0.205821	0.113323	0.650508	0.0124652	0.000898746	0.000959667	0.00326591
n	0.000592593	0.000130543	0.0124069	0.0918301	0.208046	0.64854	0.0270591	0.00271313	0.000309259	0.00837289
d	0.000141783	2.61822e-05	0.00569626	0.144006	0.263134	0.410024	0.115101	0.0221585	0.00603022	0.0336826
z	0.000123672	3.18102e-05	0.00309435	0.0885853	0.226266	0.390402	0.13602	0.0195446	0.00716812	0.128764
á	0.000127639	5.83143e-05	0.00499459	0.0735168	0.168332	0.448253	0.112621	0.0215385	0.016784	0.153774
e	0.00014117	2.9591e-05	0.0148311	0.0404003	0.205223	0.167646	0.428836	0.0768911	0.0237037	0.0422984
s	0.000203051	9.17379e-05	0.00294109	0.00963735	0.0685049	0.166669	0.515489	0.179928	0.0202346	0.0363014
u	0.00017552	2.36555e-05	0.0046589	0.0286729	0.0571529	0.118016	0.527653	0.118161	0.0315691	0.113916
m	9.27159e-05	1.07398e-05	0.00116353	0.0187818	0.0597964	0.161121	0.486281	0.15872	0.0614453	0.0525866
ú	0.000351469	1.37557e-05	0.00125548	0.0160181	0.0667688	0.200169	0.315731	0.191854	0.0321144	0.175724
s	6.67217e-05	2.32483e-06	0.00147042	0.00295323	0.0187336	0.0195495	0.370389	0.262903	0.0170442	0.306887
á	0.000385525	6.04928e-05	0.00196059	0.0167715	0.0183505	0.0157924	0.215506	0.19928	0.455172	0.0767206
t	0.000954472	2.71548e-05	0.000610922	0.00141737	0.00252008	0.00210204	0.0482587	0.118165	0.787636	0.038308
s	0.000645358	0.000105472	0.000493465	0.00195679	0.00580468	0.0088169	0.127905	0.170641	0.585178	0.098453
ε	8.89874e-05	2.27136e-05	0.000101717	0.0027795	0.00499352	0.0228659	0.216908	0.0833592	0.612893	0.0559876
n	3.07266e-05	9.54941e-06	0.000100413	0.00364794	0.0112587	0.0499804	0.276475	0.135623	0.287649	0.235225
g	0.000163045	4.54489e-05	0.000270091	0.00224015	0.00648323	0.0216958	0.223262	0.240752	0.376832	0.128256
ε	0.000128052	4.80206e-05	4.62165e-05	0.000630996	0.00260623	0.0189285	0.047011	0.0556678	0.835304	0.0396294
</S>	8.73624e-05	1.05734e-05	0.000566367	0.00155975	0.00826194	0.00689129	0.156946	0.237651	0.078173	0.509853
