 	vous	avez	refusé	de	venir	pourquoi	</S>
b	0.100998	0.696454	0.15987	0.0384545	0.00246031	0.00150757	0.000255376
í	0.707666	0.184034	0.0807087	0.0160796	0.00756475	0.0034499	0.00049718
n	0.926539	0.0454634	0.0170586	0.00295489	0.00470906	0.00141276	0.00186251
í	0.708556	0.118605	0.0670433	0.0506711	0.0201325	0.0169616	0.0180304
l	0.0804261	0.329185	0.232138	0.0216896	0.0488138	0.0515671	0.236181
é	0.0133676	0.0679605	0.0872812	0.0319243	0.111431	0.0638285	0.624207
t	0.00796096	0.385526	0.439927	0.0138045	0.109496	0.0074327	0.0358524
ó	0.00826878	0.419988	0.260641	0.0900949	0.0710288	0.0589869	0.0909917
n	0.0206245	0.433814	0.207234	0.1444	0.105375	0.0562934	0.0322593
i	0.0588879	0.301511	0.230636	0.246751	0.0779275	0.034245	0.0500426
o	0.0424823	0.0667348	0.0821276	0.638881	0.102958	0.0382124	0.0286044
y	0.00241093	0.0126631	0.038495	0.196571	0.422258	0.287604	0.0399979
a	0.0025667	0.0344615	0.0596571	0.188917	0.420904	0.186419	0.107075
a	0.0317114	0.0128557	0.0117264	0.317613	0.184291	0.0744582	0.367344
m	0.00228394	0.00775424	0.00570587	0.20182	0.400516	0.19506	0.186859
b	0.00227051	0.00523492	0.00680209	0.0874327	0.0483591	0.376227	0.473673
é	0.000886922	0.00938556	0.0108662	0.126957	0.0169428	0.408567	0.426394
á	0.000587128	0.0034458	0.00282491	0.103821	0.00922817	0.271575	0.608519
l	0.000420787	0.00814363	0.0085689	0.0860505	0.0848478	0.464148	0.34782
a	0.00179595	0.0174381	0.010854	0.0237605	0.0695802	0.590253	0.286318
n	0.00413555	0.00840212	0.00529919	0.141074	0.0286858	0.59469	0.217714
d	0.0320048	0.00638401	0.0135942	0.0132543	0.0140386	0.741228	0.179496
e	0.00342393	0.00352724	0.0109193	0.0106277	0.0210839	0.266659	0.683759
</S>	2.37427e-05	0.000477194	0.000812443	0.00718845	0.00620556	0.280055	0.705238
