 	le	soldat	qui	est	en	train	de	frapper	la	vieille	femme	dans	le	marché	n'	est	pas	miséricordieux	</S>
o	0.766931	0.0613957	0.0347503	0.0101661	0.0081782	0.0852782	0.0215457	0.00182018	0.00129993	0.00494506	0.000178617	0.00089693	0.000937837	0.000461491	0.000415033	0.000149678	0.000549092	9.22532e-05	8.33094e-06
m	0.00525462	0.991308	0.00132201	0.000343299	0.000119865	0.00074978	0.000116441	3.15635e-05	5.34781e-05	4.38053e-05	8.17136e-05	2.16607e-05	3.2166e-05	3.36214e-05	2.70319e-05	2.28457e-05	9.26036e-05	0.000261252	8.47004e-05
b	0.0420063	0.913546	0.020139	0.0059209	0.00220633	0.00118702	0.00153347	0.00140914	0.000463519	0.00021372	0.00972325	0.000295409	0.000217233	0.000212789	0.000139267	8.8864e-05	7.80851e-05	1.34284e-05	0.000606121
ω	0.00857307	0.954222	0.00780502	0.0076555	0.00516598	0.00416529	0.00220249	0.00300317	0.0010196	0.000248079	0.00331451	0.000305319	0.00031974	0.000391697	0.000274713	0.000207278	0.000226744	7.99655e-05	0.000819498
r	0.0235994	0.933013	0.0122071	0.0120646	0.00649257	0.00416723	0.00151536	0.00140648	0.0016517	0.000707297	0.00146829	0.000217695	0.000240333	0.000210564	0.000185244	0.000190387	0.0001054	4.4024e-05	0.000513083
i	0.0794125	0.728788	0.0250034	0.0175238	0.0178699	0.00442499	0.0121059	0.00676232	0.0162266	0.00519676	0.00170906	0.00501421	0.00694025	0.00951699	0.00630349	0.00720612	0.00734333	0.00628229	0.0363696
m	0.0202529	0.0024332	0.314418	0.201641	0.155699	0.0206556	0.229631	0.0385576	0.00428342	0.000946985	0.000354405	0.00344685	0.00134442	0.000578346	0.00134418	0.000993007	0.000950491	5.09437e-05	0.0024174
ó	0.203648	0.00217139	0.105474	0.152921	0.080178	0.00956415	0.321361	0.0531916	0.0185859	0.0119761	0.0121218	0.00702892	0.00508655	0.00354584	0.00532222	0.00161041	0.000864252	2.74916e-05	0.00532176
ó	0.280555	0.00168513	0.141615	0.0779469	0.0848289	0.0116311	0.288553	0.0605638	0.0184968	0.0080759	0.00362939	0.0031142	0.00354902	0.00216537	0.0030577	0.00183848	0.00192063	0.000148508	0.00662471
b	0.00593067	0.00350706	0.015383	0.047338	0.0654952	0.0187732	0.0896568	0.43987	0.261943	0.0138991	0.0168044	0.00301791	0.002037	0.00190966	0.00176676	0.00379007	0.00323886	0.00180169	0.00383732
