 	j'	ai	manqué	de	camion	pour	partir	à	boundji	</S>
n	0.807911	0.16248	0.0137275	0.00638067	0.00334409	0.00360389	0.000792384	0.00150339	0.00019972	5.67556e-05
g	0.991953	0.00638612	0.000134201	0.000858915	3.18887e-05	0.000190011	2.38538e-05	0.000184957	0.00023377	2.92279e-06
á	0.969986	0.0281352	0.00056028	0.000538382	0.000211186	4.60193e-05	8.6381e-05	2.55365e-05	0.00040728	4.25386e-06
í	0.0748492	0.28097	0.0615131	0.10742	0.010671	0.0629539	0.0274226	0.117601	0.0766741	0.179925
p	0.00194795	0.188438	0.784845	0.0117319	0.00150012	0.000953932	0.00452309	0.0013657	0.000882585	0.00381208
e	0.000140827	0.024874	0.921901	0.0141159	0.021558	0.000472493	0.0089298	0.000781016	0.0017791	0.00544846
n	0.0059244	0.0926838	0.429181	0.175099	0.282828	0.00241209	0.0049133	0.00267663	0.00138462	0.00289648
i	0.00717374	0.0869243	0.540251	0.233759	0.0933179	0.0121588	0.00676383	0.00462836	0.00249972	0.0125236
o	0.0119904	0.0525271	0.0484179	0.497946	0.189333	0.147481	0.00414696	0.0278453	0.00677499	0.0135382
t	0.000202129	0.00257032	0.020611	0.147786	0.524963	0.0850942	0.167599	0.00527448	0.0257211	0.0201779
ω	8.03238e-06	0.000235924	0.00414436	0.0142439	0.961181	0.00395746	0.0086559	0.000541026	0.00194885	0.00508381
m	8.98473e-06	0.000388546	0.001922	0.0169417	0.966506	0.00572191	0.00221737	0.000757298	0.00124531	0.0042912
b	8.28762e-05	0.000297206	0.00217783	0.0249135	0.637733	0.18636	0.0930946	0.0152614	0.00867614	0.0314034
í	1.42361e-05	0.00117593	0.0134716	0.120107	0.243572	0.226202	0.109496	0.0521538	0.0437661	0.190041
l	4.54846e-05	0.00023066	0.00103082	0.0653556	0.34476	0.484055	0.012076	0.0317516	0.00471675	0.0559779
i	0.0036582	0.00402955	0.00893649	0.0740084	0.326707	0.13543	0.0309171	0.0534837	0.0835397	0.27929
m	0.000442419	0.00217978	0.00177121	0.0616338	0.0375686	0.548323	0.087565	0.142191	0.0108955	0.10743
í	6.85591e-05	0.000525177	0.000445143	0.0500734	0.0107954	0.319052	0.107135	0.232784	0.0332022	0.245918
d	0.000349308	0.000901713	0.00030768	0.00855179	0.00228703	0.161661	0.560922	0.117012	0.115426	0.0325816
z	7.16359e-05	0.000126429	6.84919e-05	0.0011591	0.00794845	0.0299367	0.761344	0.0229635	0.0361349	0.140247
w	0.000462384	0.000153901	8.98988e-05	0.00146588	0.00668017	0.00743061	0.944669	0.00600243	0.00491941	0.0281263
a	7.28434e-05	9.50044e-05	7.58207e-05	0.0013111	0.0040064	0.0293702	0.866919	0.0270706	0.0238718	0.0472075
l	0.000294481	0.000183007	0.000162637	0.00543142	0.00194419	0.0936707	0.434304	0.213249	0.0235572	0.227203
á	7.1405e-05	0.000608299	0.002496	0.00933133	0.00503724	0.0385875	0.129787	0.159804	0.140824	0.513453
m	0.000324723	0.000910717	0.000584051	0.00780096	0.00381512	0.0860577	0.057077	0.448123	0.231885	0.163422
b	1.58923e-05	0.000195584	0.000154441	0.0080939	0.00261044	0.0379504	0.15956	0.11747	0.400845	0.273104
o	8.22769e-06	1.97246e-05	2.63851e-05	0.000702814	0.000492444	0.00823271	0.105091	0.0186362	0.826567	0.0402234
n	3.69125e-06	8.25251e-05	0.000274918	0.00162344	0.011686	0.0201628	0.202348	0.0247967	0.609233	0.129788
d	8.58929e-05	0.000220128	0.000609284	0.00461519	0.0619664	0.0329043	0.210207	0.0368734	0.414337	0.238181
z	3.78272e-05	9.13839e-05	0.000282297	0.00284537	0.0215908	0.0172378	0.0693569	0.0193036	0.566488	0.302766
i	0.000324918	0.000107387	0.000585845	0.00504547	0.0459446	0.0122655	0.0605284	0.0271676	0.641898	0.206132
</S>	0.000595853	0.000476956	0.000389334	0.00416254	0.000649705	0.0151605	0.0160651	0.13064	0.122913	0.708947
