 	la	nourriture	que	j'	ai	préparée	hier	s'	est	gâtée	</S>
b	0.368137	0.517893	0.0796724	0.0127366	0.0170578	0.00245786	0.000219516	0.00104475	0.000541096	4.77065e-05	0.000192088
e	0.0963754	0.770197	0.0379638	0.0227477	0.021926	0.0406717	9.09447e-05	0.00375681	0.0027115	0.00300049	0.000558815
a	0.00523937	0.915676	0.0256144	0.0116316	0.0103175	0.025797	0.001386	0.00326098	0.000382559	0.000108745	0.000586319
b	0.288514	0.262955	0.192015	0.0740352	0.107195	0.0202271	0.00526494	0.00995527	0.00501614	0.00113848	0.0336841
í	0.0481388	0.283595	0.35452	0.0719883	0.163348	0.0186744	0.00152476	0.0264932	0.00967866	0.00132527	0.0207131
í	0.0315212	0.220675	0.188107	0.22484	0.0594131	0.0633715	0.00476421	0.0464068	0.0141291	0.00456864	0.142204
l	0.00574014	0.0042587	0.0825605	0.0540444	0.187794	0.413734	0.0217734	0.0757947	0.0662933	0.0167204	0.0712864
á	0.013875	0.0104007	0.103789	0.0387351	0.131837	0.246525	0.0181312	0.153144	0.0634425	0.0747825	0.145338
m	0.0209086	0.0123871	0.113441	0.0931517	0.101269	0.501554	0.0141468	0.0530659	0.0170293	0.0232173	0.0498297
b	0.0118575	0.0404362	0.114657	0.0776555	0.196993	0.190471	0.314018	0.0216634	0.00467464	0.00358656	0.023987
í	0.0767592	0.122354	0.172342	0.13918	0.15985	0.221816	0.0197462	0.0471473	0.00613914	0.00576332	0.0289023
n	0.0135994	0.0468182	0.240174	0.347735	0.113885	0.0881212	0.0882308	0.0203407	0.00655018	0.000742222	0.033804
g	0.00766183	0.00233541	0.0941532	0.589339	0.0782367	0.178199	0.00250808	0.0183848	0.00114218	0.00720446	0.0208356
á	0.00101559	0.000565782	0.0384759	0.334662	0.0791646	0.513143	0.00380525	0.0143154	0.000868515	0.00906434	0.00491876
l	0.0103576	0.00272804	0.140494	0.0566863	0.158531	0.0204581	0.462322	0.0677698	0.0552444	0.0115601	0.0138485
a	0.00670568	0.00288116	0.0549117	0.138789	0.14085	0.0795767	0.283303	0.109296	0.0273637	0.0164861	0.139838
p	0.00720686	0.00192497	0.0369276	0.0140133	0.03243	0.0280584	0.783937	0.0515918	0.0179004	0.0108836	0.0151262
o	0.00095951	0.00147044	0.00481255	0.0035191	0.00523051	0.0027045	0.96566	0.00842355	0.00243409	0.00152403	0.00326196
a	0.00122116	0.000412847	0.00274683	0.00381706	0.00917737	0.0104662	0.886216	0.0353533	0.00947408	0.0168636	0.0242515
í	0.000817318	0.000168316	0.00675585	0.00658749	0.0176198	0.00357678	0.0435004	0.337404	0.475708	0.0475713	0.0602902
m	0.00367562	0.000394524	0.0121413	0.00434194	0.017898	0.00768299	0.0327252	0.188481	0.59208	0.0793476	0.0612323
i	0.00267755	0.000637259	0.00289581	0.00133845	0.00640831	0.00134388	0.00541803	0.11699	0.501998	0.200684	0.15961
s	0.0014117	0.000259429	0.000538746	0.000198978	0.00132147	0.004378	0.0161682	0.0724946	0.171254	0.620967	0.111008
έ	0.000169365	3.69143e-05	0.000445169	0.000581886	0.00226814	0.00516409	0.00378463	0.0527157	0.0634982	0.812607	0.0587289
m	0.00108133	0.000110129	0.00161709	0.000665171	0.00361061	0.00109126	0.0105638	0.12916	0.167769	0.383136	0.301195
b	0.00102962	0.00059875	0.00329696	0.00175969	0.00393143	0.000758872	0.0282453	0.130368	0.199913	0.272481	0.357617
ε	0.0763519	0.0211422	0.0954602	0.122032	0.0441925	0.0138638	0.0161126	0.163518	0.10237	0.137819	0.207138
</S>	0.00531126	0.00223178	0.0124694	0.0108487	0.0104999	0.000679129	0.0127042	0.150411	0.133836	0.169205	0.491803
