 	angonga	a	curé	l'	étang	de	sa	femme	</S>
a	0.787306	0.110472	0.000786876	0.00877988	0.0050933	0.00922693	0.0776701	0.000293197	0.000372361
n	0.164575	0.652268	0.170842	0.00462117	0.00204535	0.00310432	0.000971293	0.000785978	0.000786718
g	0.814163	0.165162	0.000944516	0.00304944	0.000969955	0.0027088	0.00258987	0.00462037	0.00579144
ó	0.781717	0.122586	0.0265179	0.00590503	0.00680036	0.00689807	0.0106493	0.0201855	0.0187407
n	0.869689	0.0799297	0.00412006	0.00485362	0.00213805	0.00428959	0.0123343	0.00938271	0.0132633
g	0.178339	0.653903	0.0543433	0.0157191	0.00853445	0.0168444	0.00126107	0.0039901	0.0670653
a	0.859389	0.106906	0.00915094	0.00246623	0.00674993	0.00358599	0.00346279	0.00319198	0.00509724
á	0.00902191	0.672511	0.0674611	0.101886	0.00942746	0.0526921	0.0103252	0.00682563	0.0698489
y	0.00268137	0.0535436	0.881106	0.031015	0.0129898	0.00595614	0.00116147	0.000740704	0.0108054
o	0.000658802	0.0569891	0.820787	0.0399651	0.0507064	0.00829176	0.00103495	0.00160964	0.0199571
b	0.00183427	0.00583347	0.894437	0.0259327	0.0469461	0.0130574	0.00151479	0.000196099	0.0102485
h	0.00121683	0.0205557	0.791244	0.0916443	0.0584419	0.0209456	0.00181688	0.00012893	0.0140063
i	0.00196808	0.0305095	0.601375	0.0904345	0.133381	0.0376486	0.00392093	0.000425785	0.100337
l	0.000706947	0.0144828	0.0190121	0.754423	0.0845038	0.0688689	0.0491908	0.00265277	0.00615857
i	0.000718118	0.00450114	0.0366741	0.463642	0.222562	0.14323	0.0805504	0.007758	0.040364
m	0.00025893	0.00180844	0.0176332	0.533391	0.200079	0.118696	0.0430711	0.0440847	0.0409776
w	0.00054717	0.000581694	0.00145688	0.0356654	0.0103199	0.0241093	0.0353001	0.853116	0.0389038
á	0.000288068	0.000296609	0.00216847	0.0104606	0.0642714	0.0137238	0.0044712	0.896384	0.00793561
s	0.00654028	0.00667448	0.0311825	0.310962	0.0862052	0.156093	0.178379	0.094283	0.129681
í	0.00277869	0.00340475	0.00840223	0.0921378	0.314989	0.176108	0.0544055	0.0909665	0.256808
e	8.64917e-05	0.00150769	0.00129739	0.162347	0.0794536	0.52195	0.075859	0.0427806	0.114718
t	0.000198603	0.00212308	0.0088933	0.0578101	0.155584	0.39183	0.0341668	0.0413351	0.308059
ó	0.000100443	0.000457492	0.0192345	0.0271014	0.42958	0.273793	0.00608483	0.0200722	0.223577
n	3.12086e-05	0.000123394	0.00819065	0.0315377	0.31252	0.213958	0.0092653	0.00426418	0.420109
g	0.000295689	0.0012112	0.00855984	0.0717124	0.269584	0.338941	0.0174222	0.0147369	0.277537
o	0.000304109	0.000490421	0.00101008	0.023782	0.629467	0.174728	0.0159453	0.00750887	0.146765
</S>	3.55224e-05	0.000656943	0.000400417	0.0253662	0.0121903	0.320835	0.0293213	0.012943	0.598251
