 	tu	les	as	achetés	à	combien	</S>
n	0.911072	0.0477292	0.0268143	0.00599825	0.00609324	0.00207172	0.000221271
ω	0.947121	0.0254031	0.0238878	0.002016	0.00142257	0.000123577	2.55373e-05
ó	0.241066	0.524371	0.118074	0.0878721	0.008669	0.00590298	0.0140453
s	0.00649474	0.234585	0.106335	0.567127	0.0395579	0.0163975	0.0295022
ó	0.0053319	0.177258	0.150707	0.474512	0.0569513	0.00919437	0.126046
m	0.0183185	0.0672472	0.0494823	0.632814	0.12639	0.0544303	0.0513171
b	0.00428828	0.129011	0.0574949	0.546442	0.195859	0.043242	0.0236621
i	0.0907485	0.0873521	0.446763	0.010777	0.139876	0.152706	0.071777
b	0.042876	0.0775003	0.0810954	0.11419	0.48542	0.116977	0.0819412
á	0.0317439	0.0565126	0.133197	0.0372299	0.0534567	0.594823	0.0930376
a	0.0271332	0.0259862	0.152741	0.0443589	0.0803484	0.441816	0.227616
k	0.000433493	0.017719	0.0139033	0.0253129	0.179206	0.265928	0.497497
w	0.000158474	0.00294521	0.00238104	0.00589927	0.0272831	0.847831	0.113502
έ	0.00881436	0.0156529	0.0719429	0.0876115	0.0664936	0.570855	0.17863
ε	0.000113821	0.0017506	0.0112296	0.00403445	0.033679	0.277599	0.671594
</S>	0.000535185	0.00630321	0.00631855	0.00382342	0.114447	0.224614	0.643959
