 	dès	qu'	il	a	vu	le	fantôme	il	cité	la	devise	de	son	clan	</S>
w	0.80768	0.150265	0.0232202	0.00826448	0.000862279	0.00108304	0.000775212	0.000968765	8.64196e-05	0.00156102	0.000591038	0.00202466	0.00237452	0.000183736	5.89694e-05
a	0.581638	0.144292	0.0315412	0.0387002	0.0163277	0.0165383	0.0076936	0.0179997	0.000740277	0.0129631	0.00117917	0.0262165	0.0960167	0.00783435	0.000319134
l	0.0457862	0.367647	0.267515	0.0954806	0.0156478	0.0356002	0.00795264	0.0239106	0.0228615	0.0392759	0.00254676	0.0280191	0.0202531	0.00127419	0.0262295
ó	0.119381	0.0767321	0.0265536	0.0379879	0.0258219	0.0202927	0.0111129	0.024071	0.0179182	0.0282508	0.005059	0.0613297	0.120533	0.041352	0.383605
t	0.233924	0.308969	0.0797011	0.0911063	0.0179355	0.028106	0.0155999	0.0184689	0.0217127	0.0272979	0.000653207	0.0206251	0.0538227	0.0161762	0.0659013
á	0.096308	0.124886	0.0818565	0.234072	0.152877	0.0769052	0.0196874	0.0383398	0.0393448	0.0112869	0.0338498	0.0182308	0.00565522	0.0212853	0.0454151
a	0.0245803	0.0493463	0.112804	0.295861	0.20452	0.036247	0.0676203	0.0138736	0.0134585	0.00323073	0.00228576	0.00608165	0.0162871	0.0241831	0.129621
e	0.008544	0.0458219	0.257393	0.207322	0.128693	0.179603	0.0380108	0.0533104	0.025248	0.0179414	0.00705704	0.011255	0.00817429	0.0016767	0.00994957
s	0.00107491	0.00132055	0.00317485	0.0455886	0.124024	0.180788	0.237544	0.056683	0.170467	0.049029	0.060546	0.0256171	0.00771161	0.00867422	0.0277568
i	7.84967e-05	5.37322e-05	4.30506e-05	0.000604739	0.00165979	0.0271106	0.789518	0.0103496	0.158292	0.00362033	0.000520064	0.00190989	0.000673327	0.000238667	0.00532753
s	0.000285882	0.000960455	0.00120202	0.00576972	0.00982737	0.0680232	0.417393	0.0269241	0.346178	0.0305746	0.00210027	0.0176005	0.00829758	0.00488588	0.0599774
i	0.000916663	0.00142835	0.00128178	0.00349157	0.00701692	0.0694195	0.669246	0.0542715	0.140047	0.00575296	0.00208617	0.00868979	0.00377801	0.00701142	0.0255625
i	0.00123225	0.0103968	0.0665736	0.0350858	0.00313027	0.0584266	0.0924218	0.266785	0.163525	0.163722	0.0267153	0.0454804	0.0177804	0.00530696	0.0434173
a	0.000591331	0.00116156	0.00205729	0.00892304	0.0177967	0.0245551	0.0472974	0.0622341	0.0893304	0.156866	0.346331	0.162	0.0334986	0.0268819	0.0204759
l	0.000342943	0.000513695	0.000291809	0.00101649	0.000910657	0.0107279	0.0439744	0.0325875	0.287768	0.166367	0.262421	0.106512	0.0322181	0.0452354	0.00911307
a	7.91083e-05	8.43947e-05	5.63272e-05	0.000723157	0.00194775	0.0116474	0.0461579	0.0340794	0.627154	0.068255	0.0490918	0.0666794	0.0163615	0.0255513	0.0521314
b	0.000124107	0.000155062	0.000175423	0.00135752	0.00146998	0.0215666	0.0221399	0.0536681	0.403515	0.127539	0.0930133	0.145208	0.0663383	0.0401508	0.0235794
h	0.000813728	0.000584316	0.000452672	0.0024391	0.00444873	0.0148638	0.0690943	0.0475384	0.080749	0.0900864	0.402531	0.135131	0.0714447	0.0412032	0.0386202
í	0.000315993	0.000697433	0.00057184	0.00242986	0.00391902	0.0171397	0.0152068	0.0189409	0.0280483	0.0933563	0.27864	0.26491	0.101168	0.0359719	0.138684
l	0.000115874	0.000485035	0.000565883	0.00075708	0.000342526	0.0082089	0.00189487	0.0546071	0.0391725	0.142495	0.14009	0.301718	0.207722	0.0480281	0.0537971
o	0.000244164	0.000663566	0.00061711	0.00144449	0.00119047	0.00710323	0.00749621	0.0455713	0.0468162	0.0529942	0.037033	0.216782	0.142399	0.240214	0.199431
k	0.000725442	0.000432471	0.000327778	0.000266506	3.9554e-05	0.00379602	0.00266418	0.0359754	0.0164716	0.021396	0.024628	0.12501	0.139221	0.583775	0.0452714
a	0.000238131	7.16553e-05	2.57021e-05	7.19848e-05	2.19777e-05	0.0008477	0.000738451	0.00243947	0.00378016	0.0115083	0.133802	0.0833014	0.0750666	0.657368	0.0307184
á	3.08367e-05	3.48092e-05	3.18371e-05	0.000117782	0.000115659	0.00104819	0.000497249	0.00355845	0.0106185	0.0179836	0.270047	0.0661015	0.05602	0.490759	0.0830352
</S>	0.000188556	0.00217191	0.0036788	0.00182919	0.000343886	0.00738615	0.00580879	0.0324899	0.0134418	0.07045	0.0062555	0.104011	0.288213	0.114279	0.349453
