 	mon	village	s'	appelle	iyongo	</S>
m	0.175536	0.678389	0.113475	0.0300507	0.00058402	0.00196584
b	0.132561	0.331462	0.264076	0.0690704	0.054662	0.148169
ó	0.0258093	0.359551	0.272628	0.16336	0.144014	0.0346373
a	0.0235447	0.711701	0.128468	0.0484511	0.0124441	0.0753909
y	0.528486	0.0311344	0.374574	0.0185218	0.00110298	0.0461808
á	0.558343	0.0178133	0.223258	0.142757	0.00882047	0.0490079
n	0.914845	0.00841451	0.0130976	0.0546183	0.0052982	0.00372599
g	0.873759	6.74154e-05	0.00187045	0.00338021	0.116828	0.00409433
á	0.440995	0.001838	0.0129846	0.0454494	0.472524	0.0262088
é	0.164139	0.00688939	0.412283	0.323514	0.0580789	0.0350952
d	0.0369027	0.00145465	0.533902	0.356086	0.0422776	0.0293776
i	0.0236399	0.000117088	0.365622	0.264371	0.0392369	0.307014
k	0.0281923	0.000219023	0.206969	0.512571	0.0497676	0.202282
ó	0.0150691	0.0100116	0.36375	0.492793	0.0472485	0.0711284
m	0.00166797	0.00630334	0.367611	0.418984	0.0327082	0.172726
b	0.0132079	0.00018822	0.0719903	0.338035	0.275193	0.301386
ó	0.0298382	0.000575217	0.0475543	0.173212	0.258175	0.490646
m	0.00260934	0.000335604	0.175776	0.129154	0.143037	0.549088
i	0.00593883	0.000128326	0.03554	0.329008	0.416118	0.213268
y	0.00238148	0.000287959	0.0596278	0.330395	0.156801	0.450507
o	0.0107331	0.00436293	0.0521595	0.564685	0.269992	0.0980679
n	0.00510241	0.000289011	0.0114104	0.054106	0.391884	0.537208
g	0.0102053	0.000539241	0.00874132	0.0769716	0.688086	0.215456
o	0.00118131	0.00132089	0.0119668	0.0905226	0.524336	0.370673
</S>	0.00337468	0.000623843	0.0224221	0.123105	0.217056	0.633419
