 	autrefois	tout	le	monde	restait	au	village	</S>
l	0.852378	0.0849502	0.0116271	0.0167909	0.0210188	0.007912	0.00524377	7.96151e-05
a	0.950426	0.0368184	0.00847297	0.00244414	0.000962084	0.000647896	3.81444e-06	0.000225098
k	0.858667	0.099518	0.0228942	0.0103862	0.00288082	0.00147418	0.000209335	0.00397057
a	0.952124	0.0314101	0.00456506	0.00595849	0.00276901	0.000765521	0.000100873	0.00230708
l	0.856053	0.0871453	0.0118557	0.00551201	0.00521432	0.00414045	0.000554849	0.029524
a	0.938184	0.0366603	0.00814132	0.00318089	0.00334775	0.00168389	6.80285e-05	0.00873399
b	0.0621473	0.605955	0.200779	0.0359919	0.00699692	0.0289225	0.00281272	0.0563952
a	0.00253693	0.323722	0.382471	0.0767092	0.05994	0.0743216	0.000156732	0.0801417
r	0.00653577	0.481311	0.364043	0.0639668	0.0183333	0.0193248	0.000392838	0.0460926
e	0.0102142	0.441322	0.487414	0.0176746	0.00922856	0.00472831	7.27072e-06	0.0294112
á	0.00174328	0.238458	0.642833	0.0850973	0.00781674	0.0135223	0.000100285	0.0104291
t	0.00140033	0.0405429	0.346389	0.528271	0.0464334	0.0207878	0.0010998	0.0150758
s	0.000574252	0.0297682	0.165102	0.668508	0.0762734	0.032615	0.00471001	0.022449
ω	0.00151699	0.0550689	0.25337	0.575888	0.070517	0.0367796	0.00101748	0.0058417
á	0.000342664	0.063653	0.280627	0.457281	0.103677	0.043077	0.00343801	0.0479048
d	0.000871539	0.010924	0.122014	0.346388	0.30819	0.169104	0.0076899	0.0348179
z	0.00021519	0.00669223	0.19418	0.441896	0.172794	0.0865154	0.000375725	0.0973313
a	0.000657711	0.00760837	0.28954	0.272106	0.286143	0.0866504	0.00325359	0.0540403
b	8.33161e-05	0.00853682	0.0952976	0.261722	0.196877	0.246755	0.0296721	0.161057
á	0.000113948	0.0144747	0.0981503	0.405657	0.167558	0.204368	0.0089649	0.100714
a	0.000261949	0.00951929	0.0410301	0.0703223	0.155253	0.443312	0.125361	0.154941
b	0.000810706	0.00316532	0.0103248	0.0377908	0.357662	0.452294	0.085188	0.0527641
v	0.000931572	0.00612838	0.00859929	0.0377353	0.733479	0.135074	0.0201343	0.0579179
u	0.000577636	0.00662159	0.0215625	0.0382797	0.587033	0.250866	0.00479433	0.0902653
á	8.12885e-05	0.00214125	0.0195201	0.0574887	0.170006	0.272842	0.0366658	0.441255
m	9.29894e-05	0.00299033	0.0213743	0.0132871	0.0719679	0.391629	0.115448	0.38321
ó	0.000481443	0.00406414	0.0182703	0.00658443	0.0584132	0.18115	0.0429619	0.688074
p	0.00225467	0.00980422	0.0212449	0.0180954	0.175363	0.257828	0.328157	0.187253
o	0.00017659	0.000805597	0.00212287	0.00787188	0.0233561	0.0338594	0.89143	0.0403775
o	9.04156e-05	0.000117045	0.000544671	0.00174392	0.00812827	0.0110958	0.926756	0.051524
</S>	7.86808e-05	0.00185344	0.0113327	0.0142252	0.0322441	0.202877	0.0750378	0.662352
