 	les	chefs	coutumiers	du	district	de	boundji	sont	partis	en	conseil	à	ongondza	</S>
a	0.307382	0.682779	0.00889826	0.000280851	0.000231801	0.000144737	5.82598e-05	5.17977e-05	3.02973e-06	3.98611e-05	5.18416e-06	9.93333e-05	2.0867e-05	5.22259e-06
k	0.154077	0.540492	0.28034	0.00252535	0.0187943	0.000602647	0.000776407	0.000154809	8.27562e-05	0.000401274	0.000381645	0.000439309	0.000441482	0.000491782
á	0.0188272	0.149771	0.743986	0.00626678	0.0670046	0.00159561	0.00230665	0.000193775	0.000416902	0.000891206	0.00149083	0.00112294	0.0025682	0.0035587
n	0.00377543	0.0527765	0.897125	0.00983934	0.0192863	0.00165968	0.00348377	0.00049135	0.00228398	0.00225136	0.0018564	0.00110416	0.000325709	0.00374083
i	0.297666	0.402632	0.281777	0.00799045	0.00169792	0.00147987	0.000674813	0.000524358	0.000420768	0.00074203	0.000194475	0.00112622	0.000134866	0.00293857
b	0.214873	0.0737134	0.0907872	0.399985	0.0201218	0.147923	0.0123358	0.0157098	0.00125206	0.00997205	0.00232637	0.00459525	0.000274298	0.00613118
á	0.122255	0.0144629	0.0685539	0.363994	0.0468594	0.151293	0.0221687	0.0136678	0.00663237	0.0397825	0.0127621	0.0875664	0.00142885	0.048573
m	0.226915	0.0141138	0.0186227	0.234329	0.149266	0.187845	0.0955744	0.026629	0.00830546	0.00802848	0.00346567	0.0123114	0.00203369	0.0125606
b	0.0258442	0.00919071	0.000556575	0.138187	0.224021	0.0598671	0.445918	0.0323293	0.054903	0.00137874	0.00191748	0.00239565	0.000183437	0.0033081
o	0.00459524	0.00754978	0.0022381	0.0668407	0.748798	0.0205658	0.138646	0.00122824	0.00559909	0.000340428	0.000588125	0.000360208	0.00016911	0.00248115
n	0.00643376	0.00271228	0.00741317	0.0281038	0.821613	0.0437047	0.0763126	0.00218759	0.00599084	0.000564089	0.00165672	0.0003111	2.67147e-05	0.00296912
d	0.0130314	0.00352244	0.00141318	0.0295289	0.512923	0.144788	0.243015	0.00963724	0.00589332	0.00170575	0.00290042	0.00299635	0.00418756	0.024457
z	0.0125812	0.00495385	0.00190941	0.0154679	0.857487	0.0257109	0.0637793	0.00163781	0.00162405	0.000426377	0.00053922	0.000399108	0.00186244	0.0116215
i	0.0125768	0.00367908	0.00214299	0.0335275	0.712885	0.0590983	0.0936996	0.00232205	0.00157329	0.00133159	0.0012814	0.00445886	0.0096949	0.0617289
á	0.0300058	0.00203273	0.00145657	0.0501804	0.0197389	0.390448	0.189378	0.26464	0.0203884	0.014945	0.00402464	0.0042565	0.000192648	0.00831195
m	0.00475212	0.00177474	0.011315	0.013398	0.00250414	0.0154391	0.0505312	0.261387	0.362206	0.133869	0.101944	0.0140566	0.00216033	0.0246626
i	0.00169006	0.000160969	3.11225e-05	0.00229328	0.00171798	0.00402579	0.0337117	0.0850394	0.646853	0.101463	0.0840525	0.0235618	0.000565257	0.0148336
d	0.000235622	7.06427e-05	0.0001534	0.000828502	0.00391852	0.000807356	0.021023	0.0202392	0.782977	0.0535329	0.104259	0.00358385	0.000764117	0.00760704
z	0.000145326	0.000161574	0.000118122	0.000588183	0.000999867	0.000335631	0.00554337	0.0024407	0.756362	0.0322088	0.190358	0.00347978	0.00112429	0.0061336
w	0.000139975	0.00011007	0.00013784	0.000570119	0.000473864	0.000310436	0.0106885	0.00536543	0.955592	0.00824089	0.0162786	0.000874387	0.000213313	0.0010044
á	0.00371118	0.000182392	3.54232e-05	0.00201856	0.000984807	0.000959767	0.0309412	0.0317113	0.707496	0.0868179	0.0412298	0.0449016	0.00100002	0.04801
o	0.0029647	0.000416722	0.000101372	0.00631325	0.00222139	0.0044157	0.0161038	0.0556639	0.191717	0.192091	0.157197	0.178023	0.155542	0.0372283
l	0.000738006	0.000572224	5.36149e-05	0.00149478	0.0026561	0.000589104	0.00140691	0.0023982	0.0349226	0.0808487	0.617734	0.0980985	0.113239	0.0452489
o	0.00059597	0.000471318	0.000120117	0.00592388	0.00148364	0.000861196	0.00173815	0.0013811	0.030412	0.0514646	0.785833	0.0469088	0.035614	0.0371924
o	0.000208885	7.72165e-05	1.25341e-05	0.0018758	0.00126827	0.000483479	0.00196495	0.00104859	0.0487729	0.0393971	0.733347	0.0437918	0.0640537	0.0636974
s	0.00323756	0.000176377	1.5407e-05	0.001988	0.00045977	0.0026884	0.00275891	0.00372195	0.00709886	0.150582	0.243377	0.266251	0.0732306	0.244414
ó	0.00210259	0.000168659	5.09652e-05	0.00213405	0.0014653	0.00229843	0.00202606	0.00120038	0.00496683	0.0742522	0.380837	0.139786	0.256843	0.131868
n	0.00438258	7.5217e-05	9.58916e-06	0.00109428	0.000487225	0.00278935	0.00184013	0.00412359	0.00435763	0.0276843	0.10641	0.164917	0.438908	0.24292
g	0.00172398	0.000145994	5.28045e-05	0.00185267	0.000729353	0.00116619	0.00221843	0.000735893	0.00187398	0.00374406	0.0173115	0.0504134	0.860329	0.057703
ó	0.0002769	0.000118648	1.10826e-05	0.00018564	0.000192362	0.000340022	0.000359735	0.000163922	0.000120722	0.000587137	0.00520959	0.00707502	0.969216	0.0161429
n	3.83452e-05	4.5192e-06	5.20586e-07	9.12842e-05	0.000113057	0.000215556	0.000479578	8.88653e-05	0.000296142	0.000539557	0.00681347	0.00471437	0.942392	0.0442133
d	0.00200981	0.000217314	3.24055e-05	0.0010349	0.00185316	0.001497	0.00245335	0.000764813	0.00560778	0.0115891	0.0389196	0.106638	0.145031	0.682352
z	0.000952747	0.000241912	3.62512e-05	0.000535251	0.00333541	0.00077719	0.00103966	0.000134793	0.000378685	0.00115495	0.00948146	0.0251681	0.687278	0.269486
a	0.00361488	0.00106868	0.00048457	0.00177858	0.0145307	0.00306639	0.00367001	0.000898368	0.00134087	0.00543563	0.0146502	0.0611979	0.421849	0.466414
</S>	0.00720053	0.00059465	0.000160872	0.000818636	0.000379207	0.0012775	0.00145238	0.00420344	0.00323729	0.0292508	0.0268626	0.213635	0.0598113	0.651115
