 	il	buvait	le	vin	de	palme	à	grandes	gorgées	</S>
w	0.951847	0.008505	0.00627131	0.00682095	0.00938128	0.00394861	0.00832944	0.00479004	7.87959e-05	2.76358e-05
a	0.950641	0.00819671	0.0141982	0.00265167	0.00911656	0.00180946	0.00758353	0.00569188	9.74894e-05	1.37291e-05
á	0.523969	0.203651	0.0963616	0.0298363	0.0477575	0.0292033	0.0383883	0.0109838	0.00529944	0.0145496
d	0.101357	0.412065	0.215997	0.03507	0.0231106	0.045331	0.0182952	0.0154213	0.0518674	0.0814857
z	0.0144075	0.323518	0.223105	0.0508608	0.0205386	0.036132	0.0106786	0.00899611	0.0207791	0.290984
e	0.0711356	0.79965	0.0422075	0.0146354	0.00740684	0.00961175	0.00655364	0.0151519	0.0119715	0.0216761
l	0.0283142	0.0882011	0.286028	0.0720504	0.0541399	0.0410009	0.0460406	0.0271655	0.0285587	0.328501
á	0.113099	0.0239538	0.120714	0.157204	0.0925403	0.0802925	0.0416364	0.0242517	0.0186025	0.327706
a	0.160398	0.0508218	0.0928307	0.304393	0.0848731	0.0661418	0.054897	0.0353923	0.0102705	0.139982
m	0.00478021	0.378955	0.139804	0.269826	0.0148036	0.0351521	0.00691766	0.00356538	0.115027	0.0311689
i	0.0037343	0.0558846	0.2386	0.422265	0.0541403	0.0863541	0.0342144	0.0316296	0.0128887	0.0602888
á	0.00221971	0.0978482	0.356092	0.226556	0.0546612	0.0946495	0.0140897	0.0187864	0.0133519	0.121745
i	0.0190424	0.00283391	0.106052	0.141493	0.322604	0.223655	0.0916097	0.0543808	0.00810612	0.0302235
k	0.0104023	0.00804608	0.0583318	0.257151	0.112304	0.342647	0.0617772	0.0324173	0.0901329	0.0267895
y	0.00190121	0.00696996	0.0270747	0.249946	0.0750241	0.289885	0.0884556	0.044925	0.189411	0.0264069
e	0.00283146	0.0102417	0.0212751	0.108998	0.129031	0.389639	0.098228	0.0829919	0.10814	0.0486232
m	0.00181007	0.0115356	0.036159	0.0377313	0.152495	0.190309	0.12995	0.254337	0.101561	0.084112
ú	0.00334484	0.00210761	0.0128962	0.00826866	0.0943799	0.176231	0.222082	0.309876	0.0919689	0.0788453
é	0.00100142	0.000591615	0.0122933	0.00870136	0.105933	0.112973	0.32391	0.276851	0.0865328	0.071212
d	0.00343926	0.0021431	0.0198419	0.0145475	0.0351431	0.0590909	0.118737	0.227207	0.461825	0.058025
z	0.000531939	0.000972779	0.0263652	0.000938802	0.0115764	0.0393788	0.0958962	0.355128	0.216091	0.253121
é	0.00042786	0.00301258	0.00805843	0.000881271	0.0087312	0.0242002	0.0482524	0.620807	0.223959	0.06167
w	0.00122197	0.000926965	0.0190742	0.0056686	0.039209	0.0554534	0.118444	0.245354	0.326054	0.188594
a	0.00144311	0.000583709	0.0085804	0.0127354	0.0505509	0.113243	0.0950343	0.171811	0.362032	0.183986
l	0.000915417	0.000384342	0.00495865	0.00877399	0.0339995	0.0404259	0.141856	0.138943	0.307774	0.321969
á	0.00110455	0.000801499	0.00580516	0.00574155	0.00701415	0.0202866	0.0217319	0.026069	0.655592	0.255854
a	0.0113046	0.000610689	0.0191022	0.00884136	0.0530313	0.0274534	0.155632	0.217371	0.193984	0.312669
n	0.000927962	0.0031364	0.0142878	0.00424059	0.00345676	0.0072599	0.00831247	0.0101399	0.826293	0.121945
y	0.000297946	0.00192664	0.0261254	0.00820307	0.00812443	0.0259363	0.0274084	0.027434	0.431655	0.442888
w	0.00579721	0.00179291	0.0253582	0.017721	0.0177161	0.0491499	0.0757364	0.0485439	0.236688	0.521496
á	0.000664392	0.00100267	0.00475931	0.00634808	0.0148673	0.0473343	0.0588958	0.0868799	0.248562	0.530686
á	0.000430614	0.000391677	0.00247255	0.000943734	0.0169246	0.0150659	0.0774847	0.0785264	0.121258	0.686501
o	0.00939052	0.0027663	0.0470348	0.00763004	0.0451691	0.0371921	0.097335	0.0877492	0.0761282	0.589605
l	0.000175451	0.0163428	0.0466196	0.00854419	0.0124422	0.0243881	0.0307237	0.0420018	0.640206	0.178556
έ	8.85615e-05	0.00815747	0.0847859	0.00885084	0.0150633	0.0443622	0.0125729	0.0131509	0.44628	0.366688
n	2.48828e-05	0.000460049	0.00293788	0.000786048	0.0034829	0.00551788	0.00867438	0.0194408	0.143956	0.814719
g	0.00513257	0.000876749	0.00490981	0.00867908	0.0255586	0.0344679	0.107763	0.0929136	0.176572	0.543127
έ	0.00300662	0.00019566	0.002762	0.00606761	0.0147362	0.0160905	0.111131	0.0442157	0.090073	0.711722
</S>	0.0021452	0.000513301	0.00605065	0.00192622	0.027127	0.0327954	0.0795367	0.075412	0.0359155	0.738578
