 	cet	homme	avait	éprouvé	une	grande	honte	le	jour	où	on	l'	avait	pris	en	adultère	</S>
i	0.704341	0.191422	0.0274311	0.000350023	0.00129187	0.00619423	0.0240884	0.0168319	0.0109751	0.00329975	0.00661899	0.0037883	0.00144105	0.000502941	0.00125709	0.000141794	2.44332e-05
b	0.350421	0.61453	0.0126638	0.0025378	0.00174313	0.00235927	0.0029367	0.00154031	0.00101697	0.000914123	0.00204868	0.00160861	0.00120156	0.00110331	0.00077634	0.00171619	0.000882108
a	0.146163	0.809889	0.00133733	0.0299172	0.000539323	0.000526659	0.000453824	0.000560281	0.00319278	0.00207013	0.00289915	0.000542547	0.000590701	0.000290163	0.000196018	0.000463136	0.000368656
a	0.331263	0.580479	0.0023301	0.0198158	0.00162893	0.00201421	0.00145173	0.00263446	0.00801616	0.00567808	0.00904099	0.0016859	0.00185851	0.00222293	0.000975448	0.00799213	0.0209129
d	0.618998	0.0445433	0.0913459	0.0247189	0.0114054	0.00334793	0.00274547	0.00784977	0.00661983	0.015597	0.0187807	0.0111782	0.0108993	0.00827998	0.00753284	0.00142522	0.114733
í	0.0973657	0.0511611	0.0886297	0.000893067	0.0129608	0.0124911	0.0176814	0.0460307	0.00676122	0.046724	0.0297215	0.0592216	0.04435	0.00526068	0.00909001	0.0161071	0.45555
á	0.0238715	0.146571	0.529849	0.00800421	0.00983045	0.00459498	0.00274216	0.0107445	0.00531726	0.0149369	0.027211	0.0237826	0.0328397	0.00562984	0.00825659	0.0051829	0.140635
b	0.00246032	0.0105439	0.622718	0.0548632	0.157511	0.0174152	0.0065081	0.00799695	0.00276945	0.00524423	0.017481	0.0235601	0.0161307	0.0134924	0.0118398	0.0110923	0.0183734
ω	0.000449539	0.00403016	0.0294628	0.798321	0.037928	0.0278464	0.0219286	0.0112766	0.00811067	0.00879604	0.0138364	0.0088249	0.00863416	0.00688405	0.00764227	0.00352599	0.00250222
ω	0.00254085	0.0317232	0.106174	0.389137	0.196783	0.104853	0.0382532	0.0240565	0.0118577	0.00590368	0.017779	0.0123294	0.0104219	0.0125688	0.010593	0.0130759	0.0119503
b	0.000727956	0.00343454	0.105127	0.0763837	0.404935	0.209091	0.0549136	0.0443545	0.0135049	0.00896458	0.0160824	0.0133607	0.00739491	0.0063406	0.00684761	0.00344607	0.0250904
v	0.000465703	0.00246477	0.0199598	0.492401	0.0961966	0.0656071	0.0479303	0.0336204	0.0624419	0.0320385	0.0648373	0.0240169	0.0137082	0.0231686	0.00747369	0.00604966	0.00761934
ú	0.00110107	0.00094757	0.0098968	0.232978	0.0547082	0.0847899	0.207954	0.0906202	0.126604	0.0585369	0.0648611	0.0205277	0.00848515	0.0110691	0.012813	0.00633499	0.00777226
s	0.000825332	0.000233562	0.0146539	0.0114534	0.120462	0.260146	0.29386	0.142466	0.066158	0.0266921	0.025135	0.0151766	0.00566012	0.00319665	0.00299135	0.000666996	0.0102231
á	0.00147704	8.53123e-05	0.00501496	0.000321058	0.0830234	0.139792	0.350272	0.290028	0.0433941	0.0478026	0.00736276	0.0200052	0.00342668	0.00110758	0.00161632	0.000721708	0.00455024
b	0.00275292	0.00112932	0.017663	0.000534246	0.0352429	0.0858854	0.339594	0.190788	0.163334	0.0619796	0.0385187	0.0449602	0.00822263	0.00225979	0.00265129	0.00256707	0.00191617
