 	c'	est	donc	toi	qui	te	gave	du	manioc	de	ma	mère	</S>
o	0.31299	0.299938	0.107251	0.0916398	0.0414717	0.0359979	0.0182732	0.0326742	0.0399172	0.0139994	0.0045079	5.69342e-05	0.00128301
m	0.00401731	0.0027933	0.0130175	0.00864311	0.0104798	0.0392899	0.852809	0.0158499	0.030718	0.00887122	0.00203331	0.00261752	0.0088602
i	0.000453981	0.0013693	0.00161972	0.000764946	0.00309471	0.0324428	0.887498	0.0378988	0.0262123	0.00344347	0.00326847	0.00085787	0.00107587
i	0.00334488	0.00102135	0.0014584	0.00210511	0.00245266	0.015843	0.93014	0.00969427	0.0189746	0.0010868	0.000424008	8.7611e-05	0.0133677
g	0.00100719	0.000309585	0.00387463	0.00196811	0.00413721	0.0203222	0.806152	0.0184967	0.0423248	0.00405671	0.000189617	0.000250591	0.0969107
h	0.00199439	0.0014908	0.00259268	0.0104701	0.00785978	0.143492	0.230677	0.068271	0.383722	0.0858421	0.00673623	0.0002482	0.0566043
i	0.000444254	0.00130688	0.000727788	0.00203729	0.0031068	0.0298872	0.469844	0.0593815	0.392772	0.0326038	0.00486485	0.000140474	0.002883
i	0.00208884	0.00139314	0.000854653	0.0101037	0.0146665	0.0791235	0.196853	0.184411	0.408821	0.0741481	0.0054679	8.4819e-05	0.021984
k	0.00137811	0.0013315	0.000745634	0.0112633	0.0204884	0.0849116	0.022325	0.195167	0.323131	0.299209	0.0207197	0.00124762	0.0180823
ώ	0.000280802	4.75696e-05	1.56106e-05	0.000298923	0.000169309	0.0045878	0.00946555	0.0175372	0.89424	0.0702304	0.00104858	0.000230928	0.00184762
ώ	8.30166e-05	0.000487227	0.00016345	0.00533072	0.00395292	0.0378783	0.0204135	0.0427498	0.734568	0.141131	0.00944892	0.00109844	0.00269401
b	0.00264009	0.00331528	0.000534575	0.00932157	0.0438047	0.0409125	0.00585278	0.336091	0.12748	0.285307	0.135814	0.00319545	0.00573187
á	0.0085111	0.00258423	0.000119528	0.00429623	0.00359057	0.0232823	0.00584356	0.0329297	0.238827	0.243785	0.379404	0.000725096	0.0561012
n	0.00277283	0.0138917	0.000788005	0.0175081	0.0575786	0.0484752	0.00100701	0.0557726	0.0291106	0.129983	0.620468	0.000623876	0.0220196
g	0.00014044	0.00123623	0.000532732	0.00787627	0.0971053	0.174526	0.000136939	0.0200774	0.00113866	0.0624699	0.61627	0.00987248	0.00861768
ó	5.82071e-05	0.00154833	0.00241176	0.00868558	0.0520573	0.0972884	0.00077398	0.023581	0.00269189	0.101777	0.282823	0.318804	0.1075
o	0.000147	0.00335029	0.00171766	0.0189167	0.0663071	0.0628165	0.000739464	0.0974366	0.0103245	0.230411	0.309248	0.083487	0.115098
y	0.00194266	0.00275454	0.0018596	0.00599665	0.0150337	0.0127596	0.00402521	0.0737964	0.0206844	0.155501	0.0874957	0.115277	0.502874
a	0.0840838	0.101354	0.00643909	0.0100922	0.0386192	0.0137587	0.0108929	0.127023	0.0265932	0.163481	0.277317	0.0305448	0.1098
n	0.0258613	0.041095	0.00125657	0.0165931	0.0458954	0.00595349	0.000553502	0.036352	0.0039893	0.0626989	0.699462	0.00372678	0.0565625
g	0.000200403	0.00155261	0.000389133	0.00386209	0.063261	0.0893792	0.000322078	0.0205675	0.00120954	0.0620326	0.553648	0.0921934	0.111383
á	7.01719e-05	0.00144927	0.00267364	0.00976337	0.0409978	0.0652693	0.00178612	0.0221554	0.00308613	0.072275	0.0984155	0.201523	0.480536
l	0.00272505	0.00685143	0.00783581	0.0129918	0.034816	0.0125654	0.00392771	0.0601722	0.0236456	0.181658	0.151351	0.054507	0.446953
í	0.00630594	0.00758355	0.00134214	0.00598502	0.00675686	0.00527784	0.00388158	0.0201661	0.00446314	0.0489234	0.053007	0.0119501	0.824357
n	0.0094809	0.0147334	0.000865672	0.00936462	0.0247902	0.00559087	0.0057216	0.133862	0.061451	0.233982	0.242771	0.0110006	0.246385
ω	0.000184954	0.00194983	0.00133128	0.0123492	0.0315108	0.044241	0.00289249	0.0324341	0.00313604	0.0935711	0.137322	0.0315134	0.607564
</S>	6.43075e-05	0.000494592	0.000274612	0.00343029	0.00450009	0.00355243	0.00525888	0.0343408	0.0200808	0.0626346	0.0154394	0.0228007	0.827128
