 	le	ronflement	de	notre	grand	père	me	fait	peur	</S>
l	0.627445	0.0750879	0.12125	0.036265	0.119205	0.0074687	0.00945382	0.00288399	0.000831366	0.000108936
e	0.339564	0.371536	0.0798241	0.0229329	0.135069	0.0105686	0.0266705	0.0120471	0.000570442	0.00121735
n	0.0920331	0.668347	0.0372786	0.0124797	0.0682552	0.0812353	0.0213869	0.00622842	0.000892786	0.0118634
g	0.0105966	0.810086	0.0275971	0.059449	0.0143751	0.00210257	0.0542491	0.00175404	0.00170131	0.0180887
w	0.00454915	0.984387	0.00107617	0.00199403	0.000980217	0.000321098	0.00546453	0.000254496	0.00012206	0.00085163
ω	0.0588787	0.567485	0.0851954	0.0821609	0.0708418	0.0064002	0.0613472	0.0118062	0.00281306	0.0530713
ω	0.0734165	0.716736	0.0911079	0.0211592	0.0397752	0.00511206	0.0133031	0.00981491	0.00855543	0.0210201
s	0.144565	0.0879304	0.554274	0.0457586	0.105149	0.0242106	0.012118	0.0092558	0.00130325	0.0154352
i	0.134687	0.341179	0.221054	0.0696905	0.0677786	0.030431	0.0484216	0.0142746	0.00400773	0.0684761
l	0.106961	0.0231014	0.389405	0.213264	0.144309	0.0677942	0.0215537	0.00731338	0.00413327	0.022165
á	0.0462356	0.0642433	0.140992	0.054213	0.0621296	0.0737126	0.196783	0.032216	0.00133431	0.328141
k	0.0797189	0.0162865	0.179513	0.336043	0.161989	0.172231	0.0141135	0.00859691	0.0082933	0.0232155
a	0.00851283	0.0337869	0.0197826	0.042257	0.190272	0.68381	0.00291595	0.00895017	0.00208463	0.00762822
a	0.00391171	0.00656447	0.0444174	0.0792921	0.143223	0.642168	0.0169366	0.0111926	0.00398798	0.0483064
g	0.00717953	0.00167866	0.246297	0.178516	0.345917	0.110463	0.0755034	0.0166399	0.00212497	0.0156804
h	0.0308679	0.00257031	0.0980507	0.350338	0.263218	0.103001	0.0513182	0.0346382	0.00713929	0.0588586
á	0.00708613	0.00494376	0.163697	0.36114	0.179489	0.0586873	0.0805614	0.0231725	0.0104556	0.110768
y	0.00481878	0.00229383	0.134636	0.0984497	0.231411	0.350891	0.106601	0.0221868	0.00447275	0.0442394
a	0.015198	0.017097	0.136751	0.114002	0.0937517	0.575557	0.0246242	0.00726495	0.00193085	0.0138234
b	0.0059686	0.00308707	0.0661107	0.340507	0.126904	0.37895	0.0469575	0.0174802	0.00324334	0.0107925
í	0.00297967	0.000382486	0.0245014	0.85184	0.0652272	0.0364988	0.00793335	0.00559778	0.00382786	0.00121187
s	0.00380532	0.000411021	0.0415977	0.696978	0.0543676	0.097467	0.0284741	0.0124796	0.048425	0.0159949
í	0.0115087	0.00427824	0.0429155	0.27454	0.117191	0.0589948	0.227814	0.0580279	0.0512433	0.153486
y	0.000753458	0.000792279	0.0211909	0.0254334	0.0997802	0.234208	0.367935	0.182967	0.0146073	0.0523323
i	0.0104379	0.0142993	0.0983745	0.144791	0.0635925	0.246714	0.291486	0.0730403	0.00885972	0.0484046
b	0.0030604	0.00289887	0.0548065	0.0895819	0.0533633	0.0602063	0.308921	0.207452	0.0186066	0.201104
a	0.00160383	0.000594355	0.0280634	0.733577	0.0481685	0.00668418	0.0364873	0.102201	0.0334261	0.00919443
a	0.000580008	0.000315899	0.0219144	0.471527	0.0357711	0.0431979	0.0485495	0.0797476	0.176289	0.122108
l	0.00166053	0.000361525	0.0184042	0.00797084	0.0228039	0.0099632	0.248688	0.269888	0.120077	0.300182
í	0.00511677	0.00399853	0.0214195	0.0188533	0.0158428	0.00850244	0.29416	0.256148	0.0336436	0.342315
i	0.00256509	0.00144167	0.0434734	0.0873396	0.0223413	0.00846866	0.249834	0.170246	0.136313	0.277977
p	0.00181367	0.0066068	0.00883939	0.0151094	0.00763054	0.00834984	0.0941171	0.600453	0.0562841	0.200796
έ	7.76333e-05	0.00262336	0.00283265	0.0057246	0.00972697	0.0242136	0.0254108	0.733717	0.0161223	0.179551
έ	0.03496	0.0275	0.0553651	0.212995	0.112086	0.0309943	0.0846625	0.163459	0.152566	0.125412
n	0.011455	0.00199964	0.0360561	0.0196715	0.0265924	0.00938743	0.132545	0.165832	0.225617	0.370844
g	0.028223	0.018773	0.0251668	0.108607	0.0155388	0.00226375	0.37901	0.0474353	0.234608	0.140375
á	0.00267194	0.0102752	0.0088915	0.0478444	0.0192177	0.00849328	0.646592	0.038514	0.109626	0.107874
b	0.00151082	0.00397522	0.0376785	0.00733833	0.0207496	0.00443108	0.0571393	0.155623	0.293269	0.418285
ω	0.00128082	0.000146709	0.0126066	0.223828	0.011497	0.00246572	0.00914684	0.0266463	0.686566	0.0258163
m	0.000495126	0.000297851	0.00113466	0.0127765	0.00282405	0.00120337	0.00918781	0.0361257	0.830695	0.10526
ω	0.00377442	0.000758553	0.0133748	0.0172942	0.00561355	0.0017309	0.00371294	0.0356291	0.678442	0.239669
</S>	0.00196944	0.00181786	0.0315824	0.0184125	0.00948873	0.00191042	0.0429903	0.133461	0.0434341	0.714933
