 	je	cultive	un	champ	d'	arachides	</S>
n	0.968534	0.00545951	0.0156075	0.00560257	0.00470381	3.57722e-05	5.65078e-05
g	0.986621	0.000742786	0.00273323	0.0094483	0.000370971	5.85672e-05	2.5012e-05
á	0.972934	0.00601856	0.00232707	0.017455	0.000326757	0.000850174	8.89585e-05
l	0.464872	0.0754124	0.114966	0.0304426	0.0621612	0.0229328	0.229214
í	0.616273	0.0384358	0.100029	0.00969653	0.0325122	0.00218208	0.200872
i	0.0479214	0.0663858	0.437697	0.133061	0.0772025	0.0463456	0.191388
s	0.00502477	0.955264	0.0214125	0.00226511	0.00178618	0.0013705	0.0128766
á	0.00283511	0.995692	0.00130466	1.35755e-05	9.19495e-06	3.37105e-05	0.000112141
á	0.0480272	0.860129	0.051121	0.0052123	0.00218831	0.00725046	0.0260714
k	0.0100731	0.0698112	0.580687	0.204456	0.101283	0.0233454	0.0103437
ú	0.0124401	0.104137	0.549264	0.225257	0.0188144	0.0567999	0.0332875
b	0.000882746	0.0833817	0.527483	0.0686858	0.033156	0.060615	0.225796
h	0.00621564	0.109926	0.501872	0.038644	0.146876	0.0142063	0.18226
á	0.000872151	0.0156202	0.388529	0.241879	0.15462	0.0338494	0.16463
y	0.000249178	0.00572752	0.125242	0.0815421	0.624775	0.122301	0.0401628
á	0.00204416	0.0134902	0.0697634	0.119558	0.0680247	0.576192	0.150927
n	0.00145191	0.00441019	0.0778419	0.0348349	0.22052	0.59555	0.0653909
d	0.00350461	0.000439943	0.0152012	0.287241	0.0468482	0.566335	0.0804305
z	0.000302381	7.73099e-05	0.002978	0.0966315	0.0400598	0.755852	0.104099
o	1.22478e-05	0.000641389	0.00676912	0.0149414	0.0142009	0.815459	0.147976
ó	6.94552e-05	0.00384342	0.0400157	0.140718	0.0530262	0.304438	0.457889
</S>	7.95028e-05	0.00102639	0.0263419	0.0374986	0.0872628	0.0437854	0.804005
