 	le	côté	paternel	de	ma	femme	m'	a	exigé	beaucoup	d'	argent	pour	la	dot	</S>
i	0.573846	0.379063	0.00701815	0.0104399	0.00778144	0.000556215	0.00596664	0.00261468	0.00443043	0.00292803	0.00225424	0.000387214	0.000730525	0.0018859	4.27476e-05	5.407e-05
t	0.452401	0.194641	0.308613	0.014275	0.00100905	0.000266091	0.00175407	0.00469273	0.012147	0.00165451	0.00167277	0.000240729	0.000529781	0.00108878	0.00216871	0.00284653
á	0.0874703	0.134537	0.614382	0.104644	0.00347048	0.00157997	0.00101379	0.010428	0.0147059	0.00485829	0.00701983	0.000609574	0.00160709	0.00138731	0.00934964	0.00293602
á	0.0753082	0.233986	0.409093	0.082371	0.00412806	0.00167136	0.00729013	0.0283699	0.034701	0.0100481	0.014245	0.00203382	0.00722405	0.00465055	0.00983486	0.0750439
l	0.158222	0.239748	0.18225	0.101522	0.0400295	0.0211668	0.0430361	0.0367233	0.0188631	0.0254743	0.0168408	0.00362694	0.0195135	0.0129915	0.00190901	0.0780831
á	0.0954045	0.108332	0.117044	0.131806	0.0112482	0.0042915	0.0281028	0.0633432	0.0287895	0.0582329	0.0315552	0.0052939	0.0257662	0.0246498	0.0103578	0.255783
m	0.148305	0.0966713	0.380686	0.0728448	0.0824775	0.0515011	0.0452217	0.0147953	0.00720139	0.0242037	0.0152895	0.0175959	0.0140329	0.00904785	0.00625002	0.0138761
w	0.017791	0.0035736	0.0169457	0.0457894	0.0433547	0.848335	0.00395267	0.00476437	0.000235133	0.000833005	0.000599654	0.0122378	0.000455906	0.000274896	2.20785e-05	0.000835099
á	0.118888	0.0341256	0.100766	0.110512	0.0586868	0.3736	0.0115383	0.0299435	0.00959406	0.0119439	0.011545	0.108678	0.0107608	0.00187705	0.00162344	0.00591752
s	0.624376	0.0832864	0.00672559	0.0155938	0.128678	0.024325	0.0164144	0.00580778	0.00353256	0.00288756	0.00344832	0.0699645	0.00713884	0.00236985	0.000450477	0.00500063
í	0.0718972	0.0366541	0.214237	0.0918866	0.0854587	0.0708877	0.0810749	0.0245929	0.00885392	0.0406617	0.0251693	0.0728424	0.0251838	0.0173626	0.0104498	0.122787
y	0.0350344	0.0997461	0.0499416	0.195102	0.205933	0.0845163	0.150525	0.0526042	0.0180543	0.0245257	0.0144389	0.00715708	0.0128235	0.0272314	0.00306451	0.0193025
a	0.0187908	0.00968608	0.0872233	0.273679	0.222951	0.229939	0.0640239	0.0170975	0.00214975	0.0258997	0.00917007	0.0135467	0.00493045	0.00645297	0.00173203	0.0127271
n	0.0160594	0.00643234	0.100922	0.237017	0.371072	0.178314	0.0390415	0.0161935	0.00392165	0.0102239	0.00484995	0.00285555	0.00233961	0.00387789	0.000907255	0.00597145
g	0.0111433	0.00207276	0.0050646	0.161011	0.228434	0.406958	0.0790783	0.013137	0.0108158	0.0227716	0.00996788	0.0251336	0.00638699	0.00412327	0.000652427	0.0132495
á	0.00235154	0.00115427	0.0187692	0.0870963	0.125681	0.491024	0.170586	0.0111709	0.00819542	0.0146958	0.00678555	0.0473916	0.00264801	0.00300834	0.00272946	0.00671186
í	0.00362195	0.00707748	0.0190819	0.193674	0.189726	0.0317554	0.104008	0.205232	0.063785	0.0729389	0.0404983	0.00730707	0.0179064	0.0222181	0.0035085	0.0176605
b	0.00433227	0.00472453	0.00833581	0.0684858	0.0257347	0.039992	0.0580136	0.345452	0.353849	0.0501632	0.0228764	0.00228745	0.00411994	0.00410506	0.00234312	0.00518483
é	0.00191764	0.00258609	0.00241339	0.0471436	0.0131289	0.00331962	0.0128839	0.133976	0.68273	0.0360931	0.0362259	0.00311492	0.00967453	0.00439817	0.00439068	0.00600379
i	0.000959994	0.000652296	0.0117962	0.0600366	0.0336521	0.00822362	0.0409184	0.170324	0.46967	0.057618	0.0441801	0.0216679	0.0149157	0.0108029	0.00430683	0.0502753
