 	il	finira	par	maigrir	à	cause	de	l'	alcool	</S>
w	0.907584	0.0621162	0.0204057	0.00014585	0.00541115	0.00042814	0.00119044	0.0023557	0.000200129	0.000162608
a	0.957114	0.0121456	0.0117134	8.39109e-06	0.00511902	7.50321e-05	0.000831396	0.0106715	0.00229207	2.98516e-05
e	0.50565	0.284717	0.193423	0.000395083	0.00492278	0.000471355	0.00177404	0.00301702	0.00237192	0.00325716
b	0.0621029	0.572061	0.213939	0.0559422	0.028026	0.0234638	0.0114065	0.00660053	0.00596212	0.0204953
v	0.0146088	0.884672	0.0695853	0.0117778	0.00581694	0.00497955	0.00295699	0.00054756	0.00165308	0.0034023
í	0.00157138	0.97645	0.0199552	0.00080867	0.000652443	6.24415e-05	0.000204897	4.48089e-05	5.56507e-05	0.000195005
é	0.0135524	0.769171	0.025614	0.0272949	0.00820826	0.00468943	0.0111996	0.00119423	0.0018594	0.137217
l	0.0306383	0.100517	0.566675	0.0878321	0.0343445	0.0123183	0.013806	0.00348842	0.00281279	0.147567
á	0.0230989	0.0372909	0.472336	0.0591933	0.10705	0.00919937	0.0467731	0.019908	0.00671977	0.218431
a	0.0108874	0.00483996	0.18012	0.0854598	0.438049	0.0433004	0.0433985	0.0989834	0.0458468	0.0491148
t	8.28249e-05	0.00209455	0.0175652	0.876341	0.0229543	0.0658786	0.0044583	0.00115263	0.00601601	0.00345634
u	4.3918e-05	0.000185029	0.00157881	0.854563	0.0139304	0.106509	0.0125232	0.000915711	0.00235777	0.00739333
n	8.59818e-06	2.59425e-05	0.000579271	0.894313	0.0107001	0.0279765	0.00760365	0.000969851	0.000892031	0.0569309
g	0.00118583	0.000395825	0.0181522	0.272128	0.476955	0.0462276	0.0661621	0.0155328	0.0043462	0.0989143
á	0.0288397	0.00406606	0.0390053	0.160418	0.552503	0.0381031	0.0866742	0.055306	0.00734846	0.0277361
m	0.000564451	0.000562067	0.0120002	0.0201152	0.322841	0.194815	0.209324	0.19404	0.0263	0.0194382
á	0.00117138	0.000199882	0.00147629	0.000516541	0.0271894	0.129756	0.0732518	0.0876375	0.484384	0.194418
l	0.00203493	0.000101048	0.00328336	0.000401523	0.014825	0.0817179	0.0987281	0.219665	0.569305	0.00993841
ω	0.000417538	0.000548539	0.00282704	0.000142102	0.0145916	0.0181717	0.171053	0.20393	0.516443	0.0718755
i	0.000609854	8.43179e-05	0.00121693	0.00283023	0.0240999	0.0752064	0.155679	0.117902	0.531169	0.0912034
</S>	0.000742959	0.000183959	0.00756773	0.00314446	0.0134047	0.0550576	0.263737	0.178251	0.23404	0.243872
