 	j'	ai	deux	petits-fils	</S>
n	0.862644	0.0607481	0.0364424	0.0347584	0.00540713
g	0.995664	0.0016265	0.000724617	0.00172402	0.000260569
á	0.975843	0.0204012	0.00100669	0.00261624	0.000132906
i	0.137908	0.368309	0.142627	0.227355	0.123801
d	0.0268146	0.70749	0.133894	0.0283312	0.10347
i	0.047711	0.731514	0.0351888	0.00787787	0.177708
l	0.00996481	0.331851	0.438645	0.0273562	0.192183
a	0.0302891	0.273593	0.337351	0.0268566	0.331911
n	0.0241518	0.337889	0.163641	0.261097	0.213222
d	0.207277	0.217065	0.117977	0.373493	0.0841873
a	0.212066	0.216263	0.124134	0.285659	0.161878
a	0.00178576	0.134707	0.261193	0.316186	0.286128
á	0.000915976	0.101011	0.465191	0.190617	0.242266
b	0.00102716	0.0846387	0.450367	0.183709	0.280258
a	0.00199336	0.0514345	0.498393	0.286771	0.161408
á	0.00229209	0.021857	0.348638	0.152408	0.474805
</S>	0.0123769	0.0319005	0.222646	0.0725058	0.660571
