 	les	eaux	du	fleuve	sont	agitées	</S>
m	0.742813	0.12156	0.110589	0.0196283	0.00473493	0.000243478	0.000430636
á	0.444044	0.156054	0.110003	0.2346	0.0188803	0.00260974	0.0338084
a	0.21225	0.620935	0.0954754	0.0650061	0.00467531	0.000356665	0.0013012
m	0.215006	0.206778	0.402293	0.0613929	0.0326627	0.00392198	0.0779458
á	0.221606	0.191129	0.125395	0.399731	0.0378601	0.000841021	0.0234374
ε	0.202255	0.0625993	0.369984	0.221098	0.0555593	0.0170225	0.071482
b	0.170766	0.140965	0.340866	0.127662	0.121169	0.063563	0.0350089
a	0.129675	0.173814	0.305578	0.187684	0.11851	0.0453616	0.039378
a	0.0239014	0.0359825	0.315359	0.335185	0.125738	0.0298048	0.134029
b	0.0298137	0.00127961	0.107289	0.236628	0.561416	0.0121158	0.0514572
ó	0.0114083	0.00451007	0.0623621	0.159243	0.298332	0.0479056	0.416239
m	0.0212037	0.00332236	0.188866	0.156102	0.406705	0.0306214	0.19318
á	0.06663	0.0106901	0.0684349	0.146124	0.232105	0.0663188	0.409697
a	0.0214118	0.00251576	0.049919	0.103642	0.30241	0.252739	0.267363
t	0.00352229	0.00673602	0.00895516	0.00316405	0.102142	0.663559	0.211921
í	0.000143782	0.00138945	0.00532816	0.00108118	0.0348933	0.823213	0.133951
n	0.000394004	0.00114622	0.00635865	0.00759665	0.0619833	0.650724	0.271797
a	0.000992315	0.000848017	0.00877649	0.0239546	0.0735012	0.664496	0.227432
a	0.00218566	0.00166711	0.0267983	0.0605135	0.172998	0.133289	0.602548
</S>	0.0223591	0.0030402	0.0303668	0.0185093	0.088934	0.147536	0.689255
