 	elle	fait	rôtir	la	viande	sur	la	braise	</S>
w	0.668263	0.214447	0.0979367	0.00874571	0.00597464	0.00230182	0.00207125	0.000190369	6.96105e-05
a	0.674958	0.259214	0.0241774	0.0113901	0.0162499	0.00804583	0.00565578	0.000228986	7.97519e-05
l	0.21157	0.455408	0.269118	0.0443598	0.0043008	0.00790493	0.00476163	0.000651617	0.00192539
á	0.181619	0.318238	0.109624	0.0676943	0.0440199	0.0714881	0.0191116	0.000805615	0.187399
a	0.221233	0.185424	0.249166	0.16648	0.0286756	0.0441216	0.0261888	0.00091894	0.0777921
b	0.0287525	0.193802	0.574241	0.173126	0.00479055	0.00687768	0.00286402	0.00311038	0.0124362
á	0.121422	0.399366	0.239534	0.198713	0.0158602	0.0123003	0.00296172	0.00169368	0.00814857
b	0.0149982	0.0861041	0.64016	0.226474	0.00887213	0.00637368	0.00142883	0.000869648	0.0147189
h	0.0257013	0.0709717	0.406458	0.307796	0.143344	0.0245703	0.00907416	0.00203575	0.0100486
á	0.03007	0.0843099	0.475084	0.190673	0.0494903	0.0231547	0.00585832	0.00417247	0.137187
n	0.0259647	0.0330606	0.0280796	0.1528	0.579109	0.140086	0.0249411	0.00690597	0.00905271
y	0.00134881	0.00134475	0.000747613	0.0122328	0.938034	0.0396674	0.00289514	5.74362e-05	0.00367156
a	0.000316935	0.000388788	0.000244473	0.00721489	0.946675	0.0385416	0.00448728	0.000659822	0.0014712
m	0.000705316	0.0125352	0.00952789	0.0744397	0.34379	0.3228	0.155497	0.0086493	0.0720554
a	0.00205697	0.00253634	0.000462876	0.0481013	0.176254	0.597633	0.0700993	0.00950589	0.0933507
</S>	0.00158536	0.00902583	0.00274287	0.0291496	0.0439117	0.275238	0.390779	0.0370223	0.210545
