 	il	a	dix	ans	</S>
w	0.833398	0.147916	0.018198	0.000441613	4.66241e-05
a	0.791922	0.170298	0.0334456	0.00415517	0.000179228
a	0.198808	0.557623	0.230808	0.00298546	0.00977586
d	0.0811444	0.691903	0.152381	0.00859746	0.0659738
í	0.0584918	0.656819	0.115237	0.00940371	0.160049
l	0.0163447	0.0791126	0.112721	0.0250244	0.766797
a	0.053728	0.172733	0.504985	0.0271615	0.241393
a	0.0770102	0.39941	0.31146	0.177807	0.0343128
m	0.00239593	0.0626181	0.20888	0.708775	0.017332
b	0.00061506	0.0101673	0.142423	0.805197	0.0415974
v	0.000159559	0.00174939	0.0159238	0.958968	0.0231996
ú	0.00164531	0.0129116	0.0759359	0.79969	0.109817
l	0.0194098	0.0352363	0.0639348	0.323552	0.557867
á	0.0682413	0.0475499	0.275867	0.373672	0.23467
d	0.0313908	0.0336789	0.259753	0.235172	0.440006
z	0.00772908	0.0168467	0.127576	0.346976	0.500873
ó	0.00803397	0.0144429	0.666032	0.197737	0.113753
m	0.000652995	0.00360058	0.149314	0.422651	0.423781
i	0.00266663	0.00913742	0.22527	0.373056	0.38987
</S>	0.00358228	0.00943626	0.0689927	0.0957229	0.822266
