 	le	bateau	a	coulé	à	pic	dans	l'	alima	</S>
a	0.780643	0.206191	0.0107908	2.31122e-05	0.000363542	7.59851e-05	0.00075422	0.000961273	0.000184697	1.25101e-05
s	0.139877	0.845451	0.0120401	0.00144748	0.000251594	0.000213048	0.000450824	0.00017096	7.8578e-05	1.96815e-05
ú	0.0595231	0.933711	0.00271061	0.00257317	0.000203688	0.000390469	0.000119737	5.90782e-05	7.6168e-05	0.00063331
a	0.113009	0.855172	0.00633761	0.00361036	0.000704738	0.00168211	0.000381095	0.000537122	0.000532712	0.0180329
á	0.033021	0.0164504	0.813543	0.0799391	0.0199362	0.00217472	0.00241294	0.000521611	0.000196004	0.0318051
l	0.0229842	0.00819736	0.316945	0.512772	0.0884258	0.0314532	0.0127786	0.00124396	0.000506829	0.0046928
i	0.00418867	0.0108202	0.0529788	0.826772	0.0383718	0.0428257	0.00778527	0.00159133	0.0015074	0.0131582
n	0.0141919	0.0132423	0.0118284	0.82976	0.0652225	0.0434919	0.00837839	0.00111814	0.000424851	0.0123412
d	0.0254373	0.0115477	0.0814242	0.501315	0.217838	0.104756	0.0167557	0.0194969	0.0090381	0.0123913
i	0.0184569	0.0125936	0.0324928	0.528141	0.179475	0.167341	0.00824041	0.0106737	0.0155407	0.027044
s	0.0384826	0.00311858	0.106751	0.0239779	0.401243	0.0908152	0.1492	0.0963632	0.0469159	0.0431331
á	0.0101243	0.00870576	0.00286965	0.129497	0.114145	0.229326	0.0770632	0.164955	0.193087	0.0702271
l	0.00416704	0.00135232	0.00613821	0.00180937	0.0438672	0.199658	0.0950748	0.260684	0.343713	0.0435353
i	0.00135059	0.000395656	0.00189835	0.00825612	0.0704642	0.228721	0.116768	0.18135	0.320892	0.0699046
m	0.000627747	0.000185993	0.00198203	0.00519645	0.0489984	0.258321	0.185052	0.145522	0.271691	0.0824243
á	0.00199395	0.000455871	0.000445883	0.000281127	0.0219877	0.0809829	0.0331996	0.163791	0.386195	0.310667
</S>	0.00278174	0.000319588	0.00226391	0.00345134	0.0112892	0.035729	0.0812381	0.196429	0.338633	0.327865
